1300000005	Psalm
1316020056	Ai Kot, nin ran i kin likwir, a kom sota kin sapeng, o ni pong i pil sota kin nenenla.
131603004a	Ari so, komui ta me saraui, komui me kotikot pan kaul en kaping en Israel.
1316040040	Sam at akan liki komui, o ni ar liki, kom kotin sauasa irail er.
1316050048	Irail likwir ong komui, rap dorelar, re liki komui, rap sota namenokala.
1316060052	A ngai dueta kamatol amen, a kaidin ol amen, me aramas akan kin lalaue o mamaleki.
131607004f	Karos me kilang ia, kin lalaue, ia, sara pasang au arail o tuetuäl mong arail:
1316080042	A kin liki Ieowa, i en dorela i, o kamaioda i, pwe a kin kupura i.
131609006f	Pwe komui kotin kaipwi ia sang nan kaped en in ai; komui ta, me i liki sang ni ansaun ai mi ni maramaran in ai.
13160a0063	Sang nan kaped en in ai i lokidokilang komui; komui ta ai Kot sang ni ansaun ai mi pon kopan in ai.
13160b004e	Kom der kotin doo sang ia, pwe ansaun kalokolok korendor, ap solar sauas pa i.
13160c0044	Kau ol kalaimun kan kapil ia penaer, o kau ol en Pasan kele ia pena.
13160d0035	Irail sara dong ia dueta laien weriwer o laualo amen.
13160e006c	Ngai wudokilar dueta pil, ai kokon akan karos muei pasanger, o mongiong i pei pasanger nan kaped i dueta wi.
13160f0076	Ai kelail ngalangal lar dueta diper en dal eu, o lo i pasadang pan ngatangat ai, o komui kin wia kin ia me melar amen.
1316100065	Pwe kidi kan kapil ia pena, o pwin aramas sued eu kele ia pena, irail kapore pasang pa i o nä i kat.
1316110045	I kak wadok kokon ai kan karos; a irail kin kilekilang ap peren kida.
131612004b	Re kin nek pasang ai likau kan nan pung arail, o re doropweki ai likau pup.
131613003d	A komui Maing ender doo sang ia! Ai kel madangdo o sauasa ia!
1316140041	Dorela maur i sang kodlas, pwe me ta ieu, o sang nan kel en kidi!
1316150044	Sauasa ia sang nan au en laien, o dore ia la sang ose en man laualo!
131616004e	I pan padaki ong ri ai kan duen mar omui, o i pan kapinga komui nan momodisou.
1316170062	Kapinga Ieowa komail me masak i, o kadaudok en Iakop en kalinganada i, o wan Israel karos masak i.
1316180085	Pwe a sota kotin mamaleki de suedeki me luet akan; o a sota kotin karirila silang i sang irail; o ni a likwir ong i, a kotin erekier.
1316190054	I pan kapinga komui nan momodisou kalaimun; i pan kapwaiada ai inau mon ir me lan i.
13161a0062	Me luet akan en manga o medila, o me idok Ieowa, pan kapinga i; ngen omail pan memaureta kokolata.
13161b0061	Ni imwin sap karos re pan tamanda Ieowa, ap wuki ong i, o di en men liki karos pan kaudoki ong i.
13161c002e	Pwe wein Ieowa, o a kotin kaunda men liki kan.
13161d0076	Me wi kan karos nin sappa pan mangamanga o kelepuki; karos, me pan wiala pwel o sota kak kolekol maur ar, pan pongi i.
13161e0055	Kadaudok eu mia, me pan papa i, re pan padaki ong seri o seri en seri kan duen Ieowa.
13161f0061	Re pan pwarado o padaki ong aramas akan, me pan ipwidi mur duen a pung, o duen me a kotin wiadar.
1317010029	IEOWA sile pa i, i sota pan anane meakot.
1317020044	A kotin kamanga ia nan mos kaselel o kalua ia wong ni pil lamelamur.
131703003c	A kotin kamanada ngen i, a kalua ia pon al pung pweki mar a.
1317040079	I lao weid nan mot en mela, i sota pan masak mesued kot, pwe kom kotin ieiang ia, omui irar o lepin saipali kamait ia la.
1317050071	Kom kotin kaonop dang ia tepel eu salong ai imwintiti kan. Kom kotin keiekidi mong ai le, o ai dal kin wudewudok.
1317060059	Pai o kalangan pan idauen ia arain ai maur, o i pan mimieta nan tanpas en Ieowa kokolata.
1318010043	SAPWILIM en Ieowa sappa o audepa kan, sap o meakaros me kauson poa.
1318020046	Pwe a kotin pasonedier ni kailan madau, o a kotin wiadar pon pil akan.
1318030050	Is me pan kodalang pon dol en Ieowa? O is me pan kak uda ni mol en Ieowa saraui?
131804006a	Me pa a kan sota sapung o mongiong i makelekel; me sota kin mauki padak sapung, o me sota kin kaula likam.
1318050043	I me pan kamaula ren Ieowa, o a pan pung kila ren Kot a saunkamaur.
131806004f	I kainok, me kin peiki ong Kot, me kin rapaki silang omui, Kot en Iakop. (Sela)
1318070057	Komail ritingada wanim laud o langada wanim nin sappa, pwe Nammarki lingan en kotilong!
131808004e	Is Nanmarki lingan men et? I Ieowa roson o manaman, Ieowa me rasong nan mauin.
1318090057	Komail ritingada wanim laud o langada wanim nin sappa, pwe Nanmarki lingan en kotilong!
13180a0044	Is Nanmarki lingan men et? I Ieowa Sepaot; I Nanmarki lingan. (Sela)
131901001e	MAING, i kin inong iong komui.
1319020059	Ai Kot, i liki komui, sauasa ia, pwe i ender sarodi, o ai imwintiti kan ender peren kida.
131903004e	Pwe karos me liki komui, sota pan sarodi, a me pan muei sang komui pan sarodi.
1319040050	Maing, kom kotin kasale ong ia al omui kan, o kotin padaki ong ia omui tiak kan;
131905006c	Kalua ia ni omui melel o kalolekong ia! Pwe komui ta ai Kot, me kin sausa ia, ran karos, i kin auiaui komui.
131906004d	Maing, kom kotin tamanda omui kalangan o omui kapunglol, me tapidar mon kaua.
1319070067	Re der kotin kupura dip en ai tikitik o ai sopeik; a kupura ia ni ar kapunglol o kalangan! Maing Ieowa.
1319080047	Ieowa me mau o lelapok, i me a kotin padaki ong me dipan akan pon al o.
1319090046	A kin kalua pung me luet akan, o a kotin padaki ong me luet akan al a.
13190a0056	Al en Ieowa kan me dir en kalangan o melel ong ir, me kin kolekol a inau o masan akan.
13190b0046	Maing, kom kotin maki ong ia ai sapung kan me lapalap, pweki mar omui.
13190c004c	Is ol, me kin lan Ieowa? A pan kotin padaki ong i duen al o, me a en pilada.
13190d0035	Ngen e pan mi wasa mau o kaudaudok a pan aneki sap o.
13190e0045	Ieowa kompoke pan me kin lan i, a pan kotin padaki ong i duen a inau.
13190f0055	Mas ai kin ariri Ieowa ansau karos, pwe a pan kotin lapwada nä i kat sang nan insar.
1319100040	Kom kotin masan dong ia o maki ong ia, pwe ngai sapoupou o luet.
1319110046	Masak en mongiong i lalaudalar; kotin kalua ia sang nan ai apwal akan!
1319120052	Kom kotin mangi ai luet o ai kankangeranger, o kotin maki ong ia dip ai kan karos!
131913005f	Kom kotin mangi duen ai imwintiti kan, pwe re me toto, o re kin kailong kin ia ni ar aklapalap.
1319140068	Kom kotin sinsila ai maur o dore ia la, kom kotin apwali ia, pwe i der namenokala, pwe i kin liki komui.
131915002f	Melel o pung en sinsila ia, pwe i auiaui komui.
1319160040	Maing Kot, kom kotin dorela Israel sang nan ar apwal akan karos!
131a01005b	IEOWA kom kotin sauasa ia, pwe i kekeit wei ni melel. I kin liki Ieowa, i sota pan luetala.
131a020059	Maing kom kotin kasaui ia da o kasongesong ia, o kamakelekele mudilik i kan o mongiong i.
131a03003b	Pwe i asa duen omui kalangan, o i kin weweid ni omui melel.
131a040054	I sota kin mondi ren aramas aklapalap akan, o i sota kin waroki ong me morsued akan.
131a050048	I kin tataki pokon en mesued akan, o i sota kin mondi ren me sapung kan.
131a06004d	I omiomi ki makelekel o i kin pok ong sapwilim omui pei saraui, Maing, Ieowa,
131a07004a	Wasa i pan kapikapinga, ngil laudeta o padak duen omui manaman akan karos.
131a080040	Maing Ieowa, i kin pok ong wasan tanpas omui, o wasan ar lingan.
131a09005c	Kom der kotin kasapoke ia la iangaki me dipan akan, de maur i iangaki me kamela aramas akan.
131a0a0037	Pwe pa arail me dir en morsued o re ki men ale kisakis.
131a0b003f	A ngai kin weweid ni makelekel. Dore ia la o kotin maki ong ia!
131a0c003d	Nä i kin aluwei pung. I pan kapinga Ieowa nan momodisou kan.
131b01005f	IEOWA kamarain pa i o kamaur pa i, is me i en masak? Ieowa kel pan maur i, is me i en lomwinki?
131b020066	Ma mesued akan pan tanga dong ia, pwen kawela uduk ai o ai imwintiti kan, re pan dipikelekel o pupedi.
131b030065	Ma pwin saunpei pan kapil ia pena, i sota pan masapwekada, o ma mauin pan wiaui ong ia, i pan liki i.
131b0400af	Iet eta, me i inong iong o men poeki ren Ieowa, i en mimieta nan tanpas en Ieowa arain ai maur, pwen kilekilang saraui kaselel en Ieowa kan, o ududial sapwilim a im en kaudok.
131b050089	Pwe ni ansau apwal a kotin sinsila ia nan tanpas a im pwal. A pan kotin karuk ia la nan tanpas a im likau, o kotin kau ia da pon paip eu.
131b06009a	A pan kotin kasapwil ia dang pon ai imwintiti kan, me kapil ia pena; i ap pan wiada mairong en kaping nan tanpas a im pwal, i pan kaul o kaping ong Ieowa.
131b07005c	Maing, kom kotin ereki ngil ai, ma i pan likwir ong komui, kom kotin maki ong ia o mangi ia.
131b080070	Mongiong i kin kataman kin komui omui masan: Komail rapa kin ia! I me i pil kin rapaki silang omui. Maing Ieowa!
131b0900b0	Der karir sang silang omui mo i, o der kasapokela sapwilim omui ladu ni omui ongiong; pwe komui me sauas pa i. Kom der kotin kase ia la, o ender muei sang i, Kot ai saunkamaur.
131b0a0047	Pwe sam ai in ai likidmalie ia la; a Ieowa kotin sapwilim anekin ia la.
131b0b005f	Maing, kom kotin kasale ong ia sapwilim omui al o kalua ia nani al pung pweki ai imwintiti kan.
131b0c0079	Kom der kotin mueid ong ai imwintiti kan en kaloe ia di; pwe saunkadede likam palian ia, o re wia sapung ong ia so masak.
131b0d004c	Ari so, i asa, me i pan ududial kalangan en Ieowa nan sap en me memaur akan.
131b0e0043	Auiaui Ieowa! Der masak, o mongiong om ender masak, o auiaui Ieowa!
131c01008d	MAING, ai paipalap, i lao likwir wong komui, kom der kotin sapaimokid, pwe ma re pan sapaimokid, i pan dueta ir, me pan lokidokila nan por o.
131c020068	Kom kotin mangi ngil en ai ngidingid, i lao likwir wong komui, i lao kapa wong pa i kat mol omui saraui.
131c030090	Re der kotin kasapoke ia la iangaki me sapung kan, iangaki me wia sued, me kin lokaia kaselel ong men impa, ap lamelame sued nan mongiong arail.
131c04007a	Kotin depuk ong ir duen ar dodok o duen ar tiak sued; kotiki ong ir duen dodok en pa arail; katingi ong ir duen ar wiawia.
131c050068	Pwe re sota insenoki dodok en Ieowa de wiawia en lim a kan; i me a pan kotin kawe ir ala, a sota kauada.
131c06003b	Kaping ong Ieowa, pwe a kotin erekier ngil en ai ngidingid.
131c070072	Ieowa kel pa i o pere pa i, mongiong i kin liki i, o sauas pa i mia. Mongiong i liki i o i pan danke i ki ai kaul.
131c080041	Ieowa kele parail; i me manaman ong sauasa sapwilim a me keidier.
131c09007c	Kotin sauasa sapwilim omui aramas akan o kotin kamauiala sapwilim omui soso, o kotin kamanga ir o apwali irail ada kokolata!
131d010040	KOMAIL lapalap akan, wa dong Ieowa, wa dong Ieowa wau o manaman!
131d02003f	Wa dong Ieowa wau en mar a, pongi Ieowa ni omail kapwat saraui!
131d030062	Kapiti en Ieowa mi pon pil akan; Kot en lingan kin wiada nansapwe, iei Ieowa en pil kalaimun akan.
131d040036	Kapiti en Ieowa me manaman, kapiti en Ieowa me lingan.
131d050060	Kapiti en Ieowa kin katip pasang seder akan; Ieowa kin kotin katip pasang seder akan en Lipanon.
131d060057	A kin kotin kalukalus irail dueta kau pul amen, Lipanon o Sirion dueta kau pul ol amen.
131d070033	Kapiti en Ieowa kin luswei dueta umpul en kisiniai.
131d080050	Kapiti en Ieowa kin kamokidada sap tan; Ieowa kotin kamokidada sap tan en Kades.
131d090071	Kapiti en Ieowa kin kamokidada tia kan o kakilesauiada nana kan, o nan tanpas a im en kaudok karos kin kapinga i.
131d0a0039	Ieowa kotikot pon pil akan o Ieowa pan Nanmarki kokolata.
131d0b0062	Ieowa pan kamanada sapwilim a aramas akan; Ieowa pan kotin kamaui sapwilim a aramas akan ki popol.
131e010071	I kapinga komui Maing, pwe komui me kotin kasapwil ia dar, o sota mueid ong ai imwintiti kan ren peren kin ia da.
131e020040	Ieowa, ai Kot, i likwir wong komui, komui ap kotin kakel ia dar.
131e030072	Maing, kom kotin kalua ngen i sang nan wasan mela. Kom kotin dore ia lar ni ansau me irail lokidokila nan pweleko.
131e04003c	Komail lelapok kan en kapinga Ieowa, o kapinga mar a lingan!
131e050077	Pwe a ongiong kin marep ta ieu, a a mak arain maur en aramas amen; nin sautik re kin sangesang, a ni mansang ngisingis.
131e060036	A ngai inda ni ai ansau mau: I sota pan lodi kokolata.
131e070073	Maing, ni omui kalangan, kom kotin katengedi ai dol, a ni ansau me re karuki sang mo i silang omui, i masapwekadar.
131e080035	I likwir wong komui Maing, o i ngidingideki ong Kaun.
131e090070	Da kadepa en nt’ ai, i lao kodila nan por o? Pwel par pan kak kapinga komui, o kapakaparok duen omui kalangan?
131e0a0045	Maing Ieowa, re kotin mangi ia o kotin maki ong ia; Ieowa sauas pa i.
131e0b006f	Kom kotin kawukila ai insensued ong ngisingis; kom koti ki sanger ai tuken likau, ap id kalikauwi ia dar popol.
131e0c005b	Pwe ngen i en kauli ong komui, a ender nenenla. Maing ai Kot, i pan kapinga komui kokolata.
131f010069	MAING, i liki komui, kom kotin ieiang ia, pwe i ender namenokala kokolata; dore kin ia la duen omui pung.
131f020073	Kapaikidi dong ia karong ar akan, madang sauasa ia! Kom kotin wiala ai paipalap roson, o kele pa i, pwen sauasa ia!
131f03003f	Pwe komui ai paip, o ai kel. Kom kotin kalua ia pweki mar omui.
131f040048	Kom kotin api ia sang nan insar, me re wiai ong ia, pwe komui kele pa i.
131f050049	I kakaliki ong komui ngen i; kom kotin dore ia la, komui Maing Kot melel.
131f060046	I suedeki me kin kaporoporeki dikedik en ani mal akan, a i liki Ieowa.
131f070072	I pan pereperen o polauleki omui kalangan, pwe komui me kotin mangi ai luet, o kotin kupura ngen i ni ansau apwal.
131f08005e	O re der mueid ong ai imwintiti, ren kaloe ia di. Kom kotin kasone nä i kat nan wasa salatok.
131f090068	Ieowa, kom kotin maki ong ia, pwe i masak; mas ai suedelar ki ai mamauk, pil dueta ngen i o pali war ai.
131f0a008b	Pwe maur i luet kilar ai insensued, o ai par akan malaulaular ki ai sangesang, ai kelail tikitikelar pweki dip ai, o kokon ai kan luetalar.
131f0b0090	Ai imwintiti kan karos lalaue ia, o i wialar kanamenok pan men imp ai kan, o kamasak pan sau i kan; me kilang ia nani al o, kin tangwei sang ia.
131f0c004c	Aramas monoke ia lar dueta me melar amen; ngai rasong dal eu, me mor pasang.
131f0d0077	Pwe i ronger duen me toto kin puserokiong ia; men kamasak kapil ia pena; re kin kapung pena duen ngai, pwen kame ia la.
131f0e003d	A i kin kaporoporeki komui Maing, i ap inda: Komui ta ai Kot!
131f0f005c	Ai ansau mi nan lim omui, dore ia sang nan pa en ai imwintiti kan o sang me kin pakipaki ia.
131f100056	Kamarainiki sapwilim omui ladu silang omui, dore ia ki omui, dore ia ki omui kalangan.
131f110084	Maing, kom der kotin mueid ong, i en soredi; pwe i likwiri wong komui. Me sapung kan en soredi, pwe irail en nenenla nan wasan mela.
131f120066	Kil en au en me likam akan en nenenla, irail, me lalaue me pung kan ni laumaum, o aklapalap, o kaurur.
131f130087	Meid laud omui kalangan, me kom kotin nekinekid ong me lan komui kan, o me kom kin kasale ong ir, me liki komui sansal mon aramas akan.
131f14006c	Kom kin kotin karir ir ala re omui sang karos, me kailong kin ir; kom kin kadupal ir edi sang mon lo akamai.
131f150048	Kapinga ong Ieowa, me kotin kalangan laud ong ia nan kanim tengeteng eu.
131f16008f	Pwe ni ai peikasal i indindar: I lokidokilar sang mon silang ar. Ari so, kom kotin ereki ngil en ai ngidingid, ni ai potoan werwiwer ong komui.
131f170083	Komail sapwilim a saraui kan karos, pok ong Ieowa! Ieowa kin kotin sinsila me poson akan, ap depuk ong ir melel, me aklapalap akan.
131f18003a	Komail karos me kaporoporeki Ieowa, en kelail o der masak!
132001003d	MEID pai, me dip arail lapwadar, o me ar sapung pwaipwaidier!
1320020057	Aramas meid pai, me Ieowa solar pan kapokoki ong dip ar, me sota likam nan mongiong ar.
132003004a	Pwe ni ai men okila, kokon ai kan ap susueda kilar ai sangesang ran karos.
1320040064	Pwe lim omui katoutou ia nin ran o ni pong, o ai kelail mongedier, dueta ni ansau en karakar. (Sela)
13200500a3	I me i weokadang komui dip ai kan, o sota okila ai sapung kan. Ngai indinda: I pan weokadang Ieowa ai katiwo kan; komui ap kotin maki ong ia sued en dip ai. (Sela)
132006008a	I me saraui kan karos pan potoan kapakap ong komui arain ansau me komui kak diarokada. Lapake kalaimun pan wiaui, a a sota pan lel ong ir.
1320070069	Komui me pere pa i, kom pan kotin perawei sang ia men kamasak, i ap pan dorela o kapinga ni peren. (Sela)
1320080060	I pan padaki ong uk o kasale ong uk al o, me koe en weweid ia; I pan kalua kin uk por en mas ai.
1320090082	Komail der dueta os de as amen me sota ar madamadaua, me mau ong, kisin mata en ko ong au arail, a ma so, re sota pan duki ong uk.
13200a0069	Me sapung o kin lodi ong song en madak toto, a me kaporoporeki Ieowa, kalangan en Ieowa pan kapil pena i.
13200b0062	Polauleki Ieowa, o pereperen komail me pung kan, o kapikapinga komail karos me lelapok melel akan.
1321010040	KOMAIL me pung kan polauleki Ieowa, me lelapok kan en kapinga i.
132102004a	Danke Ieowa o kapikapinga ki men kasang o kaule ki ong i sal en arp eisok.
1321030038	Kauleki ong i kaul kap pot, komail kanai ong arp o ngil!
1321040036	Pwe masan en Ieowa me inen o a wiawia kan karos melel.
1321050044	A kin kotin pok ong me pung o melel, sappa direki kalangan en Ieowa.
1321060048	Nanlang wiaui kida masan en Ieowa o audepan a karos ki ngen en silang i.
132107005c	A kotin kolekol pena pil en madau dueta nan dal eu, o a kotin nekidala ad akan nan wasa rir.
1321080045	Sappa karos en lan Ieowa o karos me kaukauson nan sappa en wauneki i.
132109004b	Pwe ma a kotin masanta, ap pan wiaui, o ma a kotin pangokada, ap pan miela.
13210a0056	Ieowa kin kotin kawela kapung en men liki kan, o a kin kawukila madamadaua en wei kan.
13210b0049	A me Ieowa kileledier, pan duedueta, o me a kotin kupurada, pan kokolata.
13210c0043	Meid pai wei o, me Ieowa ar Kot, o wei, me a kotin piladang a soso.
13210d0037	Ieowa kin kotin irerong aramas akan karos sang nanlang.
13210e003c	A kotin irerong karos, me kauson sappa sang mol a tengeteng.
13210f0049	A kotin wiadar mongiong arail karos, o a kotin mangi ar wiawia kan karos.
