0100000009	創世記
010e0100e1	那時，示拿王暗拉非、以拉撒王亞略、以攔王基大老瑪和戈印王提達聯合攻打以下五王：所多瑪王比拉、蛾摩拉王比沙、押瑪王示納、洗扁王善以別和比拉王，即瑣珥王。
010e030024	五王會師西訂谷，即鹽海。
010e040042	他們受基大老瑪統治十二年，在第十三年叛變了。
010e050094	第十四年，基大老瑪聯合其他王在亞特律·加寧打敗利乏音人，在哈麥打敗蘇西人，在沙微·基列亭打敗以米人，
010e060056	在西珥山打敗住在那裡的何利人，直殺到靠近曠野的伊勒·巴蘭。
010e070079	然後，他們返回安·密巴，即加低斯，征服了亞瑪力全境以及住在哈洗遜·他瑪的亞摩利人。
010e08007b	那時，所多瑪王、蛾摩拉王、押瑪王、洗扁王和比拉王，即瑣珥王出戰，在西訂谷擺開陣勢，
010e090072	抵抗以攔王基大老瑪、戈印王提達、示拿王暗拉非和以拉撒王亞略：四王跟五王交戰。
010e0a007e	西訂谷佈滿柏油坑，所多瑪王和蛾摩拉王敗走的時候，有些人掉進坑裡，其他人都往山上逃命。
010e0b0054	四王把所多瑪和蛾摩拉所有的財物和糧食洗劫一空，揚長而去，
010e0c0054	並劫走亞伯蘭的侄兒羅得和他的財物，那時羅得正住在所多瑪。
010e0d00cc	有一個逃出來的人把這件事情告訴了希伯來人亞伯蘭。那時，亞伯蘭住在亞摩利人幔利的橡樹那裡。幔利是以實各和亞乃的兄弟，三人都是亞伯蘭的盟友。
010e0e0081	亞伯蘭聽見侄兒被擄的消息，便率領家中三百一十八名訓練有素的壯丁去追趕他們，一直追到但。
010e0f006c	夜裡，亞伯蘭和他的隨從分頭出擊，大敗他們，一直追殺到大馬士革北面的何巴，
010e10005a	奪回所有被劫的財物，並救出他侄兒羅得及其財物、婦女和其他人。
010e110078	亞伯蘭大敗基大老瑪及其盟軍各王凱旋的時候，所多瑪王到沙微谷來迎接。沙微谷即王谷。
010e120054	撒冷王麥基洗德也帶著餅和酒出來相迎，他是至高上帝的祭司。
010e130058	他祝福亞伯蘭說： 「願創造天地的主、至高的上帝賜福給亞伯蘭！
010e140076	將敵人交在你手中的至高上帝當受稱頌！」 於是，亞伯蘭把所得財物的十分之一給了他。
010e150060	所多瑪王對亞伯蘭說：「請把我的人民交還給我，你可以把財物拿去。」
010e16005a	亞伯蘭對他說：「我向創造天地的主、至高的上帝耶和華舉手起誓，
010e170078	凡是你的東西，就是一根線、一條鞋帶，我都不會拿，免得你說，『我使亞伯蘭發了財！』
010e180096	除了我的隨從已經吃用的以外，我什麼也不要。至於我的盟友亞乃、以實各和幔利所當得之份，請讓他們拿去。」
010f01008a	這些事以後，耶和華在異象中對亞伯蘭說：「亞伯蘭，你不要害怕，我是你的盾牌，我要大大賞賜你。」
010f020087	亞伯蘭說：「主耶和華啊，你要賜我什麼呢？我沒有兒子，繼承我家業的人是大馬士革人以利以謝。」
010f03005a	亞伯蘭又說：「你沒有賜我後裔，我家中的僕人將繼承我的產業。」
010f040069	耶和華對他說：「這人不會成為你的繼承人，你親生的兒子才是你的繼承人。」
010f0500a8	耶和華把亞伯蘭帶到外面，對他說：「你抬頭看看天空，數數繁星，你能數得盡嗎？」接著又對他說：「你的後裔必這麼多。」
010f060036	亞伯蘭信耶和華，耶和華便算他為義人。
010f070081	耶和華又對他說：「我是耶和華，我帶你離開了迦勒底的吾珥，為要把這片土地賜給你作產業。」
010f080054	亞伯蘭說：「主耶和華啊，我怎麼知道我會得到這片土地呢？」
010f090075	耶和華說：「你要給我預備三歲的母牛、母山羊和公綿羊各一頭，斑鳩和雛鴿各一隻。」
010f0a0066	亞伯蘭一一照辦，把牲畜都劈成兩半，一半對著一半地擺列，但沒有劈開鳥。
010f0b003c	有鷙鳥飛到那些屍體上，亞伯蘭趕走了牠們。
010f0c0057	太陽下山的時候，亞伯蘭睡得很沉，忽然有可怕的黑暗籠罩著他。
010f0d0069	耶和華對他說：「你要清楚知道，你的後裔必流落異鄉，被奴役和虐待四百年。
010f0e005a	但我必懲罰那奴役他們的國家，之後他們必帶著大量財物離開那裡。
010f0f0039	而你必享長壽，得到安葬，歸到列祖那裡。
010f100063	到了第四代，你的子孫必重回此地，因為亞摩利人現在還沒有惡貫滿盈。」
010f11005d	太陽下山，夜幕降臨，突然有冒煙的火爐和點著的火炬在肉塊中經過。
010f120090	就在那天，耶和華跟亞伯蘭立約，說：「我必將這片土地賜給你的後裔，從埃及河一直延伸到幼發拉底大河，
010f130030	就是基尼人、基尼洗人、甲摩尼人、
010f140027	赫人、比利洗人、利乏音人、
010f150045	亞摩利人、迦南人、革迦撒人和耶布斯人的土地。」
0110010060	亞伯蘭的妻子撒萊沒有給他生孩子。撒萊有個婢女名叫夏甲，是埃及人。
011002009f	撒萊對亞伯蘭說：「耶和華不讓我生育，請你與我的婢女同房，也許我可以藉著她得子立後。」亞伯蘭同意了撒萊的話。
0110030066	於是，撒萊把埃及婢女夏甲給亞伯蘭做妾。那時亞伯蘭已經在迦南住了十年。
0110040066	亞伯蘭與夏甲同房，她就懷了孕。夏甲知道自己懷了孕，就輕視女主人撒萊。
01100500a8	撒萊對亞伯蘭說：「我受氣都是因為你。我把婢女放在你懷裡，她仗著自己懷了孕就輕視我，願耶和華在你我之間主持公道。」
0110060075	亞伯蘭對撒萊說：「婢女在你手中，隨你處置。」於是，撒萊苦待夏甲，夏甲就逃走了。
0110070051	耶和華的天使在曠野中，通往書珥之路的水泉旁找到了夏甲，
0110080090	便問她：「撒萊的婢女夏甲，你從哪裡來？要到哪裡去？」她回答說：「我是從女主人撒萊那裡逃出來的。」
011009004b	耶和華的天使對她說：「你要回到女主人那裡順服她。」
01100a0039	又說：「我必使你的後裔多得不可勝數。」
01100b0096	接著又說：「你現在懷了孕，將來會生一個男孩，你要給他取名叫以實瑪利，因為耶和華已經聽見你痛苦的哀聲。
01100c0072	這孩子性情必像野驢，他要跟人作對，人也要跟他作對。他必與他所有的弟兄為敵。」
01100d007e	夏甲稱對她說話的耶和華為「看顧人的上帝」，她說：「我竟然在這裡看見了那位看顧我的。」
01100e0052	因此，那口井被稱為庇耳·拉海·萊，位於加低斯和巴列之間。
01100f0054	後來夏甲為亞伯蘭生了一個兒子，亞伯蘭給他取名叫以實瑪利。
0110100033	夏甲生以實瑪利時，亞伯蘭八十六歲。
0111010087	亞伯蘭九十九歲那年，耶和華向他顯現說：「我是全能的上帝。你要遵行我的旨意，做純全無過的人。
0111020039	我要與你立約，我要使你子孫極其繁盛。」
0111030030	亞伯蘭就俯伏在地，上帝又對他說：
0111040033	「我要與你立約，你必成為萬族之父。
0111050063	以後你的名字不再叫亞伯蘭，要改為亞伯拉罕，因為我已立你為萬族之父。
011106004b	我要使你生養眾多，民族必由你而生，君王必從你而出。
0111070057	我要和你並你的子子孫孫立永遠的約，我要做你和你子孫的上帝。
0111080075	我要把你現在寄居的整個迦南，賜給你和你的子孫永遠作產業，我也必做他們的上帝。」
0111090057	上帝又對亞伯拉罕說：「你和你的子孫世世代代都要遵守我的約。
01110a0066	你們所有的男子都要受割禮，這是我與你和你的子孫所立的約，你們要遵守。
01110b003c	你們都要割包皮，作為我與你們立約的記號。
01110c0093	你們世世代代的男子，在出生後的第八日都要接受割禮，包括在你家裡出生的和用錢從外族人那裡買來的奴僕。
01110d0090	不論是在你家裡生的，還是你用錢買來的男子，都要接受割禮，這樣我的約就在你們的肉體上成為永遠的約。
01110e0060	任何沒有接受割禮的男子，要將他從民中剷除，因為他違背了我的約。」
01110f0063	上帝對亞伯拉罕說：「你的妻子撒萊以後不要叫撒萊，她的名字要叫撒拉。
0111100087	我必賜福給她，讓她為你生一個兒子。我必賜福給她，讓她成為列國之母，列邦的君王必從她而出。」
011111008d	亞伯拉罕就俯伏在地，笑了起來，心想：「一百歲的人還能有孩子嗎？撒拉已經九十歲了，還能生育嗎？」
011112003f	亞伯拉罕對上帝說：「願以實瑪利蒙你賜福。」
0111130099	上帝說：「不，你妻子撒拉必為你生一個兒子，你要給他取名叫以撒，我必與他堅立我的約，作為他後代永遠的約。
01111400ae	至於以實瑪利，我已聽見你的祈求，我必賜福給他，使他生養眾多、子孫極其繁盛。他必做十二個族長的父親，我必使他成為大國。
011115004e	撒拉必在明年這時候給你生以撒，我必向他堅守我的約。」
0111160039	上帝說完以後，便離開亞伯拉罕上升而去。
01111700a5	亞伯拉罕就在那天照著上帝的吩咐，為兒子以實瑪利和家中所有的男子，不論是在家中出生的，還是買回來的，都行了割禮。
0111180030	亞伯拉罕接受割禮的時候九十九歲。
0111190039	他的兒子以實瑪利接受割禮的時候十三歲。
01111a0030	他們父子二人就在那天接受了割禮。
01111b0066	亞伯拉罕家裡所有的男子，包括家中出生的和買回來的，都一起接受了割禮。
011201006c	耶和華在幔利的橡樹那裡向亞伯拉罕顯現。那時天氣很熱，亞伯拉罕坐在帳篷口，
0112020057	抬頭看見三個人站在對面，就從帳篷口跑去迎接他們，俯伏在地，
0112030051	說：「我主，若我在你面前蒙恩，請不要從僕人這裡走過去。
0112040042	我讓人拿點水來，你們洗洗腳，在樹下歇一會兒。
011205008d	你們既然路過僕人這裡，我拿點餅來，你們補充一下體力再上路吧。」他們說：「好，就照你說的做吧！」
0112060063	於是，亞伯拉罕連忙進帳篷對撒拉說：「快準備三斗細麵粉，和麵烤餅。」
011207005a	亞伯拉罕又跑到牛群中牽了一頭肥嫩的小牛，交給僕人趕快去準備。
011208007b	亞伯拉罕把奶、乳酪和準備好的牛肉擺在他們面前，自己在樹蔭下侍立一旁，伺候他們用餐。
0112090066	他們問亞伯拉罕：「你妻子撒拉在哪裡？」亞伯拉罕回答說：「在帳篷裡。」
01120a008a	其中一人說：「明年這時候，我必回到你這裡，撒拉必生一個兒子。」撒拉在那人後面的帳篷口聽見了。
01120b003f	亞伯拉罕和撒拉已經年紀老邁，撒拉早已絕經。
01120c006f	撒拉暗自發笑，心想：「我已經老了，還會有這種福氣嗎？況且我的丈夫也老了。」
01120d0063	耶和華問亞伯拉罕：「撒拉為什麼偷笑說，『我這把年紀還會有孩子嗎？』
01120e006c	什麼事能難得了耶和華呢？明年這時候，我必回到你這裡，撒拉必生一個兒子。」
01120f0075	撒拉聽見後非常害怕，連忙否認說：「我沒有笑！」但耶和華說：「不，你確實笑了。」
011210005a	那三個人起身朝所多瑪眺望，亞伯拉罕與他們同行，要送他們一程。
0112110045	耶和華說：「我要做的事怎麼可以瞞著亞伯拉罕呢？
0112120048	亞伯拉罕必成為強盛的大國，天下萬國必因他而蒙福。
0112130081	我揀選了他，是要他教導自己的子孫後代持守我的道、秉公行義。這樣，我必實現對他的應許。」
011214004b	耶和華說：「所多瑪和蛾摩拉罪惡深重，人們怨聲載道。
011215006f	我現在要下去看看他們的惡行是否如我聽到的控訴一樣，如果不是，我也會知道。」
0112160054	其中二人轉身向所多瑪走去，亞伯拉罕卻仍舊站在耶和華面前。
0112170045	亞伯拉罕上前說：「你要把義人和惡人一同毀滅嗎？
0112180075	倘若城中有五十個義人，你還要毀滅那城嗎？你會不會為了五十個義人而饒恕那座城呢？
0112190090	你絕不會黑白不分，把義人和惡人一同毀滅。你絕不會這麼做！你是普天下的審判者，難道不秉公行事嗎？」
