0100000007	Genèse
010a030030	Les fils de Gomer: Aschkenaz, Riphat et Togarma.
010a040037	Les fils de Javan: Élischa, Tarsis, Kittim et Dodanim.
010a050098	C’est par eux qu’ont été peuplées les îles des nations selon leurs terres, selon la langue de chacun, selon leurs familles, selon leurs nations.
010a06003a	Les fils de Cham furent: Cusch, Mitsraïm, Puth et Canaan.
010a07005c	Les fils de Cusch: Saba, Havila, Sabta, Raema et Sabteca. Les fils de Raema: Séba et Dedan.
010a080056	Cusch engendra aussi Nimrod; c’est lui qui commença à être puissant sur la terre.
010a090082	Il fut un vaillant chasseur devant l’Éternel; c’est pourquoi l’on dit: Comme Nimrod, vaillant chasseur devant l’Éternel.
010a0a004b	Il régna d’abord sur Babel, Érec, Accad et Calné, au pays de Schinear.
010a0b0044	De ce pays-là sortit Assur; il bâtit Ninive, Rehoboth Hir, Calach,
010a0c003a	et Résen entre Ninive et Calach; c’est la grande ville.
010a0d0045	Mitsraïm engendra les Ludim, les Anamim, les Lehabim, les Naphtuhim,
010a0e0051	les Patrusim, les Casluhim, d’où sont sortis les Philistins, et les Caphtorim.
010a0f0030	Canaan engendra Sidon, son premier-né, et Heth;
010a100032	et les Jébusiens, les Amoréens, les Guirgasiens,
010a110027	les Héviens, les Arkiens, les Siniens,
010a120065	les Arvadiens, les Tsemariens, les Hamathiens. Ensuite, les familles des Cananéens se dispersèrent.
010a1300ab	Les limites des Cananéens allèrent depuis Sidon, du côté de Guérar, jusqu’à Gaza, et du côté de Sodome, de Gomorrhe, d’Adma et de Tseboïm, jusqu’à Léscha.
010a14006f	Ce sont là les fils de Cham, selon leurs familles, selon leurs langues, selon leurs pays, selon leurs nations.
010a150063	Il naquit aussi des fils à Sem, père de tous les fils d’Héber, et frère de Japhet l’aîné.
010a16003e	Les fils de Sem furent: Élam, Assur, Arpacschad, Lud et Aram.
010a17002e	Les fils d’Aram: Uts, Hul, Guéter et Masch.
010a18003c	Arpacschad engendra Schélach; et Schélach engendra Héber.
010a190095	Il naquit à Héber deux fils: le nom de l’un était Péleg, parce que de son temps la terre fut partagée, et le nom de son frère était Jokthan.
010a1a003b	Jokthan engendra Almodad, Schéleph, Hatsarmaveth, Jérach,
010a1b0015	Hadoram, Uzal, Dikla,
010a1c0016	Obal, Abimaël, Séba,
010a1d003d	Ophir, Havila et Jobab. Tous ceux-là furent fils de Jokthan.
010a1e005a	Ils habitèrent depuis Méscha, du côté de Sephar, jusqu’à la montagne de l’orient.
010a1f006e	Ce sont là les fils de Sem, selon leurs familles, selon leurs langues, selon leurs pays, selon leurs nations.
010a2000c1	Telles sont les familles des fils de Noé, selon leurs générations, selon leurs nations. Et c’est d’eux que sont sorties les nations qui se sont répandues sur la terre après le déluge.
010b010039	Toute la terre avait une seule langue et les mêmes mots.
010b02006e	Comme ils étaient partis de l’orient, ils trouvèrent une plaine au pays de Schinear, et ils y habitèrent.
010b03009e	Ils se dirent l’un à l’autre: Allons! Faisons des briques, et cuisons-les au feu. Et la brique leur servit de pierre, et le bitume leur servit de ciment.
010b0400bd	Ils dirent encore: Allons! Bâtissons-nous une ville et une tour dont le sommet touche au ciel, et faisons-nous un nom, afin que nous ne soyons pas dispersés sur la face de toute la terre.
010b05005a	L’Éternel descendit pour voir la ville et la tour que bâtissaient les fils des hommes.
010b0600cf	Et l’Éternel dit: Voici, ils forment un seul peuple et ont tous une même langue, et c’est là ce qu’ils ont entrepris; maintenant rien ne les empêcherait de faire tout ce qu’ils auraient projeté.
010b070073	Allons! Descendons, et là confondons leur langage, afin qu’ils n’entendent plus la langue, les uns des autres.
010b08006d	Et l’Éternel les dispersa loin de là sur la face de toute la terre; et ils cessèrent de bâtir la ville.
010b0900c7	C’est pourquoi on l’appela du nom de Babel, car c’est là que l’Éternel confondit le langage de toute la terre, et c’est de là que l’Éternel les dispersa sur la face de toute la terre.
010b0a0065	Voici la postérité de Sem. Sem, âgé de cent ans, engendra Arpacschad, deux ans après le déluge.
010b0b0066	Sem vécut, après la naissance d’Arpacschad, cinq cents ans; et il engendra des fils et des filles.
010b0c0039	Arpacschad, âgé de trente-cinq ans, engendra Schélach.
010b0d0072	Arpacschad vécut, après la naissance de Schélach, quatre cent trois ans; et il engendra des fils et des filles.
010b0e0030	Schélach, âgé de trente ans, engendra Héber.
010b0f006f	Schélach vécut, après la naissance d’Héber, quatre cent trois ans; et il engendra des fils et des filles.
010b100034	Héber, âgé de trente-quatre ans, engendra Péleg.
010b11006c	Héber vécut, après la naissance de Péleg, quatre cent trente ans; et il engendra des fils et des filles.
010b12002b	Péleg, âgé de trente ans, engendra Rehu.
010b130066	Péleg vécut, après la naissance de Rehu, deux cent neuf ans; et il engendra des fils et des filles.
010b14002f	Rehu, âgé de trente-deux ans, engendra Serug.
010b150065	Rehu vécut, après la naissance de Serug, deux cent sept ans; et il engendra des fils et des filles.
010b16002c	Serug, âgé de trente ans, engendra Nachor.
010b170063	Serug vécut, après la naissance de Nachor, deux cents ans; et il engendra des fils et des filles.
010b180032	Nachor, âgé de vingt-neuf ans, engendra Térach.
010b190068	Nachor vécut, après la naissance de Térach, cent dix-neuf ans; et il engendra des fils et des filles.
010b1a0044	Térach, âgé de soixante-dix ans, engendra Abram, Nachor et Haran.
010b1b005d	Voici la postérité de Térach. Térach engendra Abram, Nachor et Haran. Haran engendra Lot.
010b1c005f	Et Haran mourut en présence de Térach, son père, au pays de sa naissance, à Ur en Chaldée.
010b1d00b0	Abram et Nachor prirent des femmes: le nom de la femme d’Abram était Saraï, et le nom de la femme de Nachor était Milca, fille d’Haran, père de Milca et père de Jisca.
010b1e0039	Saraï était stérile: elle n’avait point d’enfants.
010b1f00fb	Térach prit Abram, son fils, et Lot, fils d’Haran, fils de son fils, et Saraï, sa belle-fille, femme d’Abram, son fils. Ils sortirent ensemble d’Ur en Chaldée, pour aller au pays de Canaan. Ils vinrent jusqu’à Charan, et ils y habitèrent.
010b20004f	Les jours de Térach furent de deux cent cinq ans; et Térach mourut à Charan.
010c01007e	L’Éternel dit à Abram: Vat’en de ton pays, de ta patrie, et de la maison de ton père, dans le pays que je te montrerai.
010c020078	Je ferai de toi une grande nation, et je te bénirai; je rendrai ton nom grand, et tu seras une source de bénédiction.
010c030082	Je bénirai ceux qui te béniront, et je maudirai ceux qui te maudiront; et toutes les familles de la terre seront bénies en toi.
010c040093	Abram partit, comme l’Éternel le lui avait dit, et Lot partit avec lui. Abram était âgé de soixante-quinze ans, lorsqu’il sortit de Charan.
010c0500ee	Abram prit Saraï, sa femme, et Lot, fils de son frère, avec tous les biens qu’ils possédaient et les serviteurs qu’ils avaient acquis à Charan. Ils partirent pour aller dans le pays de Canaan, et ils arrivèrent au pays de Canaan.
010c060080	Abram parcourut le pays jusqu’au lieu nommé Sichem, jusqu’aux chênes de Moré. Les Cananéens étaient alors dans le pays.
010c070092	L’Éternel apparut à Abram, et dit: Je donnerai ce pays à ta postérité. Et Abram bâtit là un autel à l’Éternel, qui lui était apparu.
010c0800e5	Il se transporta de là vers la montagne, à l’orient de Béthel, et il dressa ses tentes, ayant Béthel à l’occident et Aï à l’orient. Il bâtit encore là un autel à l’Éternel, et il invoqua le nom de l’Éternel.
010c09003a	Abram continua ses marches, en s’avançant vers le midi.
010c0a007c	Il y eut une famine dans le pays; et Abram descendit en Égypte pour y séjourner, car la famine était grande dans le pays.
010c0b007c	Comme il était près d’entrer en Égypte, il dit à Saraï, sa femme: Voici, je sais que tu es une femme belle de figure.
010c0c006a	Quand les Égyptiens te verront, ils diront: C’est sa femme! Et ils me tueront, et te laisseront la vie.
010c0d0077	Dis, je te prie, que tu es ma sœur, afin que je sois bien traité à cause de toi, et que mon âme vive grâce à toi.
010c0e005b	Lorsque Abram fut arrivé en Égypte, les Égyptiens virent que la femme était fort belle.
010c0f0076	Les grands de Pharaon la virent aussi et la vantèrent à Pharaon; et la femme fut emmenée dans la maison de Pharaon.
010c10009a	Il traita bien Abram à cause d’elle; et Abram reçut des brebis, des bœufs, des ânes, des serviteurs et des servantes, des ânesses, et des chameaux.
010c110065	Mais l’Éternel frappa de grandes plaies Pharaon et sa maison, au sujet de Saraï, femme d’Abram.
010c12007d	Alors Pharaon appela Abram, et dit: Qu’est-ce que tu m’as fait? Pourquoi ne m’as-tu pas déclaré que c’est ta femme?
010c13007f	Pourquoi as-tu dit: C’est ma sœur? Aussi l’ai-je prise pour ma femme. Maintenant, voici ta femme, prends-la, et va-t’en!
010c140065	Et Pharaon donna ordre à ses gens de le renvoyer, lui et sa femme, avec tout ce qui lui appartenait.
010d010067	Abram remonta d’Égypte vers le midi, lui, sa femme, et tout ce qui lui appartenait, et Lot avec lui.
010d02003a	Abram était très riche en troupeaux, en argent et en or.
010d03007d	Il dirigea ses marches du midi jusqu’à Béthel, jusqu’au lieu où était sa tente au commencement, entre Béthel et Aï,
010d04006d	au lieu où était l’autel qu’il avait fait précédemment. Et là, Abram invoqua le nom de l’Éternel.
010d050050	Lot, qui voyageait avec Abram, avait aussi des brebis, des bœufs et des tentes.
010d06009b	Et la contrée était insuffisante pour qu’ils demeurassent ensemble, car leurs biens étaient si considérables qu’ils ne pouvaient demeurer ensemble.
010d0700a2	Il y eut querelle entre les bergers des troupeaux d’Abram et les bergers des troupeaux de Lot. Les Cananéens et les Phérésiens habitaient alors dans le pays.
010d080091	Abram dit à Lot: Qu’il n’y ait point, je te prie, de dispute entre moi et toi, ni entre mes bergers et tes bergers; car nous sommes frères.
010d090092	Tout le pays n’est-il pas devant toi? Sépare-toi donc de moi: si tu vas à gauche, j’irai à droite; si tu vas à droite, j’irai à gauche.
010d0a00eb	Lot leva les yeux, et vit toute la plaine du Jourdain, qui était entièrement arrosée. Avant que l’Éternel eût détruit Sodome et Gomorrhe, c’était, jusqu’à Tsoar, comme un jardin de l’Éternel, comme le pays d’Égypte.
010d0b0090	Lot choisit pour lui toute la plaine du Jourdain, et il s’avança vers l’orient. C’est ainsi qu’ils se séparèrent l’un de l’autre.
010d0c0078	Abram habita dans le pays de Canaan; et Lot habita dans les villes de la plaine, et dressa ses tentes jusqu’à Sodome.
010d0d0052	Les gens de Sodome étaient méchants, et de grands pécheurs contre l’Éternel.
010d0e00aa	L’Éternel dit à Abram, après que Lot se fut séparé de lui: Lève les yeux, et, du lieu où tu es, regarde vers le nord et le midi, vers l’orient et l’occident;
010d0f0057	car tout le pays que tu vois, je le donnerai à toi et à ta postérité pour toujours.
010d1000a3	Je rendrai ta postérité comme la poussière de la terre, en sorte que, si quelqu’un peut compter la poussière de la terre, ta postérité aussi sera comptée.
010d110057	Lève-toi, parcours le pays dans sa longueur et dans sa largeur; car je te le donnerai.
010d12008a	Abram leva ses tentes, et vint habiter parmi les chênes de Mamré, qui sont près d’Hébron. Et il bâtit là un autel à l’Éternel.
010e010083	Dans le temps d’Amraphel, roi de Schinear, d’Arjoc, roi d’Ellasar, de Kedorlaomer, roi d’Élam, et de Tideal, roi de Gojim,
010e0200b9	il arriva qu’ils firent la guerre à Béra, roi de Sodome, à Birscha, roi de Gomorrhe, à Schineab, roi d’Adma, à Schémeéber, roi de Tseboïm, et au roi de Béla, qui est Tsoar.
010e030055	Ces derniers s’assemblèrent tous dans la vallée de Siddim, qui est la mer Salée.
010e040071	Pendant douze ans, ils avaient été soumis à Kedorlaomer; et la treizième année, ils s’étaient révoltés.
010e0500ca	Mais, la quatorzième année, Kedorlaomer et les rois qui étaient avec lui se mirent en marche, et ils battirent les Rephaïm à Aschteroth-Karnaïm, les Zuzim à Ham, les Émim à Schavé-Kirjathaïm,
010e060061	et les Horiens dans leur montagne de Séir, jusqu’au chêne de Paran, qui est près du désert.
010e0700b4	Puis ils s’en retournèrent, vinrent à En-Mischpath, qui est Kadès, et battirent les Amalécites sur tout leur territoire, ainsi que les Amoréens établis à Hatsatson-Thamar.
