010000000a	Yaradiliş
01090b009c	Sizinlə Öz əhdimi qoyuram ki, bütün canlılar bir daha daşqınla məhv olmayacaq və heç vaxt yer üzünü viran edən daşqın baş verməyəcək».
01090c008f	Allah yenə dedi: «Mənim sizinlə və sizinlə olan bütün canlılarla nəsillər boyu əbədi olaraq bağladığım əhdin əlaməti budur:
01090d0065	buludda Öz göy qurşağımı qoyuram ki, Mənimlə yer üzü arasında olan əhdin əlaməti olsun.
01090e0050	Mən yer üzünə bulud gətirdiyim zaman buludda göy qurşağı görünəcək.
01090f00a3	Onda Mən sizinlə və bütün canlı məxluqlarla bağladığım əhdi yada salacağam. Sular bir daha daşqına çevrilib bütün canlıları məhv etməyəcək.
0109100099	Buludda göy qurşağı olacaq. Mən Allah onu görüb yer üzündə yaşayan bütün canlı məxluqlarla bağladığım əbədi əhdi yada salacağam».
0109110073	Allah yenə Nuha dedi: «Mənim yer üzündə yaşayan bütün canlılarla bağladığım əhdin əlaməti budur».
010912005b	Gəmidən çıxan Nuhun oğulları bunlardır: Sam, Ham və Yafəs. Hamdan Kənan törədi.
010913005a	Nuhun üç oğlu bunlardır və yer üzündə yayılan bütün insanlar onlardan törədi.
0109140042	Nuh torpağı becərməyə başladı və bir üzüm bağı saldı.
0109150045	O, şərab içib sərxoş oldu və öz çadırında çılpaq uzandı.
0109160067	Kənanın atası Ham atasının çılpaq olduğunu gördü və bunu bayırda iki qardaşına söylədi.
01091700f1	Sam və Yafəs bir paltar götürüb öz çiyinlərinə saldılar və dal-dalı içəri girib, atalarının çılpaq bədənini örtdülər. Onlar üzlərini əks tərəfə çevirmişdilər ki, atalarının çılpaqlığını görməsinlər.
010918004c	Nuh öz sərxoşluğundan ayıldı və kiçik oğlunun əməlini bilib dedi:
0109190045	«Kənana lənət olsun, Öz qardaşlarının qullarına qul olsun».
01091a0049	Yenə dedi: «Samın Allahı Rəbbə alqış olsun, Kənan ona qul olsun.
01091b005a	Allah Yafəsə genişlik versin, Samın çadırlarında yaşasın. Kənan ona qul olsun».
01091c0032	Nuh daşqından sonra üç yüz əlli il yaşadı.
01091d002e	O, doqquz yüz əlli il ömür sürüb öldü.
010a01006f	Nuhun oğulları Sam, Ham və Yafəsin nəsil tarixçəsi belədir. Daşqından sonra onların oğulları oldu.
010a020049	Yafəsin oğulları: Qomer, Maqoq, Maday, Yavan, Tuval, Meşek və Tiras.
010a030030	Qomerin oğulları: Aşkenaz, Rifat və Toqarma.
010a04003a	Yavanın oğulları: Elişa, Tarşiş, Kittim və Dodanim.
010a050080	Onların nəsilləri adalara, öz torpaqlarına yayıldı. Öz millətlərinin arasında dillərə və qəbilələrə ayrıldı.
010a060032	Hamın oğulları: Kuş, Misrayim, Put və Kənan.
010a070061	Kuşun oğulları: Seva, Xavila, Savta, Raama və Savteka. Raamanın oğulları: Səba və Dedan.
010a080052	Kuşun Nəmrud adlı bir oğlu da oldu. O, yer üzündə ilk qüdrətli adam oldu.
010a09008f	Nəmrud Rəbbin önündə mahir bir ovçu idi, buna görə də xalqın arasında «Rəbbin önündə Nəmrud kimi mahir ovçu» sözü deyilir.
010a0a0061	Əvvəlcə onun padşahlığına Şinar ölkəsində olan Babil, Erek, Akkad və Kalne daxil idi.
010a0b004e	O bu torpaqdan Aşşur torpağına köçüb, Ninevanı, Rexovot-İri, Kelahı,
010a0c0045	Nineva ilə böyük şəhər olan Kelahın arasındakı Reseni tikdi.
010a0d0052	Misrayimin nəsilləri bunlardır: Ludlular, Anamlılar, Lehavlılar, Naftuhlular,
010a0e004f	Patroslular, Filiştlilərin əcdadı olan Kasluhlular, həmçinin Kaftorlular.
010a0f0037	Kənanın nəsilləri bunlardır: ilk oğlu Sidon, Xet,
010a100030	həmçinin Yevuslular, Emorlular, Qirqaşlılar,
010a110020	Xivlilər, Arqlılar, Sinlilər,
010a120063	Ervadlılar, Semarlılar və Xamatlılar. Sonralar Kənan qəbilələri ətraf yerlərə yayıldı.
010a13008d	Kənanlıların ərazisi Sidondan Gerara tərəf Qəzzəyə qədər, Sodoma, Homorraya, Admaya, Sevoyimə tərəf Leşaya qədər uzanırdı.
010a14007d	Bunlar öz ölkələrində və millətlərinin arasında qəbilələrinə və dillərinə görə ayrılan Ham oğulları idi.
010a150065	Everin bütün oğullarının əcdadı və böyük olan Yafəsin qardaşı Samın da oğulları oldu.
010a16003a	Samın oğulları: Elam, Aşşur, Arpakşad, Lud və Aram.
010a17002c	Aramın oğulları: Us, Xul, Geter və Maş.
010a180036	Arpakşaddan Şelah törədi, Şelahdan Ever törədi.
010a19007c	Everin iki oğlu oldu: birinin adı Peleq idi, çünki onun dövründə yer üzü bölündü. Qardaşının adı Yoqtan idi.
010a1a002d	Yoqtandan Almodad, Şelef, Xasarmavet, Yerah,
010a1b0015	Hadoram, Uzal, Diqla,
010a1c0015	Oval, Avimael, Səba,
010a1d004d	Ofir, Xavila və Yovav törədi; bunların hamısı Yoqtanın oğulları idi.
010a1e0061	Onlar şərqdə – Meşadan Sefara tərəf yerləşən dağlıq bölgədə məskən salmışdı.
010a1f007a	Bunlar öz ölkələrində və millətləri arasında qəbilələrinə və dillərinə görə ayrılan Sam oğulları idi.
010a2000ad	Öz millətləri arasında nəsillərinə görə Nuh oğullarının qəbilələri bunlardır. Daşqından sonra onların nəsillərindən yer üzünə millətlər yayıldı.
010b010034	Bütün dünyada bir dil və bir danışıq var idi.
010b020083	İnsanlar şərqdən köçüb gəldikləri zaman Şinar torpağında bir düzənliyə rast gəldilər və orada məskən saldılar.
010b0300a6	Sonra bir-birlərinə dedilər: «Gəlin kərpic düzəldək və onu yaxşı bişirək». Onlar daş əvəzinə kərpic və palçıq əvəzinə qatran götürdülər.
010b040097	Yenə dedilər: «Gəlin özümüzə bir şəhər və başı göylərə çatan bir qüllə tikib ad çıxaraq, daha bütün yer üzünə yayılmayaq».
010b05005e	Rəbb bəşər övladlarının tikdiyi şəhəri və qülləni görmək üçün aşağı endi.
010b0600b9	Rəbb dedi: «Budur, onların hamısı bir xalqdır və bir dilləri var. Buna görə də bu işi görməyə başlamışlar və indi etmək istədikləri işə heç kəs mane olmayacaq.
010b07006c	Gəlin aşağı enib orada onların dilini qarışdıraq ki, bir-birlərinin dilini başa düşməsinlər».
010b080058	Rəbb onları oradan bütün yer üzünə yaydı. Onlar şəhəri tikməyi dayandırdı.
010b0900a0	Buna görə də o yerin adına Babil dedilər, çünki orada Rəbb bütün dünyadakı adamların dilini qarışdırdı və onları bütün yer üzünə yaydı.
010b0a0070	Samın nəsil tarixçəsi belədir: daşqından iki il sonra Sam yüz yaşında olanda oğlu Arpakşad doğuldu.
010b0b0059	Arpakşad doğulandan sonra Sam beş yüz il yaşadı. Onun çoxlu oğlu və qızı oldu.
010b0c003b	Arpakşad otuz beş yaşında olanda oğlu Şelah doğuldu.
010b0d0062	Şelah doğulandan sonra Arpakşad dörd yüz üç il yaşadı. Onun çoxlu oğlu və qızı oldu.
010b0e0031	Şelah otuz yaşında olanda oğlu Ever doğuldu.
010b0f005d	Ever doğulandan sonra Şelah dörd yüz üç il yaşadı. Onun çoxlu oğlu və qızı oldu.
010b100036	Ever otuz dörd yaşında olanda oğlu Peleq doğuldu.
010b11005c	Peleq doğulandan sonra Ever dörd yüz otuz il yaşadı. Onun çoxlu oğlu və qızı oldu.
010b12002f	Peleq otuz yaşında olanda oğlu Reu doğuldu.
010b13005b	Reu doğulandan sonra Peleq iki yüz doqquz il yaşadı. Onun çoxlu oğlu və qızı oldu.
010b140033	Reu otuz iki yaşında olanda oğlu Seruq doğuldu.
010b15005a	Seruq doğulandan sonra Reu iki yüz yeddi il yaşadı. Onun çoxlu oğlu və qızı oldu.
010b160031	Seruq otuz yaşında olanda oğlu Naxor doğuldu.
010b170056	Naxor doğulandan sonra Seruq iki yüz il yaşadı. Onun çoxlu oğlu və qızı oldu.
010b18003a	Naxor iyirmi doqquz yaşında olanda oğlu Terah doğuldu.
010b19005c	Terah doğulandan sonra Naxor yüz on doqquz il yaşadı. Onun çoxlu oğlu və qızı oldu.
010b1a004b	Terah yetmiş yaşında olanda oğulları İbram, Naxor və Haran doğuldu.
010b1b0067	Terahın nəsil tarixçəsi belədir: Terahdan İbram, Naxor və Haran törədi. Harandan Lut törədi.
010b1c0066	Haran atası Terahın sağlığında doğulduğu ölkədə – Xaldeylilərin Ur şəhərində öldü.
010b1d009f	İbram və Naxor özlərinə arvad aldılar. İbramın arvadının adı Saray, Naxorun arvadının adı isə Milka idi. Milka və İska Haranın qızları idi.
010b1e0028	Saray sonsuz idi, onun uşağı olmurdu.
010b1f00fc	Terah oğlu İbramı, Haranın oğlu olan nəvəsi Lutu, oğlu İbramın arvadı olan gəlini Sarayı özü ilə götürdü və Kənan torpağına getmək üçün Xaldeylilərin Ur şəhərindən çıxdı. Onlar Xarana gəlib, orada məskən saldılar.
010b200035	Terah iki yüz beş il ömür sürüb Xaranda öldü.
010c01007d	Rəbb İbrama dedi: «Öz torpağından, qohumlarının arasından, ata evindən çıx, sənə göstərəcəyim torpağa get.
010c020086	Səndən böyük bir millət törədəcəyəm, sənə xeyir-dua verəcəyəm, adını ucaldacağam və bərəkət qaynağı olacaqsan.
010c0300ad	Sənə xeyir-dua verənlərə xeyir-dua verəcəyəm, sənə lənət edənləri lənətləyəcəyəm. Yer üzünün bütün tayfaları sənin vasitənlə xeyir-dua alacaq».
010c04008e	İbram Rəbbin ona söylədiyi kimi oradan çıxdı. Lut da onunla birgə getdi. Xarandan çıxdığı vaxt İbram yetmiş beş yaşında idi.
010c0500d7	İbram arvadı Sarayı, qardaşı oğlu Lutu, Xaranda əldə etdikləri bütün əmlakı və özünün bütün nökərlərini götürüb Kənan torpağına tərəf yola düşdü. Onlar Kənan torpağına gəldilər.
010c060082	İbram oranı dolaşıb, Şekem deyilən yerdəki More palıdının yanına çatdı. O vaxt bu torpaqda Kənanlılar yaşayırdı.
010c070094	Rəbb İbrama görünüb dedi: «Bu torpağı sənin nəslindən olana verəcəyəm». İbram ona görünən Rəbbə orada bir qurbangah düzəltdi.
010c0800f1	Buradan Bet-Elin şərqində yerləşən dağlıq yerə tərəf yola düşdü və burada çadır qurdu. Çadırdan qərbdə Bet-El, şərqdə isə Ay şəhəri idi. İbram orada da Rəbbə bir qurbangah qurdu və Rəbbin adını çağırdı.
010c090033	İbram tədricən cənuba doğru hərəkət edirdi.
010c0a0083	Bu torpaqda aclıq başlandı. İbram müvəqqəti qalmaq üçün Misirə getdi, çünki ölkədə böyük aclıq hökm sürürdü.
010c0b005e	O, Misirə yaxınlaşanda arvadı Saraya dedi: «Bax mən bilirəm ki, sən gözəl qadınsan.
010c0c007f	Misirlilər səni görüb deyəcəklər: “Bu onun arvadıdır”. Onda məni öldürəcəklər, səni isə sağ buraxacaqlar.
010c0d0083	Bəlkə sən deyəsən ki, mənim bacımsan, onda sənin xatirinə mənimlə yaxşı rəftar edərlər və mən də sağ qalaram».
010c0e005f	İbram Misirə gəlib çatanda Misirlilər onun arvadının çox gözəl olduğunu gördülər.
010c0f006f	Fironun əyanları da qadını gördülər və onu firona təriflədilər. Qadın fironun sarayına aparıldı.
010c1000a3	Onun xatirinə firon İbramla da yaxşı rəftar etdi: İbram qoyun-keçi, mal-qara, erkək və dişi eşşəklər, qullar, qarabaşlar və dəvələr sahibi oldu.
010c110078	Ancaq Rəbb İbramın arvadı Saraydan ötrü fironun və onun ev adamlarının başına böyük fəlakətlər gətirdi.
010c12008e	Firon İbramı çağırıb dedi: «Bu nə işdir, mənim başıma gətirdin? Bu qadının sənin arvadın olduğunu niyə mənə bildirmədin?
010c13008a	Nə üçün “bu mənim bacımdır” dedin ki, mən də onu özümə arvad olmaq üçün aldım? İndi isə arvadını da götür get».
010c140079	Firon adamlara onlar barədə əmr verdi və İbramla arvadını sahib olduğu bütün şeylərlə birgə yola saldılar.
010d01007a	İbram arvadı və sahib olduğu bütün şeylərlə birgə Misirdən çıxıb Negev torpağına getdi. Lut da onunla idi.
010d020049	İbram çox varlandı: onun çoxlu sürüsü və qızıl-gümüşü oldu.
010d030096	Negevdən çıxıb bir yerdən o biri yerə keçərək Bet-Elə qədər – Bet-Ellə Ay şəhəri arasında əvvəllər çadır qurduğu yerə getdi.
010d040060	İbram ilk vaxt düzəltdiyi qurbangahın yanına çatdı və orada Rəbbin adını çağırdı.
010d050055	İbramla birlikdə olan Lutun da qoyun-keçisi, mal-qarası və çadırları var idi.
010d060074	Birlikdə yaşamaq üçün yer onlara darlıq edirdi, çünki onların malı çox idi və birgə qala bilməzdilər.
010d0700a7	İbramın sürülərinin çobanları ilə Lutun sürülərinin çobanları arasında mübahisə düşdü. O vaxt bu torpaqda Kənanlılar və Perizlilər yaşayırdı.
010d08007c	İbram Luta dedi: «Qoy mənimlə sənin və çobanlarımla çobanların arasında mübahisə olmasın, çünki biz qohumuq.
010d09009f	Bütün torpaqlar gözünün önündə deyilmi? Gəl ayrılaq. Əgər sən sola getsən, mən sağa gedəcəyəm, sən sağa getsən, mən sola gedəcəyəm».
010d0a00f0	Lut başını qaldırıb İordan çayının kənarındakı düzənliyi gördü. O vaxt bu yer Misir torpağı kimi bütünlüklə Soara qədər suvarılırdı və Rəbbin bağı kimi idi. Rəbb hələ Sodom və Homorranı məhv etməmişdi.
010d0b008f	Lut özünə İordan çayının kənarındakı düzənliyi seçdi. O, şərqə tərəf hərəkət etdi. Beləcə onlar bir-birindən ayrıldı.
010d0c008e	İbram Kənan torpağında qaldı, Lut isə düzənlikdəki şəhərlərdə yaşamağa başladı və Sodoma qədər öz çadırlarını qurdu.
010d0d004b	Sodomun əhalisi çox pozğun idi və Rəbbə qarşı çoxlu günah edirdi.
010d0e0096	Lut İbramdan ayrıldıqdan sonra Rəbb İbrama dedi: «Başını qaldırıb dayandığın yerdən şimala, cənuba, şərqə və qərbə tərəf bax.
010d0f0051	Gördüyün bütün torpaqları əbədi olaraq sənə və nəslinə verəcəyəm.
010d10007c	Nəslini yerin tozu qədər çoxaldacağam. Əgər bir nəfər yerin tozunu saya bilərsə, sənin nəslini də saya bilər.
010d110050	Qalx bu torpağı uzununa və eninə dolaş, çünki Mən onu sənə verirəm».
010d12008f	İbram çadırını götürdü və gəlib Xevronda olan Mamre palıdının yanında məskən saldı. O burada Rəbbə bir qurbangah düzəltdi.
010e010070	Bu zaman Şinar padşahı Amrafel, Ellasar padşahı Aryok, Elam padşahı Kedorlaomer və Qoyim padşahı Tidal
010e0200a7	Sodom padşahı Beraya, Homorra padşahı Birşaya, Adma padşahı Şinava, Sevoyim padşahı Şemeverə, Bela, yəni Soar padşahına qarşı müharibəyə başladı.
010e030060	Bu son beş padşah indi Duz dənizi adlanan Siddim vadisində öz qoşunlarını birləşdirdi.
010e040065	Onlar on iki il Kedorlaomerin əsarəti altında qalmış, on üçüncü il isə üsyan etmişdilər.
010e05009a	On dördüncü il Kedorlaomer və onunla birgə olan padşahlar gəlib Aşterot-Qarnayimdə Rafalıları, Hamda Zuzluları, Şave-Qiryatayimdə Emliləri,
010e060056	çöl kənarındakı El-Parana qədər uzanan Seir dağlarında Xorluları qırdılar.
010e070098	Sonra geri qayıdıb En-Mişpata, yəni Qadeşə getdilər. Bütün Amaleq torpağının əhalisini və Xaseson-Tamarda yaşayan Emorluları qırdılar.
010e08007a	Sodom padşahı, Homorra padşahı, Adma padşahı, Sevoyim padşahı, Bela, yəni Soar padşahı Siddim vadisinə gəlib,
010e0900ad	Elam padşahı Kedorlaomerlə, Qoyim padşahı Tidalla, Şinar padşahı Amrafellə, Ellasar padşahı Aryokla döyüşə girdilər: dörd padşah beş padşaha qarşı idi.
010e0a00a8	Siddim vadisində qatranla dolu çoxlu çuxur var idi. Sodom və Homorra padşahları döyüşdən qaçanda oraya yıxıldılar, sağ qalanlar isə dağlara qaçdılar.
010e0b0058	Qaliblər Sodom və Homorranın bütün əmlakını və azuqəsini götürüb getdilər.
010e0c0070	İbramın qardaşı oğlu Lutu və onun əmlakını özləri ilə apardılar, çünki o da Sodomda yaşayırdı.
010e0d00cb	Döyüşdən sağ qurtaran bir nəfər gəlib İbrani İbrama bunu xəbər verdi. O, Eşkolun və Anerin qardaşı Emorlu Mamrenin palıdının yanında yaşayırdı. Onlar İbramın müttəfiqləri idi.
010e0e00b7	İbram qohumu Lutun əsir alındığını eşidəndə evində doğulmuş, döyüş təlimi keçmiş üç yüz on səkkiz nökərini götürüb düşmənləri Dana qədər təqib etdi.
010e0f00a9	Özü və nökərləri gecə vaxtı dəstələrə bölünüb, onları qırdılar və sağ qalanları Dəməşqin şimal tərəfində olan Xovaya qədər təqib etdilər.
010e100085	İbram qarət olunmuş bütün əmlakı, qardaşı oğlu Lutu və onun əmlakını, həmçinin qadınları və xalqı geri qaytardı.
010e11009f	İbram Kedorlaomer və onunla olan padşahları məğlub edib qayıdanda Sodom padşahı «Padşah vadisi» adlanan Şave vadisində onun pişvazına çıxdı.
010e12005d	Onda Salem padşahı Melkisedeq çörək və şərab gətirdi. O, Allah-Taalanın kahini idi.
010e130066	Melkisedeq İbrama xeyir-dua verib dedi: «Göy və yeri yaradan Allah-Taala İbrama xeyir-dua versin.
010e14007f	Düşmənlərini sənə təslim edən Allah-Taalaya alqış olsun». İbram bütün qənimətin onda birini Melkisedeqə verdi.
