0100000007	Geneză
01090200da	Şi teama de voi şi groaza de voi va fi peste fiecare fiară a pământului şi peste fiecare pasăre a cerului, peste tot ce se mişcă pe pământ şi peste toţi peştii mării; în mâna voastră sunt ele predate.
010903006a	Tot ce se mişcă şi trăieşte va fi mâncare pentru voi; precum planta verde, v-am dat toate lucrurile.
0109040043	Dar carne cu viaţa ei, ceea ce este sângele ei, să nu mâncaţi.
01090500be	Şi cu adevărat sângele vostru, al vieţilor voastre, îl voi cere, din mâna fiecărei fiare îl voi cere şi din mâna omului, din mâna fiecărui frate al omului voi cere viaţa omului.
010906007c	Oricine varsă sângele omului, prin om să fie vărsat sângele lui, pentru că după chipul lui Dumnezeu l-a făcut pe om.
010907006b	Şi voi fiţi roditori şi înmulţiţi-vă, naşteţi abundent pe pământ şi înmulţiţi-vă pe acesta.
010908003f	Şi Dumnezeu i-a vorbit lui Noe şi fiilor lui cu el, spunând:
0109090057	Şi eu, iată, întemeiez legământul meu cu voi şi cu sămânţa voastră după voi;
01090a00ce	Şi cu fiecare creatură vie care este cu voi, dintre păsări, dintre vite şi dintre fiecare fiară a pământului cu voi, de la tot ceea ce iese afară din arcă, până la fiecare fiară a pământului.
01090b00ba	Şi voi întemeia legământul meu cu voi şi nici nu va mai fi toată făptura stârpită vreodată prin apele unui potop, nici nu va mai fi vreodată un potop să distrugă pământul.
01090c00aa	Şi Dumnezeu a spus: Acesta este semnul legământului pe care îl fac între mine şi voi şi fiecare creatură vie care este cu voi, pentru generaţii pentru totdeauna:
01090d0064	Eu aşez curcubeul meu în nor şi acesta va fi ca semn al unui legământ între mine şi pământ.
01090e005a	Şi se va întâmpla, când aduc un nor peste pământ, că se va vedea curcubeul în nor:
01090f00bc	Şi îmi voi aminti de legământul meu, care este între mine şi voi şi fiecare creatură vie a toată făptura; şi apele nu vor mai deveni un potop ca să nimicească toată făptura.
01091000b0	Şi curcubeul va fi în nor şi îl voi privi, ca să îmi amintesc de legământul veşnic dintre Dumnezeu şi fiecare creatură vie, a toată făptura, care este pe pământ.
0109110090	Şi Dumnezeu i-a spus lui Noe: Acesta este semnul legământului, pe care l-am întemeiat între mine şi toată făptura care este pe pământ.
010912006a	Şi fiii lui Noe, care au ieşit din arcă, au fost Sem şi Ham şi Iafet; şi Ham este tatăl lui Canaan.
0109130054	Aceştia sunt cei trei fii ai lui Noe şi din ei a fost acoperit întregul pământ.
0109140036	Şi Noe a început a fi agricultor şi a sădit o vie;
0109150051	Şi a băut din vin şi s-a îmbătat şi s-a dezgolit înăuntrul cortului său.
010916006c	Şi Ham, tatăl lui Canaan, a văzut goliciunea tatălui său şi a spus celor doi fraţi ai săi de afară.
01091700d1	Şi Sem şi Iafet au luat o haină şi au pus-o peste amândoi umerii lor şi au mers cu spatele şi au acoperit goliciunea tatălui lor şi feţele lor erau întoarse şi nu au văzut goliciunea tatălui lor.
0109180063	Şi Noe s-a trezit din beţia vinului său şi a cunoscut ceea ce fiul său mai tânăr i-a făcut.
0109190056	Şi a spus: Blestemat fie Canaan, un servitor al servitorilor va fi el fraţilor săi.
01091a0058	Şi a spus: Binecuvântat fie DOMNUL Dumnezeul lui Sem; şi Canaan va fi servitorul lui.
01091b005f	Dumnezeu va lărgi pe Iafet şi va locui în corturile lui Sem şi Canaan va fi servitorul lui.
01091c0038	Şi Noe a trăit după potop trei sute cincizeci de ani.
01091d004a	Şi toate zilele lui Noe au fost nouă sute cincizeci de ani; şi a murit.
010a010067	Acum acestea sunt generaţiile fiilor lui Noe: Sem, Ham şi Iafet; şi li s-au născut fii după potop.
010a020053	Fiii lui Iafet: Gomer şi Magog şi Madai şi Iavan şi Tubal şi Meşec şi Tiras.
010a030034	Şi fiii lui Gomer: Aşchenaz şi Rifat şi Togarma.
010a04003a	Şi fiii lui Iavan: Elişa şi Tarsis, Chitim şi Dodanim.
010a05008f	Prin aceştia au fost împărţite insulele neamurilor în pământurile lor, fiecare după limba lui, după familiile lor, în naţiunile lor.
010a060037	Şi fiii lui Ham: Cuş şi Miţraim şi Put şi Canaan.
010a070068	Şi fiii lui Cuş: Seba şi Havila şi Sabta şi Raema şi Sabteca; şi fiii lui Raema: Şeba şi Dedan.
010a08004e	Şi Cuş a născut pe Nimrod, el a început să fie unul puternic pe pământ.
010a09007b	El era un vânător puternic înaintea DOMNULUI, de aceea s-a spus: Precum Nimrod, puternicul vânător înaintea DOMNULUI.
010a0a005e	Şi începutul împărăţiei sale a fost Babel şi Erec şi Acad şi Calne, în ţara Şinar.
010a0b0050	Din acea ţară a ieşit Aşur şi a zidit Ninive şi cetatea Rehobot şi Calah,
010a0c003f	Şi Resen, între Ninive şi Calah; aceasta este o mare cetate.
010a0d0051	Şi Miţraim a născut pe ludimi şi pe anamimi şi pe lehabimi şi pe naftuhimi,
010a0e0052	Şi pe patrusimi şi pe casluhimi, (din care au venit filisteni) şi pe caftorimi.
010a0f0042	Şi Canaan a născut pe Sidon, întâiul său născut, şi pe Het,
010a100034	Şi pe iebusiţi şi pe amoriţi şi pe ghirgasiţi,
010a11002e	Şi pe hiviţi şi pe archiţi şi pe siniţi,
010a12007d	Şi pe arvadiţi şi pe ţemariţi şi pe hamatiţi şi după aceea familiile canaaniţilor au fost împrăştiate peste tot.
010a130093	Şi graniţa canaaniţilor era de la Sidon, precum vii la Gherar, spre Gaza, cum mergi spre Sodoma şi Gomora şi Adma şi Zeboim, până la Leşa.
010a14006c	Aceştia sunt fiii lui Ham, după familiile lor, după limbile lor, în ţările lor şi în naţiunile lor.
010a150081	Lui Sem, de asemenea, tatăl tuturor copiilor lui Eber, fratele lui Iafet, care este mai vârstnic, şi lui i s-au născut copii.
010a16003e	Copiii lui Sem: Elam şi Aşur şi Arpacşad şi Lud şi Aram.
010a170035	Şi copiii lui Aram: Uţ şi Hul şi Gheter şi Maş.
010a18003f	Şi Arpacşad a născut pe Şelah şi Şelah a născut pe Eber.
010a1900a0	Şi lui Eber i s-au născut doi fii: numele unuia a fost Peleg, pentru că în zilele lui a fost pământul împărţit, şi numele fratelui său a fost Ioctan.
010a1a004e	Şi Ioctan a născut pe Almodad şi pe Şelef şi pe Haţarmavet şi pe Ierah,
010a1b0028	Şi pe Hadoram şi pe Uzal şi pe Dicla,
010a1c0028	Şi pe Obal şi pe Abimael şi pe Şeba,
010a1d004f	Şi pe Ofir şi pe Havila şi pe Iobab, toţi aceştia au fost fiii lui Ioctan.
010a1e0050	Şi locuinţa lor era de la Meşa, aşa cum mergi spre Sefar, un munte spre est.
010a1f006b	Aceştia sunt fiii lui Sem, după familiile lor, după limbile lor, în ţările lor, după naţiunile lor.
010a20009c	Acestea sunt familiile fiilor lui Noe, după generaţiile lor; în naţiunile lor şi prin aceştia au fost naţiunile împărţite pe pământ după potop.
010b01004a	Şi întreg pământul era cu o singură limbă şi cu o singură vorbire.
010b020070	Şi s-a întâmplat, cum au călătorit de la est, că au găsit o câmpie în ţara Şinar şi au locuit acolo.
010b03008d	Şi au spus unul altuia: Haidem să facem cărămizi şi să le ardem bine. Şi au avut cărămidă ca piatră şi smoală au avut ca mortar.
010b0400cb	Şi au spus: Haidem să ne zidim o cetate şi un turn, al cărui vârf să ajungă până la cer; şi să ne facem un nume, ca nu cumva să fim împrăştiaţi pretutindeni pe faţa întregului pământ.
010b050059	Şi DOMNUL a coborât să vadă cetatea şi turnul, pe care copiii oamenilor le-au zidit.
010b0600b1	Şi DOMNUL a spus: Iată, poporul este unul şi ei toţi au o singură limbă şi au început să facă aceasta, şi acum nimic nu îi va opri din ceea ce au de gând să facă.
010b070076	Haidem să coborâm, şi acolo să le încurcăm limba, ca ei să nu mai înţeleagă vorbirea unuia către celălalt.
010b080078	Astfel DOMNUL i-a împrăştiat pretutindeni de acolo, peste faţa întregului pământ; şi au încetat a zidi cetatea.
010b0900a8	De aceea i s-a pus numele Babel, pentru că acolo DOMNUL a încurcat limba întregului pământ; şi de acolo DOMNUL i-a împrăştiat peste faţa întregului pământ.
010b0a007d	Acestea sunt generaţiile lui Sem: Sem era în vârstă de o sută de ani şi a născut pe Arpacşad, la doi ani după potop;
010b0b0062	Şi Sem a trăit, după ce a născut pe Arpacşad, cinci sute de ani; şi a născut fii şi fiice.
010b0c0049	Şi Arpacşad a trăit treizeci şi cinci de ani şi a născut pe Şelah;
010b0d0067	Şi Arpacşad a trăit, după ce a născut pe Şelah, patru sute trei ani; şi a născut fii şi fiice.
010b0e003a	Şi Şelah a trăit treizeci de ani şi a născut pe Eber;
010b0f0062	Şi Şelah a trăit, după ce a născut pe Eber, patru sute trei ani; şi a născut fii şi fiice.
010b100043	Şi Eber a trăit treizeci şi patru de ani şi a născut pe Peleg;
010b110068	Şi Eber a trăit, după ce a născut pe Peleg, patru sute treizeci de ani; şi a născut fii şi fiice.
010b120038	Şi Peleg a trăit treizeci de ani şi a născut pe Reu;
010b130061	Şi Peleg a trăit, după ce a născut pe Reu, două sute nouă ani; şi a născut fii şi fiice.
010b140040	Şi Reu a trăit treizeci şi doi de ani şi a născut pe Serug;
010b150062	Şi Reu a trăit, după ce a născut pe Serug, două sute şapte ani; şi a născut fii şi fiice.
010b16003a	Şi Serug a trăit treizeci de ani şi a născut pe Nahor;
010b17005f	Şi Serug a trăit, după ce a născut pe Nahor; două sute de ani şi a născut fii şi fiice.
010b180045	Şi Nahor a trăit douăzeci şi nouă de ani şi a născut pe Terah;
010b190068	Şi Nahor a trăit, după ce a născut pe Terah, o sută nouăsprezece ani; şi a născut fii şi fiice.
010b1a004d	Şi Terah a trăit şaptezeci de ani şi a născut pe Avram, Nahor şi Haran.
010b1b0075	Şi acestea sunt generaţiile lui Terah: Terah a născut pe Avram, pe Nahor, şi pe Haran şi Haran a născut pe Lot.
010b1c005f	Şi Haran a murit înaintea tatălui său, Terah, în ţara naşterii sale, în Urul caldeilor.
010b1d00a2	Şi Avram şi Nahor şi-au luat soţii: numele soţiei lui Avram era Sarai şi numele soţiei lui Nahor, Milca, fiica lui Haran, tatăl Milcăi şi tatăl Iscăi.
010b1e0029	Dar Sarai era stearpă, ea nu avea copil.
010b1f0108	Şi Terah a luat pe Avram, fiul său, şi pe Lot, fiul lui Haran, fiul fiului său, şi pe Sarai, nora lui, soţia fiului său, Avram, şi a ieşit împreună cu ei din Urul caldeilor, ca să meargă în ţara lui Canaan; şi au venit la Haran şi au locuit acolo.
010b20004f	Şi zilele lui Terah au fost două sute cinci ani; şi Terah a murit în Haran.
010c01008b	Şi DOMNUL îi spusese lui Avram: Ieşi din ţara ta şi din rudenia ta şi din casa tatălui tău, spre o ţară pe care ţi-o voi arăta;
010c020078	Şi voi face din tine o mare naţiune şi te voi binecuvânta şi voi face numele tău mare şi vei fi o binecuvântare;
010c03009b	Şi voi binecuvânta pe cei ce te binecuvântează şi voi blestema pe cel ce te blestemă şi în tine toate familiile pământului vor fi binecuvântate.
010c040098	Astfel Avram a ieşit, cum îi spusese DOMNUL, şi Lot a mers cu el; şi Avram era în vârstă de şaptezeci şi cinci de ani când a plecat din Haran.
010c0500ec	Şi Avram a luat pe Sarai, soţia lui, şi pe Lot, fiul fratelui său şi toată averea pe care au adunat-o şi sufletele pe care le-au obţinut în Haran şi au ieşit să meargă în ţara lui Canaan şi au venit în ţara lui Canaan.
010c060074	Şi Avram a trecut prin ţară până la locul din Sihem, la câmpia lui More. Şi canaanitul era atunci în ţară.
010c07008e	Şi DOMNUL i s-a arătat lui Avram şi a spus: Seminţei tale voi da această ţară; şi acolo a zidit un altar DOMNULUI, care i s-a arătat.
010c0800b8	Şi el s-a mutat de acolo la un munte, la est de Betel, şi şi-a întins cortul, având Betel la vest şi Hai la est; şi acolo a zidit un altar DOMNULUI şi a chemat numele DOMNULUI.
010c09002f	Şi Avram a călătorit, mergând tot spre sud.
010c0a008e	Şi a fost o foamete în ţară şi Avram a coborât în Egipt să locuiască temporar acolo, pentru că foametea era apăsătoare în ţară.
010c0b0099	Şi s-a întâmplat, când s-a apropiat să intre în Egipt, că el i-a spus Sarei, soţia lui: Acum iată, ştiu că eşti o femeie frumoasă la vedere,
010c0c009b	De aceea se va întâmpla, când egiptenii te vor vedea, că vor spune: Aceasta este soţia lui; şi mă vor ucide, dar pe tine te vor păstra în viaţă.
010c0d0072	Spune, te rog, că eşti sora mea, ca să îmi fie bine din cauza ta şi sufletul meu să trăiască din cauza ta.
010c0e006f	Şi s-a întâmplat, pe când Avram a ajuns în Egipt, că egiptenii au văzut că femeia era foarte frumoasă.
010c0f0080	Prinţii lui Faraon de asemenea au văzut-o şi au lăudat-o înaintea lui Faraon; şi femeia a fost luată în casa lui Faraon.
010c100083	Şi l-a tratat bine pe Avram din cauza ei şi avea oi şi boi şi catâri şi servitori şi servitoare şi măgăriţe şi cămile.
010c11006a	Şi DOMNUL a lovit cu plăgi pe Faraon şi casa lui, cu plăgi mari din cauza lui Sarai, soţia lui Avram.
010c120070	Şi Faraon a chemat pe Avram şi a spus: Ce este aceasta ce mi-ai făcut? De ce nu mi-ai spus că era soţia ta?
010c13007d	De ce ai spus: Ea este sora mea; astfel că aproape am luat-o de soţie? De aceea acum, iat-o pe soţia ta, ia-o şi pleacă.
010c140077	Şi Faraon a poruncit oamenilor săi referitor la el şi l-au trimis de la ei, pe el şi pe soţia lui şi tot ce avea.
010d01006f	Şi Avram a urcat din Egipt, el şi soţia lui şi tot ce avea, şi Lot împreună cu el, în sudul Canaanului.
010d02003c	Şi Avram era foarte bogat în vite, în argint şi în aur.
010d03008a	Şi a mers în călătoriile lui din sud chiar până la Betel, până la locul unde fusese cortul său la început, între Betel şi Hai;
010d04006a	Până la locul altarului, pe care l-a făcut acolo la început; şi acolo Avram a chemat numele DOMNULUI.
010d05004d	Şi de asemenea Lot, care a mers cu Avram, avea turme şi cirezi şi corturi.
010d060090	Şi ţara nu era în stare să îi ţină ca să poată locui împreună, pentru că averea lor era mare, astfel că nu puteau locui împreună.
010d070093	Şi a fost o ceartă între păzitorii vitelor lui Avram şi păzitorii vitelor lui Lot; şi canaanitul şi perizitul locuiau pe atunci în ţară.
010d080095	Şi Avram i-a spus lui Lot: Să nu fie ceartă, te rog, între mine şi tine şi între păzitorii mei şi păzitorii tăi, pentru că suntem fraţi.
010d0900bc	Nu este întreaga ţară înaintea ta? Desparte-te, te rog, de mine; dacă o vei lua la stânga, atunci eu voi merge la dreapta, sau dacă mergi la dreapta, atunci eu voi merge la stânga.
010d0a00e7	Şi Lot şi-a ridicat ochii şi a privit toată câmpia Iordanului, că aceasta era bine udată peste tot, înainte ca DOMNUL să fi distrus Sodoma şi Gomora, era ca grădina DOMNULUI, asemenea ţării Egiptului, cum vii la Ţoar.
010d0b0081	Atunci Lot a ales pentru el toată câmpia Iordanului; şi Lot a călătorit spre est; şi ei s-au despărţit unul de celălalt.
010d0c0075	Avram a locuit în ţara lui Canaan şi Lot a locuit în cetăţile din câmpie şi şi-a întins cortul spre Sodoma.
010d0d005b	Dar oamenii din Sodoma erau peste măsură de stricaţi şi păcătoşi înaintea DOMNULUI.
010d0e00b3	Şi DOMNUL i-a spus lui Avram, după ce s-a despărţit Lot de el: Ridică-ţi acum ochii şi priveşte din locul în care eşti spre nord şi spre sud şi spre est şi spre vest,
010d0f0062	Pentru că tot pământul pe care îl vezi, ţie ţi-l voi da şi seminţei tale pentru totdeauna.
