2800000008	מתיו
280816008d	אולם ישוע ענה לו:”לך אחרי עכשיו! והנח למתים (מבחינה רוחנית) לדאוג למתים שלהם.“
280817007b	לאחר מכן נכנסו ישוע ותלמידיו לסירה והחלו לשוט אל הצד השני של הכינרת.
2808180080	לפתע התחוללה סערה נוראה, והגלים הגבוהים הציפו את הסירה. ואילו ישוע ישן.
280819008a	התלמידים ניגשו אל ישוע והעירו אותו בבהלה:”אדוננו, הצל אותנו! אנחנו טובעים!“
28081a00ec	אולם ישוע ענה:”חסרי־אמונה שכמוכם! מדוע אתם פוחדים כל־כך?“הוא קם ונזף ברוח, ופקד על הים להירגע. מיד פסקה הסערה; הרוח שקטה והים נרגע.
28081b0088	התלמידים הנדהמים שאלו זה את זה:”מיהו האיש הזה שאפילו הרוח והים נשמעים לו?“
28081c00f4	בהגיעם אל ארץ הגדריים, באו לקראתם שני אנשים אחוזי־שדים. השניים התגוררו בבית־הקברות והיו מסוכנים כל כך, עד שאיש לא העז לעבור באזור ההוא.
28081d0090	השניים צעקו אל ישוע:”מה אתה רוצה מאתנו, בן־האלוהים? אסור לך עדיין לייסר אותנו!“
28081e0032	במרחק מה משם רעה עדר חזירים,
28081f0080	והשדים ביקשו:”אם אתה מגרש אותנו, שלח אותנו לפחות אל תוך החזירים האלה.“
28082000d3	ישוע הסכים, וציווה עליהם:”הסתלקו!“השדים יצאו מהאנשים ונכנסו בחזירים, ואלה דהרו מיד במדרון ההר ישר אל תוך הים, וטבעו.
2808210051	הרועים ברחו אל העיר הקרובה וסיפרו על מה שקרה,
2808220091	וכל אנשי העיר יצאו מיד לראות את ישוע, וביקשו ממנו לעזוב את האזור ולא להטריד אותם.
280901005f	ישוע חזר לסירה, חצה את האגם ושב לכפר־נחום עיר מגוריו.
28090200c4	מספר אנשים הביאו אליו בחור משותק על אלונקה. כשראה ישוע את אמונתם, אמר לבחור:”התעודד, בני, כי נסלחו לך חטאיך!“
280903008a	”איש זה מגדף!“אמרו בלבם מספר סופרים. (כי מי מלבד אלוהים יכול לסלוח על חטאים?)
2809040078	ישוע ידע את מחשבותיהם, ולכן שאל אותם:”מדוע אתם חושבים מחשבות רעות?
2809050126	לבן האדם, יש סמכות לסלוח על חטאים, אך מכיוון שכל אחד יכול לומר דברים סתם, אז אפגין לכם את סמכותי.“הוא פנה אל הנער המשותק ואמר לו”קום! קפל את האלונקה שלך ולך הביתה!“
280907004d	הבחור קפץ על רגליו לנגד עיניהם, והלך לביתו.
280908007d	פחד אחז את הנוכחים, והם הודו לה׳ ושיבחו אותו על שנתן כוח כזה לבני־אדם.
28090900f2	כשישוע הלך משם הוא ראה בבית־המכס את גובה המכס, מתתיהו.”בוא והיה תלמיד שלי“, אמר לו ישוע. מתתיהו קם, עזב את הכול מאחוריו והלך אחרי ישוע.
28090a008d	בערב כשאכלו ישוע ותלמידיו בביתו של מתתיהו, הצטרפו אליהם מוכסים וחוטאים אחרים.
28090b0088	הפרושים כעסו מאוד ואמרו לתלמידיו:”מדוע הרב שלכם אוכל בחברת החוטאים האלה?“
28090c00a0	ישוע השיב להם:”אנשים בריאים אינם זקוקים לרופא; אלא שהחולים זקוקים לרופא!“השיב להם ישוע,
28090d00d8	והוסיף:”עתה לכו ולימדו את משמעות הפסוק:’כי חסד חפצתי ולא‎ זֶבַח‘. לא באתי לקרוא לצדיקים לחזור בתשובה, כי אם לחוטאים.“
28090e0099	יום אחד באו תלמידי יוחנן אל ישוע ושאלו:”מדוע תלמידיך אינם צמים כמונו וכמו הפרושים?“
28090f00e0	”האם יכולים ידידי החתן להתאבל ולצום בזמן שהוא נמצא אתם?“השיב להם ישוע בשאלה.”אולם יבוא יום שהחתן יילקח מהם, ואז הם יצומו.“
2809100091	”מי תופר טלאי מבד חדש על בגד ישן? הרי הטלאי מהבגד החדש יינתק ויגדיל את החור בבגד!
28091100e1	ומי ממלא יין חדש בחביות רקובות? הרי היין יבקע את החביות ויישפך החוצה! יין חדש יש לשמור בחביות חדשות. כך יישמרו היין והחביות.“
280912010c	בשעה שישוע דיבר בא אליו הרב של בית־הכנסת המקומי והשתחווה לפניו.”בתי הקטנה מתה ממש עכשיו, “אמר הרב,”אולם אתה תוכל להחיות אותה, אם רק תבוא ותיגע בה.“
280913004f	ישוע קם והלך אחרי הרב, ותלמידיו הצטרפו אליו.
28091400c9	בקרב הקהל שהלך אחריהם הייתה אישה שסבלה משטף דם מתמיד במשך שתים־עשרה שנה. היא עמדה מאחורי ישוע ונגעה בקצה מעילו,
2809150040	מפני שחשבה:”אם רק אגע בבגדו, ארפא!“
2809160095	ישוע פנה לאחור ואמר לאישה:”התעודדי בתי, אמונתֵך ריפאה אותך.“ובאותו רגע היא נרפאה.
2809170062	ישוע הגיע לבית הרב וראה את המתאבלים שבכו וקוננו קינות.
2809180084	”לכו מכאן כולכם!“קרא ישוע.”הילדה לא מתה; היא רק ישנה!“אולם כולם צחקו לו.
280919008e	ברגע שיצאו האנשים נכנס ישוע לחדר הילדה, אחז בידה, והיא קפצה ממיטתה בריאה לגמרי.
28091a004a	השמועה על הנס הנפלא הזה התפשטה בכל האזור.
28091b0088	כשעזב ישוע את בית הרב, הלכו בעקבותיו שני עיוורים וצעקו:”בן דוד, רחם עלינו!“
28091c010b	שני העיוורים נכנסו אל הבית שבו התארח ישוע, והוא שאל אותם:”האם אתם מאמינים שאני יכול להשיב לכם את ראייתכם?“”כן, אדון, “ענו השניים,”אנחנו מאמינים.“
28091d0054	ישוע נגע בעיניהם ואמר:”משום שהאמנתם, תירפאו.“
28091e006d	לפתע יכלו השניים לראות. ישוע הזהיר אותם שלא יספרו על כך לאיש,
28091f005f	אולם השניים לא שמעו בקולו ופרסמו את דבר הנס בכל הארץ.
2809200059	כשעזב ישוע את המקום הוא פגש אדם אילם שהיה אחוז שד.
28092100a0	ישוע גירש את השד, והאיש החל לדבר. ההמונים נדהמו וקראו:”מעולם לא נראו דברים כאלה בישראל!“
2809220091	אולם הפרושים אמרו:”אין פלא שהוא יכול לגרש שדים, הרי הוא מקבל את כוחו משר השדים!“
2809230114	ישוע עבר בכל הערים והכפרים שבאזור, כשהוא מלמד בבתי־הכנסת ומבשר את החדשות הטובות על מלכות השמים. בכל מקום שבו ישוע ביקר הוא ריפא את האנשים מכל מיני מחלות.
2809240095	הוא ריחם על כל האנשים שלא ידעו מה לעשות ולאן לפנות. הם היו כמו כבשים תועות בלי רועה.
2809250060	”הקציר כה רב אך הפועלים כה מעטים!“אמר ישוע לתלמידיו.
2809260083	”התפללו ובקשו מהאחראי על הקציר שידריך ויכשיר לעבודה פועלים רבים יותר!“
280a010096	ישוע קרא אליו את שנים־עשר תלמידיו ונתן להם כוח לגרש רוחות רעות ולרפא כל מיני מחלות.
280a0200e0	אלה שמותיהם של שנים־עשר התלמידים: שמעון (הנקרא גם פטרוס), ‎אַנְדְּרֵי (אחיו של שמעון), יעקב (בנו של זבדי), יוחנן (אחיו של יעקב),
280a03006e	פיליפוס, בר־תלמי, תומא, מתתיהו (גובה המכס), יעקב (בן־חלפי), תדי,
280a04006e	שמעון (מחבורת”הקנאים“), ויהודה איש קריות (זה שהסגיר את ישוע).
280a050076	ישוע נתן להם את ההוראות הבאות:”אל תלכו אל הגויים או אל השומרונים,
280a060041	כי אם אל הצאן התועה של עם ישראל בלבד.
280a07003c	לכו וספרו להם שמלכות השמים קרובה.
280a0800ed	רפאו את החולים, הקימו את המתים לתחייה, רפאו את המצורעים וגרשו את השדים. אתם קיבלתם הכול חינם אין כסף, לכן אל תדרשו תמורה בעד שירותכם!
280a09003d	”אל תיקחו איתכם זהב, כסף או נחושת.
280a0a00af	אל תיקחו תרמיל עם בגדים להחלפה, לא נעלים ואף לא מקל הליכה. האנשים שתעזרו להם ידאגו לכם ויטפלו בכם.
280a0b0094	בבואכם לעיר או לכפר, חפשו שם בן אדם טוב והישארו בביתו עד שיגיע הזמן ללכת לעיר אחרת.
280a0c0049	כשתכנסו אל הבית, קודם כל ברכו אותו בשלום.
280a0d0095	אם זהו ביתם של אנשים טובים, הברכה תתקיים; ואם אין אלה אנשים טובים, הברכה תשוב אליכם.
280a0e0087	בכל עיר או בית שבהם לא יקבלו אתכם, נערו את אבק המקום מעל רגליכם ולכו לדרככם.
280a0f007a	אני אומר לכם: אף לסדום ועמורה יהיה קל יותר ביום־הדין מאשר לערים אלה.
280a100089	”אני שולח אתכם כמו כבשים בין זאבים. לכן היו ערמומיים כנחשים ותמימים כיונים.
280a110084	אולם היזהרו! כי עלולים לאסור ולשפוט אתכם ולהלקות אתכם בשוטים בבתי־הכנסת.
280a1200bf	כן, יהיה עליכם להישפט לפני מלכים ומושלים בגללי, אולם זאת תהיה לכם הזדמנות לספר להם ולעולם כולו על אודותיי.
