0100000009	Kutendeka
0108120059	Ni kiine Noa waafumine pamo ni mukazi wakue, ni baana bakue balalume pamo ni bakazi babo.
0108130050	Nama ni byoni pamo ni bilengua byonse bikose byaali byali mu safina, byaafumine.
0108140098	Noa waamukuuliile Yawe kitale. Waabuulilepo misango yonse ya bilengua bisambikile, pa nama ni tooni, ni kubiziziizia byonse pa kitale kuti bibe ngelelo.
01081500f5	Yawe waawamiinue na bunu bwa ngelelo yaaziziiziwe. Yawe waalandile evi, “Nsikikatiipa kabili kyalo pa mulandu wa muntu, anzia kine malanga a muntu abiipile kutula ku bulumendo bwakue. Kabili nsikikeenoona bilengua byonse bikose mu ozu musango.
01081600df	Lyonse kyalo lukikilipo, kuli kwaya kwali musita wa kubyala ni musita wa kuzombola, musita wa kasama ni musita wa lyuza, musita wa mwela ni musita wa likungulu, musita wa koba ni musita wa busiku, ni byo byaakabeelelela.”
010901007a	Leza waamupaalile Noa pamo ni baana bakue balalume wabaana nangue, “Vyalane musanduluke evi luvyalo lobe lwizuzie kyalo.
01090200d6	Nama yonse ya pa kyalo ni tooni tonse twa mu lweleele, ni bilengua byonse bilibyayibula pansi, ni masabi onse a mu lyezi, byaakaba byaunvua mwezo ni kumitiina. Kabili namipeela buvinde pa bintu byonse bya pa kyalo.
0109030055	Nama ya misango yonse ikosele yaakaba bilio byenu nga vinaamipeele saasa ulekenkeene.
010904004b	Inzi tekuti mukaliililile nama pamo ni mulopa wakue, pantu i bukose bwakue.
010905007b	Kisinka naakakita kibwelezi pa mulopa wa bukose bwenu, naakakita kibwelezi ku muntu ni ku nama, ni ku muntu ni muntu nakue.
0109060073	Ozo waakeetila mulopa wa muntu, ni ye mulopa wakue waakeetilua na muntu, pantu muntu waalengelue wapaleene ni Leza.
0109070046	“Inzi mwemue vyalane musanduluke evi luvyalo lobe lwizuzie kyalo.”
010908003a	Kabili Leza waamwanine Noa ni baana bakue balalume nangue,
010909002e	“Unvue, napinghana nenu pamo ni nvyalo yenu.
01090a0087	Napinghana na bilengua byonse bikose: Toni tonse, ni nama yonse ya kuteekua pamo ni nama yonse ya mu kisonso imwakifuma nayo mu safina.
01090b0082	Napinghana nenu nangue, nene nsikikeenoona kabili bilengua bikose na kibunda. Kabili tekukaba kinge kibunda kyaakeenoona kyalo.”
01090c0098	Leza waabaanine nangue, “Kaka i kalangi ka kipingo kinapinghana nenu pamo ni bilengua byonse bikose, kalangi ka muyayaya ku nvyalo yonse ya ku ntanzi.
01090d0050	Nabiika mukolanvula mu malezi kuti ube kalangi ka kipingo kinapinghana na kyalo.
01090e004c	Naakaba nakita kine nakolonghania malezi, ni mukolanvula wamoneka mu malezi,
01090f0093	naakaba nalangakana kipingo kinapinghana nenu, ni nama yonse ni tooni tonse pamo ni bilengua byonse bikose nangue nsikikabinoona kabili na kibunda.
0109100099	Mukolanvula paukaba wamoneka mu malezi, naakaba nakentako kuti nanguluke kipingo kya muyayaya kili pakati kane ni bilengua byonse bikose bya pa kyalo.”
0109110069	Leza waamwanine Noa, “Kaka i kalangi ka kipingo kinapinghana na bilengua byonse bikose bya pa kyalo.”
010912006f	Meena a baana balalume bena Noa baafumine mu safina ni aza: Shemu, ni Hamu, Ni Yafeti. Hamu i waavyele Kanaani.
010913005a	Babo baana batatu balalume bena Noa i babikolue ba bantu bonse baasalangheene mwaya kyalo.
010914004a	Noa wa-alukile mulimi. Kabili i waali wa mambo kulima bukaba bwa mizabibu.
0109150060	Busiku bumo Noa waaminine divai, wakolua, ngubo yakue yaapenukile paali waleele mu liema lyakue.
0109160054	Hamu, se kwa Kanaani, lu-aamwene se waleele bwamba, waile kubwilako Shemu ni Yafeti.
01091700a1	Shemu ni Yafeti lubaunvwile evio, baatweme ngubo pa nkombe, babamba kuya nayo kinfwefue mpaka kuya kumuvimba sibo. Bene tebaamukentele sibo waali waleele bwamba.
010918003b	Noa lu-aakololokelue ni kumana vyaakitile mwana wakue Hamu,
0109190053	waalandile evi, “Kanaani atiipue! Kabili aye wali muzia wakua Shemu ni Yaferi.”
01091a005d	Kabili waalandile evi, “Yawe, Leza wakua Shemu apaalue! Kanaani aye wali muzia wakua Shemu!
01091b006f	Leza avuzie bunonsi bwakua Yafeti. Yafeti ekale mu maema akua Shemu, ni Kanaani aye wali muzia wakua Yafeti.”
01091c0037	Pa kyamba kya kibunda, Noa waikeele pa kyalo myaka 350.
01091d001f	Noa waafwile wali na myaka 950.
010a010087	Noa waavyele baana batatu balalumenke: Shemu, ni Hamu, pamo ni Yafeti. Babo batatu ni bo baavyele baana balalume pa kyamba kya kibunda.
010a02005e	Yafeti waavyele Gomeri, ni Magogi, ni Madai, ni Yavani, ni Tubali, ni Mesheki, pamo ni Tirasi.
010a030036	Gomeri waavyele Ashkenazi, ni Rifati, pamo ni Togarma.
010a040042	Yavani waavyele Elisha, ni Tarshishi, ni Kitimu, pamo ni Dodanimu.
010a0500ab	Babo i babikolue ba bantu baali baikeele mu bilila. Ezi i nvyalo yakua Yafeti yaali yaikeele kubalua mukowa mu kyalo kyakue. Kubalua libumba lyaali lyalanda lulimi lwakue.
010a060038	Hamu waavyele Kushi, ni Misri, ni Puti, pamo ni Kanaani.
010a070068	Kushi waavyele Seba, ni Havila, ni Sabuta, ni Raama, pamo ni Sabuteka. Raama i waavyele Sheba ni Dedani.
010a080046	Kushi waavyele Nimrodi. Ozo Nimrodi i waali kalwisia wa maka pa kyalo.
010a09009f	Waali wali mbwela wa nama mwine mwine ku menso akua Yawe. Ni pakako, bantu balibalanda nangue, “Nga Nimrodi mbwela wa nama mwine mwine ku menso akua Yawe.”
010a0a006a	Ntendeko ya bukolo bwakue yaali mu Babeli, ni mu Ereki, ni mu Akadi, pamo ni mu Kalne mu kyalo kya Sinari.
010a0b006e	Nimrodi lu-aafumine koko, waile ku Asuria, wakuulako muzi wa Ninawe, ni muzi wa Rehoboti-Iri, ni muzi wa Kala,
010a0c004f	pamo ni muzi ukata wa Reseni, muzi uli pa bukata bwa muzi wa Ninawe ni wa Kala.
010a0d003e	Misri waavyele Baludia, ni Ba-anamu, ni Baleabu, ni Banafutui,
010a0e0048	ni Bapatrusi, ni Bakaslui. Babo i babikolue ba Bafilistini ni Bakaftori.
010a0f0041	Kanaani waavyele Sidona waali libeli wakue, kabili waavyele Heti.
010a10004a	Kanaani ni ye waali wali kikolue wa Bayebushi, ni Ba-amori, ni Bagirgashi,
010a110021	ni Bahivi, ni Ba-ariki, ni Basini
010a12005b	ni Ba-arvati, ni Basemari, pamo ni Bahamati. Pa kyamba, nvyalo ya Bakanaani yaasalangheene.
010a1300c0	Mipaka ya kyalo kyabo yaali yafumine ku Sidona yaile lya ku Gerasi mpaka ku Gaza. Kabili yaali yapitile lya ku Sodoma, ni lya ku Gomora, ni lya ku Adima, pamo ni lya ku Seboimu mpaka ku Lasha.
010a140075	Ezi i nvyalo yakua Hamu yaali yaikeele kubalua mukowa mu kyalo kyakue. Kubalua libumba lyaali lyalanda lulimi lwakue.
010a15003e	Shemu, mukuluube kwa Yafeti, i waali kikolue wa Baeberi bonse.
010a160048	Shemu waavyele Elamu, ni Ashuri, ni Arpakishadi, ni Ludi, pamo ni Aramu.
010a170036	Aramu waavyele Uzi, ni Huli, ni Geteri, pamo ni Mashi.
010a180035	Arpakishadi waavyele Sela. Sela ni ye waavyele Eberi.
010a190096	Eberi waavyele baana babili balalume: Umo waali wakuutua Pelegi, pantu waavyelue musita ubaakaseene kyalo mu mikoa mikoa. Ni unge wainikilue Yoketani.
010a1a003f	Yoketani waavyele Almodadi, ni Shelefu, ni Asarmaveti, ni Yera,
010a1b0020	ni Hadoramu, ni Uzali, ni Dikla,
010a1c0020	ni Obali, ni Abimaeli, ni Sheba,
010a1d0053	ni Ofiri, ni Avila, pamo ni Yobabu. Babo bonse baali ba mu luvyalo lwakua Yoketani.
010a1e0071	Kyalo kibaali baikeelemo kyaali kyatendekeele ku Mesha kine ulimukuya ku Sefari ku kapili ka ku kabanga ka kyalo.
010a1f0076	Ezi i nvyalo yakua Shemu yaali yaikeele kubalua mukowa mu kyalo kyakue. Kubalua libumba lyaali lyalanda lulimi lwakue.
010a200099	Babo bantu bonse ba mu luvyalo lwakua Noa, i ntundu yaafumine mu baana balalume bena Noa, ntundu yaasalangheene mwaya kyalo kyonse pa kyamba kya kibunda.
010b01004e	Pa ozo musita, bekala kyalo bonse baali balanda sie lulimi lumo ni twebo tumo.
010b020053	Lubaali baya lya ku kabanga, baafikile mu lulambe lwa Sinari, ni momo i mubaikeele.
010b03008f	Baalanzyaniizie nangue, “Emwe, ize tukite mabiliki ni ku-azizia bwino.” Pa kifuka kya mabue, baakitile mabiliki, ni kukuulila na kabulimbu.
010b040081	Baalandile nangue, “Tukuule muzi ni munara ufikile mu lyulu pakuti tuye twamanikile evi tekuti tukasalanghanine mwaya kyalo.”
010b050048	Yawe waakookele kuya kumona muzi wa munara waali wakuulua na bena bantu.
010b0600b6	Yawe waalandile evi, “Baba bantu bali mu mutundu umo, kabili balimukulanda lulimi lumo, ni ezi ikili sie ntendeko ya miilo yabo. Tekuli kyaakabanzia kukita kelia kiboomiine kukita.
010b070044	Ale tukooke tuye tuvulunghanie nandilo yabo, evi tekuti bonvwane.”
010b080053	Ni pakako, Yawe waabasalanghaniizie pa kyalo kyonse. Ni bo baalekeele kukuula muzi.
010b09008c	Evi muzi wainikilue Babeli, pantu papo Yawe i pa-aavulunghaniizie lulimi lwa bantu bonse. Kutula papo, Yawe waabasalanghaniizie mwaya kyalo.
010b0a00a3	Ezi i nvyalo yakua Shemu. Pa kyamba kya kibunda lupaali pasyapitile myaka ibili, Shemu lu-aakumaniizie myaka 100, waavyele mwana mwalalume ni kumwinika Arpakisadi.
010b0b0070	Pa kyamba kya kuvyala Arpakisadi, Shemu waikeele pa kyalo myaka 500 ni kuvyala bange baana balalume ni banakazi.
010b0c0033	Arpakisadi lu-aakumaniizie myaka 35, waavyele Sela.
010b0d0070	Pa kyamba kya kuvyala Sela, Aripakisadi waikeele pa kyalo myaka 403 ni kuvyala bange baana balalume ni banakazi.
010b0e004b	Sela lu-aakumaniizie myaka 30, waavyele mwana mwalalume ni kumwinika Eberi.
010b0f006a	Pa kyamba kya kuvyala Eberi, Sela waikeele pa kyalo myaka 403 ni kuvyala bange baana balalume ni banakazi.
010b100030	Eberi lu-aakumaniizie myaka 34, waavyele Pelegi.
010b11006c	Pa kyamba kya kuvyala Pelegi, Eberi waikeele pa kyalo myaka 430 ni kuvyala bange baana balalume ni banakazi.
010b12002e	Pelegi lu-aakumaniizie myaka 30, waavyele Reu.
010b13006a	Pa kyamba kya kuvyala Reu, Pelegi waikeele pa kyalo myaka 209 ni kuvyala bange baana balalume ni banakazi.
010b14002e	Reu lu-aakumaniizie myaka 32, waavyele Serugi.
010b15006a	Pa kyamba kya kuvyala Serugi, Reu waikeele pa kyalo myaka 207 ni kuvyala bange baana balalume ni banakazi.
010b160031	Serugi lu-aakumaniizie myaka 30, waavyele Nahori.
010b17006d	Pa kyamba kya kuvyala Nahori, Serugi waikeele pa kyalo myaka 200 ni kuvyala bange baana balalume ni banakazi.
010b18002f	Nahori lu-aakumaniizie myaka 29, waavyele Tera.
010b19006b	Pa kyamba kya kuvyala Tera, Nahori waikeele pa kyalo myaka 119 ni kuvyala bange baana balalume ni banakazi.
010b1a0049	Tera lu-aakumaniizie myaka 70, waavyele Abramu, ni Nahori pamo ni Harani.
010b1b005f	Ezi i nvyalo yakua Tera se kwa Abramu, ni se kwa Nahori pamo ni Harani. Harani i waavyele Loti.
010b1c006f	Harani waafwiliile mu kyalo ki-aavyaliiluemo, mu Uri, muzi wa Bakaldayo. Ozo musita sibo Tera waali wakikosele.
010b1d006f	Abramu waupile Sarai, Nahori ni ye waupile Milka mwana mwanakazi mwina Harani. Harani i waavyele Milka ni Iska.
010b1e0035	Sarai muka Abramu taali na mwana pantu waali nghumba.
010b1f00fe	Tera waamutweme mwana wakue Abramu ni mwinzikulu wakue Loti mwana mwalalume mwina Harani, pamo ni Sarai muka mwana wakue Abramu. Tera waafumine nabo mu Uri mu muzi wa Bakaldayo ni kuya nabo mu kyalo kya Kanaani. Inzi lubaafikile ku Harani, baikeele koko.
010b20002d	Tera waafwiliile ku Harani wali na myaka 205.
010c010083	Yawe waamwanine Abramu nangue, “Fuma mu kyalo kyobe, sia bantu bobe pamo ni nghanda yakua so uye waya mu kyalo kindikukulangisia.
010c02007a	“Nene naakakukita kuba mutundu ukata, kabili naakakupaala. Naakalengia liina lyobe kumanika, ni we waakaba wali mapaalo.
010c03008e	Olia waakakupaala, ni ne naakamupaala. Inzi olia waakakutiipa, ni ne naakamutiipa. Kabili ntundu yonse ya pa kyalo yaakapaalilua muli wewe.”
010c04007f	Abramu waafumine mu Harani nga mwaalandiile Yawe. Pa ozo musita, Abramu waali wasyali na myaka 75. Loti ni ye waile pamo nakue.
010c0500f2	Abramu waile ni mukazi wakue Sarai pamo ni Loti mwana mwalalume mwina mwalawakue Harani, kabili waatweme bunonsi bwabo pamo ni bantu babaanonkele mu Harani, ni kutendeka lwendo, waya kwingila nabo mu kyalo kya Kanaani. Lubaafikile ku Kanaani,
010c0600a7	Abramu waile waendooka mu kyalo mpaka waya kufika ku muzi wa kimuti kikata kya More kya ku Sekemu. Pa ozo musita, Bakanaani baali bakikeele sie mwenka momo mu Kanaani.
010c07009b	Yawe waamumonekeele Abramu ni kumwana nangue, “We Abramu, keki i kyalo kinaakapeela nvyalo yobe.” Ku ezio nkendo, Abramu i ku-aamukuuliile Yawe kitale.
010c08010a	Abramu lu-aafumine papo, waile ku kapili ku kabanga ka muzi wa Beteli ni kuya kwimikako liema lyakue pa bukata bwa Beteli ni Ai. Beteli yaali yali ku mboosi, ni Ai yaali yali ku kabanga. Koko kwenka ku Ai, Abramu i ku-aamukuuliile Yawe kinge kitale ni kumupupa Yawe.
010c09003a	Kabili Abramu waatwaliliile kuya. Waile walungi ku Negebu.
010c0a0049	Nzala luyaakilile mu Kanaani, Abramu waile kwikalanke ku Misri nga mweni.
010c0b0075	Lu-aali wasyafika ku Misri, waamwanine mukazi wakue Sarai nangue, “N'manine nangue wewe uli mwanakazi aweme lukebu.
010c0c0065	Bamisri pabaya kukumona ni kwinika nangue uli mukazi wane, baya bangipaye, ni we uye usyale wakosele.
010c0d0072	Kansi pabaya kukwipuzia, uye ubaasuke nangue uli nkazyamwine pantu kine uye ulande evio, nakaba kusungua bwino.”
010c0e0078	Abramu waile kufika mu Misri. Bantu ba mu Misri lubaamumwene Sarai, baamwene nangue ozo mwanakazi waali wakilile kuwama.
010c0f0076	Babiloolo ni bo lubaamumwene, baile kumutasiizia Likolo Farao. Kupwako, bamutwama ni kumutwala ku nghanda yakua Farao.
010c1000b2	Farao waamukitiile Abramu bintu biweme pa mulandu wakua Sarai, ni pakako waapeelue mikooko ni nghombe, ni punda ndume ni ikota, ni ba bombi balalume ni banakazi, pamo ni nghamia.
010c110080	Inzi Yawe waamulwalikile Farao pamo ni bantu ba mu nghanda yakue, pantu waamutweme Sarai muka Abramu kuti aye wali mukazi wakue.
010c120080	Farao waamukuutile Abramu ni kumwipuzia nangue, “Abramu, ni kiki kiwakinkitila? Ale wakinghaninaki nangue Sarai te mukazi obe?
010c130092	Ale kabili wakilandilaki nangue Sarai ni nkaziizo? Wewe i wakilengia nene n'mutwame ni kumwalula mukazi wane. Ewe, mutwame mukazi obe uye waya.”
010c140062	Farao wa-anine bantu bakue bamuseekezie Abramu ni mukazi wakue pamo ni bintu byonse bi-aali nabio.
010d01005a	Abramu ni mukazi wakue pamo ni byonse bi-aali nabio, baafumine ku Misri ni kuya ku Negebu.
010d020048	Abramu waakilile kuba munonsi wa biteekua, ni wa mutofue pamo ni wa oro.
010d030072	Waafumine ku Negebu mpaka waya kufika ku Beteli, palia paali waimikilenke liema lyakue pa bukata bwa Beteli ni Ai.
010d04005c	Papo i paali ni kitale ki-aakuulile pa mambo. Pa ezio nkendo Abramu i paali wamupupila Yawe.
010d05006c	Loti waile pamo ni Abramu, ni ye waali wakwete bisepe bya nghombe ni mikooko, kabili waali wakwete ni maema.
010d060086	Inzi nkendo ya kulisiiziamo nama yabo yaamwenekele kukeepa, pantu baali bateekele nama ingi. Ni keki i kyaalengele tekuti bekale pamo.
010d0700a4	Basungi ba biteekua byakua Abramu ni basungi ba biteekua byakua Loti baatendekele kukankabula. Ozo musita Bakanaani ni Baperizi, baali bakikeele sie mu kekio kyalo.
010d080070	Abramu Waamwanine Loti, “Ewe, mona fwefue tuli benenke. Bantu bobe ni bantu bane, tebapalile kuya bakankabula.
010d09009e	Ni pakako, namona kuti tulekenkane. Saakula nkendo i utonene. Kine ulikuya lya kuso, nene ndikuya lya kulio, kine ulikuya lya kulio, nene ndikuya lya kuso.”
010d0a00c9	Loti waakentele ni kumona lulambe lonse lwa Yordani, mpaka ku Zoari kwaali kwali menda engi nga bukaba bwakua Yawe, ao nga kyalo kya Misri. Pa ozo musita Yawe waali tanainoone mizi ya Sodoma ni Gomora.
010d0b005a	Loti waasaakwile lulambe lonse lwa Yordani ni kuya lya ku kabanga. Evi i vibaalenkenkeene.
010d0c007c	Abramu waikeele mu kyalo kya Kanaani. Loti wene waikeele pa bukata bwa mizi mu lulambe ni kwimika maema akue pepi ni Sodoma.
010d0d004e	Inzi bantu ba mu Sodoma baali bali babi ni ba bibalo bingi ku menso akua Yawe.
010d0e008a	Loti lu-aile, Yawe waamwanine Abramu nangue, “Kenta lya ku nkungua ni lya ku nkungulua, kabili kenta lya ku kabanga ni lya ku mboosi.”
010d0f0076	Yawe wamwanine Abramu nangue, “Keki kyalo kyonse kiwamona, naakakupeela wewe ni nvyalo yobe kuti kikabe kyenu lonse.
010d1000b5	Naakakita nvyalo yobe kuba nga lufunko lwa pa kyalo, nvyalo isikavinda kupendua na muntu. Inzi kine muntu waakavinda kupenda lufunko lwa pa kyalo, ni vyalo yobe waakavinda kuipenda.
010d11004a	Ale endo waya mu kuleepa ni mu kutana kwa kyalo pantu i kindikukupeela.”
010d12006f	Abramu waakuusiizie liema ni kuya kwikala pepi na bimuti bya Mamure ku Hebroni ni kukuulako kitale kyakua Yawe.
010e010086	Amrafeli likolo wa ku Sinari, ni Arioki likolo wa ku Elasari, ni Kedori-Laomeri likolo wa ku Elamu, pamo ni Tidali likolo wa ku Goimu,
010e0200ab	baile kulua na Bera likolo wa ku Sodoma, ni Birsa likolo wa ku Gomora, ni Sinabu likolo wa ku Adima, ni Semeberi likolo wa ku Zeboimu, pamo ni likolo wa ku Bela (i Zoari).
010e030074	Azo makolo asaano pamo ni balukale babo baakolongheene mu lulambe lwa Sidimu. Pa ono musita i muli Lyezi lya Mukele.
010e040080	Azo makolo aabombeele likolo Kedori-Laomeri myaka lyanondo ni ibili. Inzi mu mwaka wa lyanondo ni itatu, azo makolo aasangukile.
010e0500b6	Mu mwaka wa lyanondo ni ina, Kedori-Laomeri ni makolo a-aunvwene nao pamo ni balukale babo, baumine Barifaimu mu Hasteroti-Karnaimu, ni Bazuzimu mu Hamu, ni Baemi mu Sawe-Kiriataimu,
010e060061	ni Bahoriti ku lupili lwa Seiri. Baile babakumbile mpaka kubafikia ku Eli-Parani pepi ni kaseeba.
010e070088	Kabili baabweleele ku Eni-Misipati (kulikwakuutua Kadeshi), baumine kyalo kya Ba-amaleki, ni Ba-amori baali baikeele mu Hasasoni-Tamari.
010e0800a5	Kabili likolo wa ku Sodoma, ni wa ku Gomora, ni wa ku Adima, ni wa ku Zeboimu, pamo ni wa ku Bela (i Zoari), baile kutantama mu lulambe lwa Sidimu pakuti balue nabo.
010e0900b2	Kedori-Laomeri likolo wa ku Elamu, ni Tidali likolo wa ku Goimu, ni Amrafeli likolo wa ku Sinari, pamo ni Arioki likolo wa ku Elasari. Aza makolo ana aile kulua na makolo asaano.
010e0a00bc	Mu lolo lulambe lwa Sidimu mwaali mwali biina bingi bya kabulimbu. Likolo wa ku Sodoma ni wa ku Gomora lubaabutukile, baile kuponena mu biina. Inzi babo bange batatu baabutukiile ku mpili.
010e0b005c	Azo makolo ana aatweme bunonsi bonse bwa mu Sodoma ni mu Gomora pamo ni bilio ni kuya nabio.
010e0c006a	Loti mwina mwalawakue kwa Abramu waali waikeele mu Sodoma, ni ye kumo waatwaminiinue pamo ni bintu byakue.
010e0d00e7	Kwaali muntu umo waabutukile ku bobo bului ni kuya kutwala mpunda kuli Abramu. Abramu waali Muebrania waali waikeele pepi na bimuti byakua Mamure Muamori wa kwakue kwa Eskoli, ni wa kwakue kwa Aneri. Baba i baali bamukwasia Abramu.
010e0e00b2	Abramu lu-aunvwile nangue mwana mwina mwalawakue akwetue, waakolonghaniizie balalume 318 ba mu nghanda yakue, bantu baali basambiliziiziwe bului. Baile babakonkele mpaka ku Dani.
010e0f00aa	Musita wa busiku, Abramu waabasalanghaniizie bantu bakue mu mabumba mabumba ni kuya kusakukila balwani babo. Waaboomine ni kubakumba mpaka ku Hoba, ku nkungua ya Damaski.
010e100098	Ni pakako, waabweziizie bintu byonse, ni kumubwezia Loti mwina mwalawakue pamo ni bintu byakue byonse. Kabili waabweziizie banakazi pamo ni bange bantu.
010e1100ba	Abramu lu-aafumine ku kuuma balwani bakue, Kedori-Laomeri pamo ni ange makolo a-aunvwene nao, likolo wa ku Sodoma waile kusensekela Abramu mu lulambe lwa Sawe (ao Lulambe lwakua Likolo).
010e120080	Ni Melkisedeki waali likolo wa ku Salemu, kabili waali kitambua wakua Leza Kabezia Mpungu, waatwele mukate ni divai kuli Abramu,
010e130067	ni kumupaala walimukulanda nangue, “Abramu apaalue na Leza Kabezia Mpungu, Kalenga wa lyulu ni kyalo!
010e140090	Alumbue Leza Kabezia Mpungu waakupeele maka a kuuma balwani bobe!” Abramu ni ye waamupeele Melkisedeki kamo ka pa lyanondo ka pa bintu byonse.
010e15005c	Likolo wa ku Sodoma waamwanine Abramu, “N'mpeeleko sie bantu we usyale ni bobo bunonsi.”
