0100000018	ઊત્પત્તિ
0106030128	ઈશ્વરે કહ્યું કે, “મારો આત્મા માનવજાતમાં સદા રહેશે નહિ, કેમ કે તેઓ શરીર છે. તેઓનું આયુષ્ય એકસો વીસ વર્ષનું રહેશે.”
010604017c	ઈશ્વરના દીકરાઓએ માણસોની દીકરીઓ સાથે લગ્ન કર્યાં અને તેઓથી તેમને બાળકો થયાં. તેઓમાં પૃથ્વી પર પુરાતનકાળના સશક્ત અને નામાંકિત મહાકાય પુરુષો હતા.
0106050120	ઈશ્વરે જોયું કે, પૃથ્વી પર માનવજાતના દુરાચાર ઘણાં વધી ગયા છે અને તેઓના હૃદયના વિચારોની દરેક કલ્પના દુષ્ટ જ છે.
01060600c2	તેથી ઈશ્વરને પૃથ્વી પર માણસને ઉત્પન્ન કરવા બદલ દુઃખ થયું અને તે નિરાશ થયા.
010607021c	ઈશ્વરે કહ્યું કે, “જે માનવજાતને મેં ઉત્પન્ન કરી છે, તેનો હવે હું પૃથ્વી પરથી સમૂળગો નાશ કરીશ; તે સાથે પશુઓને, પેટે ચાલનારાં અને આકાશના પક્ષીઓને પણ નષ્ટ કરીશ. કેમ કે તેઓને ઉત્પન્ન કર્યાથી હું હૃદયભંગ થયો છું.”
010608005a	પણ નૂહના આચરણથી ઈશ્વર સંતુષ્ટ હતા.
0106090167	નૂહ અને તેના કુટુંબ વિશેનું આ વૃત્તાંત છે: નૂહ ન્યાયી માણસ હતો અને તેના સમયના લોકોમાં તે નિર્દોષ હતો. તે ઈશ્વરની સાથે પ્રમાણિકપણે ચાલ્યો.
01060a006a	નૂહને ત્રણ દીકરાઓ હતા: શેમ, હામ તથા યાફેથ.
01060b0092	ઈશ્વર આગળ પૃથ્વી ભ્રષ્ટ થઈ હતી અને હિંસાથી ભરપૂર થઈ હતી.
01060c00ee	ઈશ્વરે પૃથ્વીમાં નજર કરી; તો જુઓ, ત્યાં પૃથ્વી પર સર્વ માણસો ભ્રષ્ટ અને દુરાચારી થઈ ગયા હતા.
01060d01be	ઈશ્વરે નૂહને કહ્યું કે, “હું જોઉં છું કે સર્વ માનવજાત નષ્ટ થવાની છે, કેમ કે પૃથ્વીમાં તેઓની હિંસા અને દુરાચાર વ્યાપી ગયો છે. નિશ્ચે, હું તેઓનો પૃથ્વી પરથી સમૂળગો નાશ કરીશ.”
01060e012d	તું પોતાને સારુ એરેજનાં લાકડાંનું વહાણ બનાવ. તે વહાણમાં રૂમો બનાવ. વહાણની અંદર તથા બહાર ડામર લગાવીને તેનું આવરણ કર.
01060f0102	તું તેને આ પ્રમાણે બનાવ: એટલે વહાણની લંબાઈ ત્રણસો હાથ, પહોળાઈ પચાસ હાથ અને તેની ઊંચાઈ ત્રીસ હાથ હોય.
01061000f5	વહાણમાં છતથી એક હાથ નીચે બારી બનાવ. અને તું તેમાં નીચેનો, વચ્ચેનો તથા ઉપરનો એવા ત્રણ ખંડો બનાવ.
01061101a5	સાંભળ, આકાશ નીચેના સર્વ સજીવો કે જેઓમાં જીવનનો શ્વાસ છે તે બધાનો સંપૂર્ણ નાશ કરવા માટે હું પૃથ્વી પર જળપ્રલય લાવવાનો છું. તેનાથી પૃથ્વી પરનાં સર્વ જીવ મરણ પામશે.
0106120136	પણ હું તારી સાથે મારો કરાર કરું છું. તું, તારી સાથે તારા દીકરા, તારી પત્ની અને તારી પુત્રવધુઓને હું વહાણમાં સલામત રાખીશ.
0106130106	સર્વ પ્રકારના જાનવરોમાંથી બબ્બે સજીવો, એટલે એક નર તથા એક નારી બચાવવા માટે તારી સાથે તું વહાણમાં લાવ.
01061400e5	દરેક જાતનાં પક્ષીઓ, પશુઓ તથા પેટે ચાલનારાંઓમાંથી નર અને નારીની એક એક જોડને વહાણમાં લાવ.
0106150130	સર્વ પ્રકારની ખાદ્ય સામગ્રી ભેગી કરીને તારી પાસે વહાણમાં તેનો સંગ્રહ કરી રાખ. તે તારે માટે તથા તેઓને માટે ખોરાક થશે.
