2800000007	Matúš
2808150062	Jeden z jeho žiakov mu zasa povedal: „Pane, kým pôjdem za tebou, dovoľ mi pochovať otca!“
2808160079	Ale Ježiš mu odpovedal: „Poď za mnou hneď. Nech tí, ktorí sú duchovne mŕtvi, pochovávajú svojich mŕtvych.“
2808170049	Potom vstúpil Ježiš do loďky a plavil sa s učeníkmi na druhý breh.
2808180069	Zrazu sa strhla silná búrka a loďka sa takmer potápala vo vysokých vlnách. No Ježiš pokojne spal.
280819004f	Priskočili k nemu a zobudili ho: „Pane, zachráň nás, inak sa utopíme!“
28081a009e	Ale Ježiš im odpovedal: „Prečo sa tak bojíte? Kde je vaša viera?“ Potom vstal a pohrozil vetru a vlnám. Búrka sa upokojila a nastalo veľké ticho.
28081b0065	Tí, čo boli s ním, ohromene hovorili: „Kto to vlastne je, že ho poslúcha víchrica aj more?“
28081c00bf	Keď pristáli na druhom brehu neďaleko Gadary, vybehli oproti nemu dvaja muži posadnutí démonmi. Žili v skalných hroboch a boli takí nebezpeční, že sa nikto neodvážil tade ísť.
28081d007c	Začali na Ježiša kričať: „Čo od nás chceš, Syn Boží? Prišiel si nás trápiť? Ešte na nás nemáš právo!“
28081e002a	Neďaleko sa páslo veľké stádo svíň.
28081f005a	A démoni ho prosili: „Ak nás už chceš vyhnať, pošli nás do toho stáda svíň!“
28082000ad	„Nedbám, choďte!“ povedal im Ježiš. A hneď vyšli z tých dvoch a vošli do svíň. Celé stádo sa ihneď splašilo, prehnalo sa dolu svahom a utopilo sa v jazere.
2808210048	Pastieri svíň sa rozbehli do mesta a všade rozchýrili, čo sa stalo.
280822005a	Všetci jeho obyvatelia utekali oproti Ježišovi a žiadali ho, aby odišiel z ich kraja.
280901006f	Ježiš opäť nastúpil do loďky, preplavil sa na druhý breh a prišiel do Kafarnauma, do mesta, kde býval.
28090200a9	Čoskoro k nemu priniesli na nosidlách ochrnutého človeka. Keď Ježiš videl ich vieru, povedal chorému: „Teš sa, priateľ môj, tvoje hriechy sú odpustené!“
2809030051	Niektorí z učiteľov Zákona sa však pohoršovali: „Ten človek sa rúha!“
280904005e	Ale Ježiš vedel, čo si myslia, a preto sa spýtal: „Prečo máte srdcia naplnené zlobou?
280905004e	Čo je ľahšie povedať: Odpúšťajú sa ti hriechy, alebo: Vstaň a choď!?
28090600b9	Ale aby ste vedeli, že Syn človeka má na zemi moc odpúšťať hriechy…“ Nato sa obrátil k ochrnutému a povedal mu: „Vstaň a vezmi si svoje lôžko. Môžeš ísť domov.“
2809070016	A on vstal a odišiel.
280908006f	Toto sa odohralo pred očami zhromaždeného davu. Všetci žasli a ďakovali Bohu, že dal človeku takú moc.
28090900d9	Keď sa Ježiš uberal ďalej, všimol si muža, ktorý na colnici vyberal poplatky. Ten muž sa volal Matúš. „Poď so mnou a staň sa mojím učeníkom!“ vyzval ho Ježiš. Matúš hneď vstal a išiel za ním.
28090a0076	Neskôr, keď Ježiš spolu s učeníkmi večeral v Matúšovom dome v spoločnosti mnohých ľudí pochybnej povesti,
28090b0088	zbožní farizeji sa pohoršovali a vraveli jeho učeníkom: „Ako si váš majster môže sadnúť za jeden stôl s takou spodinou?“
28090c0052	Keď to Ježiš počul, odpovedal im: „Lekára nepotrebujú zdraví, ale chorí.
28090d00f1	Choďte a snažte sa pochopiť, čo znamenajú slová Písma: ‚Nejde mi o vaše obete a dary, ale o to, aby ste boli milosrdní.‘ Neprišiel som volať k Bohu tých, ktorí sú presvedčení o vlastnej spravodlivosti, ale hriešnikov.“
28090e0093	Jedného dňa prišli za Ježišom učeníci Jána Krstiteľa s otázkou: „Prečo sa tvoji učeníci nepostia? Veď to robíme my aj farizeji!“
28090f00b9	Ježiš im odpovedal: „Majú vari svadobčania, ktorých pozval ženích, dôvod smútiť, kým je s nimi? Ale prídu dni, keď bude ženích od nich vzatý, a potom sa budú postiť.
2809100081	Nikto predsa neprišíva na staré šaty záplatu z novej látky, lebo by vytrhla staré tkanivo a diera by sa ešte zväčšila.
2809110085	Ani mladé víno nenalievate do mechov zo starej kože, lebo by popraskali a víno by vytieklo. Nové víno potrebuje nové mechy!“
28091200d1	Kým Ježiš hovoril, prišiel jeden z predstaviteľov miestnej synagógy a poklonil sa mu. „Práve mi umrela dcéra,“ povedal, „ale ty jej môžeš vrátiť život. Poď, polož na ňu ruku a ožije.“
280913003a	Ježiš vstal a šiel – a jeho učeníci ho nasledovali.
2809140071	Vtom k nemu pristúpila zozadu akási žena, ktorá už dvanásť rokov krvácala, a dotkla sa okraja jeho šiat,
2809150051	lebo si pomyslela: „Stačí, ak sa dotknem jeho šiat, určite sa uzdravím.“
280916008e	Ježiš sa obrátil, pozrel sa na ňu a povedal: „Teš sa, žena. Tvoja viera ťa uzdravila.“ A naozaj, od tej chvíle bola žena zdravá.
280917006e	Keď Ježiš vošiel do domu predstaveného synagógy, kde hrala pohrebná hudba a nariekal zhromaždený dav,
280918005d	povedal im: „Rozíďte sa, veď dievčatko neumrelo, iba spí.“ Oni sa mu však vysmiali.
280919007e	Hneď ako všetkých poslali preč, vstúpil do miestnosti, v ktorej bolo dievčatko, chytil ho za ruku a ono ožilo a vstalo.
28091a0035	Správa o tomto zázraku sa rozniesla po celom kraji.
28091b0075	Keď bol Ježiš na ceste späť, išli za ním dvaja slepci a volali naňho: „Syn Dávidov, zmiluj sa nad nami!“
28091c00ac	Kráčali za ním až do domu. Slepí pristúpili celkom k nemu a on sa ich spýtal: „Naozaj veríte, že mám moc vrátiť vám zrak?“ „Áno, Pane,“ odpovedali mu.
28091d004d	Ježiš sa dotkol ich očí a povedal: „Nech sa vám stane, ako veríte.“
28091e005d	V tej chvíli začali vidieť. Dôrazne im prikázal: „Nikto sa o tom nesmie dozvedieť!“
28091f0037	Oni však išli a rozniesli tú správu po celom kraji.
280920006b	Keď odtiaľ Ježiš s učeníkmi odchádzal, priviedli k nemu nemého človeka, posadnutého zlým duchom.
2809210089	Ježiš démona vyhnal a muž ihneď začal hovoriť. Ľudia v dave žasli a hovorili: „Nikdy nikto nič podobné v Izraeli nevidel!“
280922005a	Ale farizeji vysvetľovali: „Diabol, kráľ démonov, mu dal moc vyháňať démonov.“
28092300c3	Potom Ježiš prechádzal všetkými mestami a dedinami, učil v židovských synagógach a hlásal radostnú správu o Božom kráľovstve. A všade, kam prišiel, liečil choroby tela aj ducha.
28092400ac	Pri pohľade na ľudí, ktorí za ním prichádzali, jeho vnútro bolo naplnené súcitom a veľkou bolesťou – boli totiž utrápení a bezbranní ako ovce bez pastiera.
280925004c	Vtedy povedal svojim učeníkom: „Žatva je veľká, ale žencov je málo.
2809260044	Preto proste Pána žatvy, aby vyslal robotníkov na svoje polia.“
280a01008f	Potom si Ježiš zavolal svojich dvanástich učeníkov a dal im moc vyháňať nečistých duchov a uzdravovať každú chorobu tela aj ducha.
280a020085	Mená týchto dvanástich apoštolov sú: Šimon, ktorého volali aj Peter a jeho brat Andrej; Jakub, syn Zebedejov a jeho brat Ján;
280a030055	Filip a Bartolomej; Tomáš a bývalý colník Matúš; Alfejov syn Jakub a Tadeáš;
280a040042	Šimon Horlivec a Judáš Iškariotský, ktorý ho napokon zradil.
280a050079	Týchto dvanástich Ježiš vyslal so slovami: „Nechoďte teraz medzi pohanov a nevchádzajte do samaritánskych miest.
280a06003e	Radšej choďte k Izraelitom, ovciam, ktoré sa Bohu stratili,
280a070033	a hlásajte: Priblížilo sa nebeské kráľovstvo.
280a080084	Uzdravujte chorých, krieste mŕtvych, očisťujte malomocných, vyháňajte démonov. Čo ste zadarmo dostali, zadarmo rozdávajte!
280a09001b	Neberte si so sebou peniaze
280a0a0077	ani kapsu na cestu ani náhradné šatstvo či obuv, ba ani palicu. Lebo robotník si zaslúži mzdu za to, čo urobil.
280a0b0094	Do ktoréhokoľvek mesta alebo dediny vojdete, spýtajte sa na bohabojných ľudí, v ich dome sa potom ubytujte, kým sa vydáte na ďalšiu cestu.
280a0c003a	Keď vstúpite do domu, povedzte: ‚Pokoj tomuto domu!‘
280a0d0074	Ak vaše posolstvo vďačne prijmú, naplní ich pokoj, ktorý prinášate. Ak odmietnu, váš pokoj zostane s vami.
280a0e0082	Opusťte každé mesto alebo dom, kde by vás ani vaše svedectvo neprijali, nezdržujte sa tam, straste aj prach zo svojich nôh.
280a0f006f	Vravím vám, že v deň Božieho súdu bude ľahšie hriešnym ľuďom zo Sodomy a Gomory ako takémuto mestu.
280a100059	Posielam vás ako ovce medzi vlky. Buďte teda obozretní ako hady a mierni ako holubice.
280a11006b	Na ľudí si dávajte pozor, lebo vás pre mňa budú vydávať súdom, budú vás bičovať v synagógach,
280a120081	budú vás vláčiť pred vládcov a panovníkov. To všetko bude príležitosťou, aby ste vydali svedectvo im aj celému svetu.
280a130070	Ak vás postavia pred súd, netrápte sa, ako a čo budete hovoriť, lebo dostanete pravé slová v pravý čas.
280a140050	To nebudete hovoriť vy, ale Duch vášho Otca prehovorí prostredníctvom vás.
280a150054	Brat vydá na smrť brata, otec syna, deti sa vzbúria proti rodičom a zabijú ich.
280a160080	Všetci vás budú nenávidieť, lebo ste mojimi učeníkmi. Ale ten, kto vytrvá až do konca, bude zachránený pre večnosť.
280a1700b3	Ak vás budú v niektorom meste prenasledovať, utečte do iného. Vravím vám, že nestačíte pochodiť po všetkých izraelských mestách, kým sa Syn človeka opäť vráti.
280a18003c	Žiak neprevyšuje svojho učiteľa, ani sluha svojho pána.
280a19007c	Žiak znáša údel svojho učiteľa a sluha údel svojho pána. Keď mňa nazývajú diablom, čo si asi vymyslia na vás!?
280a1a005b	Ale nebojte sa ich! Príde čas, keď pravda vyjde najavo a všetko skryté bude odhalené.
280a1b005b	Čo vám hovorím v tme, povedzte na svetle, a čo vám tajne šepkám, rozhláste verejne!
280a1c00a1	A nebojte sa pri tom ľudí. Môžu vás síce zabiť, ale nemôžu vás pripraviť o večný život. Bojte sa Toho, ktorý môže zahubiť dušu i telo v pekle.
280a1d0052	Akú cenu má vrabec? A predsa ani jeden nespadne na zem bez vedomia vášho Otca.
280a1e0035	A vy máte ešte aj všetky vlasy na hlave zrátané.
280a1f0043	Preto sa nebojte: ste omnoho cennejší než celý kŕdeľ vrabcov.
280a20005c	Kto sa ku mne prizná pred ľuďmi, k tomu sa aj ja priznám pred svojím Otcom v nebesiach.
280a210050	Ale kto ma pred ľuďmi zaprie, toho aj ja zapriem pred svojím Otcom v nebi.“
280a220063	„Nemyslite si, že som prišiel, aby som priniesol na zem pokoj. Nepriniesol som pokoj, ale meč.
280a230058	Viera vo mňa môže postaviť proti sebe syna a otca, dcéru a matku, nevestu a svokru.
280a240032	Nepriateľom človeka sa stanú jeho najbližší.
280a250069	Kto má vo svojom srdci na prvom mieste otca alebo matku, syna alebo dcéru, a nie mňa, nie je ma hoden.
280a26003d	Kto by ma chcel nasledovať bez ťažkostí, nie je ma hoden.
280a27006c	Kto lipne na živote, stratí ho, ale kto je ochotný pre mňa všetko obetovať, ten svoj život zachráni.
280a28005b	Kto prijíma vás, prijíma mňa, a kto prijíma mňa, ten prijíma toho, ktorý ma poslal.
280a2900b1	Ak prijme niekto môjho svedka s vedomím, že ho posiela Boh, dostane rovnakú odmenu ako on. Kto prijme spravodlivého pre jeho spravodlivosť, dostane rovnakú odmenu ako on.
280a2a0081	A ak niekto podá ako môj nasledovník čo len pohár vody niekomu zdanlivo bezvýznamnému, určite nepríde o svoju odmenu.“
280b01006b	Keď Ježiš odovzdal pokyny svojim dvanástim učeníkom, pobral sa učiť a kázať do tamojších miest.
280b02007d	Ján Krstiteľ, ktorý bol práve vo väzení, sa dopočul o tom, čo Kristus robí. Poslal za ním dvoch svojich učeníkov,
280b030058	aby sa ho spýtali: „Si naozaj ten, ktorý mal prísť, alebo máme čakať iného?“
280b04005d	Ježiš im odpovedal: „Vráťte sa k Jánovi a vyrozprávajte mu, čo ste videli a počuli:
280b050085	Slepí vidia, chromí chodia, malomocní sú uzdravení, hluchí počujú, mŕtvi ožívajú a chudobným sa zvestuje dobrá správa.
280b060027	Šťastný je ten, kto mi dôveruje.“
280b070099	Keď Jánovi učeníci odišli, Ježiš hovoril o ňom ľuďom: „Keď ste šli za Jánom na púšť, čo ste chceli uvidieť? Trstinu zmietanú vetrom?
280b080064	Alebo človeka vyobliekaného do drahých šiat? Ale veď takí bývajú v kráľovských palácoch.
280b090068	Prečo ste teda šli za ním? Chceli ste vidieť proroka? Hovorím vám, spoznali ste viac než proroka.
280b0a0058	To o ňom je napísané: ‚Posielam pred tebou svojho posla, aby ti pripravil cestu.‘
280b0b00b7	Vedzte, že medzi všetkými ľuďmi, ktorí sa kedy narodili, niet nikoho, kto by prevyšoval Jána Krstiteľa. A predsa i ten najmenší v nebeskom kráľovstve je väčší ako on.
280b0c0065	Od čias Jána Krstiteľa je nebeské kráľovstvo vystavené násiliu a zmocňujú sa ho ukrutníci.
280b0d0047	Lebo všetci proroci aj Zákon až po Jána Krstiteľa to predpovedali.
280b0e007d	A ak ste pripravení prijať to, tak on je Eliáš, o ktorom prorok zvestoval, že príde skôr, než sa kráľovstvo začne.
280b0f002b	Kto má uši na počúvanie, nech počúva!
280b10008e	Ku komu mám prirovnať ľudí, ako ste vy? Sú ako hrajúce sa deti, ktoré sedia na námestí a nespokojne pokrikujú na svojich kamarátov:
280b110057	‚Hrali sme vám, ale netancovali ste, smutne sme vám spievali, ale neplakali ste.‘
280b120048	Keď prišiel Ján, postil sa a nepil víno – a vravia: Je posadnutý.
280b1300cb	Ale keď prišiel Syn človeka, nepostí sa – a hovoria: ‚Pozrite sa na toho nenažranca a opilca, priateľa hriešnikov. Ale dokonalosť Božej múdrosti ukážu tí, ktorí podľa nej žijú.‘“
280b14006e	Vtedy začal Ježiš karhať mestá, ktoré boli svedkami jeho mnohých zázrakov, a predsa nerobili pokánie:
280b1500c2	„Beda ti, Korazim, beda ti, Betsaida! Keby sa v Týre a Sidone stali také zázraky ako u vás, ich obyvatelia by sa už dávno kajali a prejavovali by najhlbšiu ľútosť nad svojimi vinami.
280b16004c	Preto vám hovorím, že Týru a Sidonu bude ľahšie v deň súdu ako vám.
280b1700c7	A čo vy, obyvatelia Kafarnauma? Myslíte si, že Boh vás vyvýši až po samo nebo? Zrútite sa do priepasti večného zahynutia! Keby sa v Sodome diali také zázraky ako u vás, stála by dodnes.
280b180052	Znova vám hovorím, že sodomskej krajine bude ľahšie v deň súdu ako tebe!“
280b1900c0	Vtedy sa Ježiš modlil: „Velebím ťa, Otče, Pán neba aj zeme, že pravdu skrývaš pred tými, ktorí sa pokladajú za múdrych a učených, a zjavuješ ju bezvýznamným a jednoduchým.
280b1a0024	Áno, Otče, tak sa ti to páči.“
280b1b006d	„Otec mi zveril všetko. Len Otec pozná Syna a Otca pozná iba Syn a ten, komu sa to Syn rozhodne zjaviť.
280b1c0055	Poďte ku mne všetci, ktorí sa namáhate a ste unavení, ja vám dám odpočinutie.
280b1d0087	Vezmite na seba moje jarmo a učte sa odo mňa, lebo mám tiché a pokorné srdce. U mňa nájdete mier a odpočinutie pre svoje duše.
280b1e0031	Veď moje jarmo netlačí a bremeno neťaží.“
280c010088	Raz v sobotu prechádzal Ježiš so svojimi učeníkmi obilným poľom. Učeníci boli hladní, preto začali trhať klasy a jesť zrno.
280c02006d	Videli to farizeji a žalovali Ježišovi: „Pozri, tvoji učeníci robia, čo sa v sobotu nesmie robiť!“
280c03006e	Ježiš im odpovedal: „Azda ste nečítali, čo urobil kráľ Dávid, keď on aj jeho družina boli hladní?
280c040056	Ako vošiel do chrámu a spolu jedli posvätné chleby, ktoré smeli jesť iba kňazi?
280c050088	Alebo ste nečítali v Mojžišovom zákone, že kňazi v chráme pracujú v sobotu? Porušujú sobotný pokoj, a predsa nie sú vinní.
280c060038	Vravím vám, že je tu niekto, kto je viac než chrám.
280c07008d	Keby ste rozumeli slovám: ‚Nejde mi o vaše obete a dary, ale o to, aby ste boli milosrdní,‘ tak by ste nikoho neprávom neodsudzovali.
280c08004a	Syn človeka rozhoduje aj o tom, čo sa v sobotu smie robiť a čo nie.“
280c090023	Odtiaľ šiel Ježiš do synagógy.
280c0a00aa	Bol tam človek s ochrnutou rukou. Farizeji hľadali nejakú zámienku, aby mohli Ježiša obžalovať, preto sa ho spýtali: „Dovoľuje zákon v sobotu uzdravovať?“
280c0b0096	Odpovedal im: „Keby niekto z vás mal jedinú ovcu a tá by mu v sobotu spadla do jamy, neurobil by všetko, aby ju z nej vytiahol ešte v ten deň?
280c0c004d	A o čo cennejší je človek! Preto je správne robiť dobro aj v sobotu.“
280c0d0072	Obrátil sa k postihnutému a povedal mu: „Vystri ruku!“ Ten ho poslúchol a ruka bola zdravá ako tá druhá.
280c0e0035	Farizeji odišli a radili sa, ako by Ježiša zabili.
280c0f0066	Ježiš však postrehol ich úmysly a odišiel. Mnohí šli za ním a on uzdravil všetkých chorých.
280c100030	Ale prikázal im, aby o ňom verejne nehovorili.
280c110026	Tak sa naplnilo Izaiášovo proroctvo:
280c1200aa	„Toto je môj služobník, ktorého som si vyvolil, môj milovaný, potešenie mojej duše. Dám mu svojho Ducha a národom ukáže, ako môžu získať spravodlivosť.
280c13004c	Nebude sa hádať ani nikoho prekrikovať, nebude robiť hurhaj na uliciach,
