010000000a	Yaritilish
01080900c9	Lékin sular téxiche pütkül yer yüzini qaplap turghachqa, kepter putini qoyghudek jay tapalmay, Nuhning qéshigha kémige yénip keldi. Shuning bilen Nuh qolini sunup uni tutup, kémige ekiriwaldi.
01080a003f	U yette kün saqlap, bu kepterni kémidin yene sirtqa chiqardi.
01080b00ad	Kepter kechte uning qéshigha yénip keldi; mana, uning tumshuqida yéngi üzüwalghan zeytun yopurmiqi bar idi. Buni körüp Nuh sularning yer yüzidin tartilghinini bildi.
01080c006d	U yene yette kün saqlap, kepterni yene sirtqa chiqardi, emma bu qétim kepter uning yénigha qaytip kelmidi.
01080d00a8	Nuh alte yüz bir yashqa kirgen yili, birinchi ayning birinchi künide su yer yüzidin qurughanidi. Nuh kémining qapqiqini échip qariwidi, yerning qurughinini kördi.
01080e004a	Ikkinchi ayning yigirme yettinchi küni, yer yüzi pütünley qurup boldi.
01080f006b	U waqitta Xuda Nuhqa söz qilip: — Sen özüng, ayaling, oghulliring we kélinliring kémidin chiqinglar.
010811012c	Özüng bilen bille bolghan barliq et igiliridin herbir türdiki janiwarlarni, yeni uchar-qanatlarni hem mal-charwilarni, yerde ömiligüchi haywanlarning hemmisini özüng bilen qoshup kémidin élip chiqqin; shuning bilen ular yer yüzide tarilip-tarqilip, nesillinip zéminda köpeysun, — dédi.
010812004c	Shuning bilen Nuh, ayali, oghulliri we kélinliri bilen bille sirtqa chiqti.
01081300a3	Janiwarlarning hemmisi, barliq ömiligüchi haywanlar, barliq uchar-qanatlar, yerde midirlap yüridighanlarning herqaysisi öz türliri boyiche kémidin chiqishti.
01081400c1	Shu chaghda Nuh Perwerdigargha atap bir qurban’gahni yasidi; u halal janiwarlar bilen halal qushlarning her türidin élip kélip, qurban’gahning üstide «köydürme qurbanliq» ötküzdi.
0108150100	Shundaq qilip Perwerdigar xushbuy purap [memnun boldi]; Perwerdigar könglide: — «Insanning köngül-niyiti yashliqidin tartip rezil bolsimu, Men insan tüpeylidin yerge yene lenet oqumaymen we emdi bu qétimqidek hemme jandarlarni urup yoqitiwetmeymen.
0108160099	Bundin kéyin, yer mewjut künliride, Térish bilen orma, Soghuq bilen issiq, Yaz bilen qish, Kündüz bilen kéche üzülmey aylinip turidu» — dédi.
010901008a	Xuda Nuh bilen uning oghullirigha bext-beriket ata qilip, ulargha mundaq dédi: — «Siler jüpliship köpiyip, yer yüzini toldurunglar.
01090200d6	Yer yüzidiki barliq janiwarlar, asmandiki barliq qushlar, barliq yer yüzide midirlap yürgüchiler we déngizdiki barliq béliqlarning hemmisi silerdin qorqup wehimide bolsun; bular qolunglargha tapshurulghandur.
010903008f	Midirlap yüridighan herqandaq janiwarlar silerge ozuq bolidu; Men silerge kök otyashlarni bergendek, bularning hemmisini emdi silerge berdim.
0109040054	Lékin siler göshni ichidiki jéni, yeni qéni bilen qoshup yémeslikinglar kérek.
010905011d	Qéninglar, yeni jéninglardiki qan tökülse, Men berheq uning hésabini alimen; herqandaq haywanning ilkide qéninglar bar bolsa Men uninggha töletküzimen; insanning qolida bar bolsa, yeni birsining qolida öz qérindishining qéni bar bolsa, Men uninggha shu qanni töletküzimen.
010906007f	Kimki insanning qénini tökse, Uning qénimu insan teripidin tökülidu; Chünki Xuda insanni Öz süret-obrazida yaratqandur.
010907004d	Emdi siler, jüpliship köpiyip, yer yüzide tarilip-tarqilip köpiyinglar».
010908019e	Andin Xuda Nuh bilen uning oghullirigha söz qilip mundaq dédi: — «Mana Özüm siler bilen we silerdin kéyin kélidighan ewladliringlar bilen, shundaqla siler bilen bille turghan herbir jan igisi, ucharqanatlar, mal-charwilar, siler bilen bille turghan yer yüzidiki herbir yawayi haywanlar, kémidin chiqqanlarning hemmisi bilen — yer yüzidiki héchbir haywanni qaldurmay, ular bilen Öz ehdemni tüzimen.
01090b008e	Men siler bilen shundaq ehde tüzimenki, ne barliq et igiliri topan bilen yoqitilmas, ne yerni weyran qilidighan héchbir topan yene kelmes».
01090c0127	Xuda yene: — «Men Özüm siler bilen we qéshinglardiki hemme jan igiliri bilen menggülük, yeni pütkül ewladliringlarghiche békitken mushu ehdemning belgisi shuki: — Mana, Men Özüm bilen yerning otturisida bolghan ehdining belgisi bolsun dep hesen-hüsinimni bulutlar ichige qoyimen;
01090e0121	we shundaq boliduki, Men yerning üstige bulutlarni chiqarghinimda, shundaqla hesen-hüsen bulutlar ichide ayan bolghinida, Men siler bilen et igiliri bolghan barliq janiwarlar bilen tüzgen ehdemni yad étimen; buningdin kéyin sular hergiz hemme jandarlarni halak qilghuchi topan bolmas.
01091000ce	Hesen-hüsen bulutlar arisida peyda bolidu; Men uninggha qaraymen we shuning bilen Menki Xuda yer yüzidiki et igiliri bolghan barliq janiwarlar bilen otturimizda békitken ehdemni yad étimen», — dédi.
010911008e	Xuda Nuhqa yene: — «Mana bu Men Özüm bilen yer yüzidiki barliq et igiliri otturisida békitken ehdemning nishan-belgisidur», — dédi.
0109120056	Nuhning kémidin chiqqan oghulliri Shem, Ham we Yafet idi. Ham Qanaanning atisi boldi.
0109130065	Bu üchi Nuhning oghulliri bolup, pütkül yer yüzige taralghan ahale shularning nesil-ewladliridur.
0109140040	Nuh tériqchiliq qilishqa bashlap, bir üzümzarliq berpa qildi.
0109150079	U uning sharabidin ichip, mest bolup qélip, öz chédiri ichide kiyim-kécheklirini séliwétip, yalingach yétip qaldi.
0109160062	Qanaanning atisi Ham kélip, atisining ewritini körüp, sirtqa chiqip ikki qérindishigha éytti.
01091700c3	Shem bilen Yafet qopup yépinjini élip, mürisige artip, keyniche méngip kirip, atisining yalingach bedinini yépip qoydi. Ular yüzini aldi terepke qilip, atisining yalingach ténige qarimidi.
0109180054	Nuh sharabning keypidin oyghinip, kenji oghlining özige néme qilghinini bilip: —
0109190058	Qanaan’gha lenet bolghay! U qérindashlirining qulining quli bolsun, — dep qarghidi.
01091a0071	U yene: — Shemning Xudasi bolghan Perwerdigargha teshekkür-medhiye keltürülgey! Qanaan Shemning quli bolsun.
01091b0063	Xuda Yafetni awutqay! U Shemning chédirlirida turghay, Qanaan bolsa uning quli bolghay! — dédi.
01091c0036	Nuh topandin kéyin üch yüz ellik yil ömür kördi.
01091d0048	Bu teriqide Nuh jemiy toqquz yüz ellik yil kün körüp, alemdin ötti.
010a01008f	Töwendikiler Nuhning oghullirining ewladliridur: — uning oghulliri Shem, Ham we Yafet bolup, topandin kéyin ulardin oghullar törelgen: —
010a020052	Yafetning oghulliri bolsa, Gomer, Magog, Maday, Yawan, Tubal, Meshek we Tiras idi.
010a030035	Gomerning ewladliri: Ashkinaz, Rifat we Togarmah idi.
010a040045	Yawanning ewladliri: Élishah, Tarshish, Kittiylar we Dodaniylar idi.
010a0500b2	Bularning ewladliri déngiz boylirida we arallarda ayrim-ayrim yashighan xelqler bolup, herqaysisi öz tili, öz aile-qebililiri boyiche öz zéminlirida tarqilip olturaqlashqan.
010a060034	Hamning oghulliri Kush, Misir, Put we Qanaanlar idi.
010a07006c	Kushning oghulliri Séba, Hawilah, Sabtah, Raamah we Sabtika idi. Raamahning oghulliri Shéba we Dédan idi.
010a080057	Kushtin yene Nimrod törelgen; u yer yüzide nahayiti küchtünggür adem bolup chiqti.
010a0900a7	U Perwerdigarning aldida küchtünggür owchi boldi; shu sewebtin «palanchi bolsa Nimrodtek, Perwerdigarning aldida küchtünggür owchi iken» dégen gep tarqalghan.
010a0a0068	Uning padishahliqi Shinar zéminidiki Babil, Erek, Akkad we Kalneh dégen sheherlerde bashlan’ghanidi.
010a0b00b6	U bu zémindin Ashur zéminigha chiqip Ninewe, Rehobot-Ir, Kalah we Ninewe bilen Kalahning otturisidiki Resen dégen sheherlernimu bina qildi (bular qoshulup «Katta Sheher» boldi).
010a0d0041	Misirning ewladliri Ludiylar, Anamiylar, Lehabiylar, Naftuhiylar,
010a0e0051	Patrosiylar, Kasluhiylar (Filistiyler Kasluhiylardin chiqqan) we Kaftoriylar idi.
010a0f0040	Qanaandin tunji oghul Zidon törilip, kéyin yene Het törelgen.
010a10003a	uning ewladliri bolsa Yebusiylar, Amoriylar, Girgashiylar,
010a11001d	Hiwiylar, Arqiylar, Siniylar,
010a120073	Arwadiylar, Zemariylar we Hamatiylar idi. Shuningdin kéyin, Qanaaniylarning qebililiri her terepke tarqilip ketti.
010a1300b6	Qanaaniylarning yurt chégrisi bolsa Zidondin tartip, Gerar teripige sozulup, Gazagha chiqip, andin Sodom, Gomorra, Admah bilen Zeboim teripige tutiship, Léshaghiche yétip baratti.
010a140079	Yuqiriqilar bolsa hamning oghulliri bolup, öz qebilisi we tilliri boyiche qowm bolup öz zéminlirida olturaqlashqanidi.
010a150059	Shemmu oghul perzentlik boldi; Shem bolsa Yafetning akisi, Éberlerning ata-bowisi boldi.
010a160036	Shemning oghulliri Élam, Ashur, Arfaxshad, Lud, Aram;
010a17002c	Aramning oghulliri Uz, Hul, Geter, Mash idi.
010a180039	Arfaxshadtin Shélah töreldi, Shélahtin Éber töreldi.
010a19009c	Éberdin ikki oghul törelgen bolup, birining ismi Peleg idi, chünki u yashighan dewrde yer yüzide bölünüsh boldi; Pelegning inisining ismi Yoqtan idi.
010a1a002e	Yoqtandin Almodad, Shelef, Xazarmawet, Yérah,
010a1b0016	Hadoram, Uzal, Diklah,
010a1c0016	Obal, Abimael, Shéba,
010a1d004c	Ofir, Hawilah we Yobab töreldi. Bularning hemmisi Yoqtanning oghulliri idi.
010a1e0070	Ularning olturghan jayliri bolsa Méshadin tartip, Seffar dégen rayonning sherq teripidiki taghqiche sozulatti.
010a1f007a	Yuqiriqilar bolsa Shemning oghulliri bolup, öz qebilisi we tilliri boyiche qowm bolup öz zéminlirida olturaqlashqanidi.
010a2000aa	Yuqiridikiler Nuhning ewladliri bolup, ular öz nesebliri we qowmliri boyiche xatirilen’gen. Topandin kéyinki yer yüzidiki barliq qowmlar ularning ichidin tarqalghan.
010b010039	U zamanda pütkül yer yüzidiki til hem söz birxil idi.
010b020080	Lékin shundaq boldiki, ademler meshriq terepke seper qilip, Shinar yurtida bir tüzlenglikni uchritip, shu yerde olturaqlashti.
010b0300a8	Ular bir-birige: — Kélinglar, biz xish quyup, otta pishurayli! — déyishti. Shundaq qilip, ular qurulushta tashning ornigha xish, layning ornigha qarimay ishletti.
010b0400e7	Ular yene: — Kélinglar, emdi özimizge bir sheher bina qilip, sheherde uchi asmanlargha taqashqudek bir munar yasayli! Shundaq qilip özimizge bir nam tikliyeleymiz. Bolmisa, pütkül yer yüzige tarilip kétimiz, — déyishti.
010b05005b	U waqitta Perwerdigar adem baliliri bina qiliwatqan sheher bilen munarni körgili chüshti.
010b0600d3	Perwerdigar: — «Mana, bularning hemmisi bir qowmdur, ularning hemmisining tilimu birdur; bu ularning ishining bashlinishidur! Bundin kéyin ularning niyet qilghan herqandaq ishini héch tosuwalghili bolmaydu.
010b0700a2	Shunga Biz töwen’ge chüshüp ularning bir-birining geplirini uqalmasliqi üchün ularning tilini [bashqa-bashqa qilip] qalaymiqanlashturuwéteyli» — dédi.
010b08007f	Shundaq qilip Perwerdigar ularni u jaydin pütkül yer yüzige taritiwetti. Shuning bilen ular sheherni yasashtin toxtap qaldi.
010b0900d5	Shunga bu sheherning nami «Babil» dep ataldi; chünki u yerde Perwerdigar pütkül yer yüzidikilerning tilini qalaymiqanlashturuwetti. Shundaq qilip Perwerdigar ularni u jaydin pütkül yer yüzige taritiwetti.
010b0a007a	Töwendikiler Shemning ewladliridur: — topan ötüp ikki yildin kéyin, Shem yüz yéshida, uningdin Arfakshad töreldi.
010b0b0066	Arfakshad tughulghandin kéyin Shem besh yüz yil ömür körüp, uningdin yene oghul-qizlar töreldi.
010b0c003f	Arfakshad ottuz besh yashqa kirgende uningdin Shélah töreldi.
010b0d006e	Shélah tughulghandin kéyin Arfakshad töt yüz üch yil ömür körüp, uningdin yene oghul-qizlar töreldi.
010b0e0036	Shélah ottuz yashqa kirgende uningdin Éber töreldi.
010b0f006a	Éber tughulghandin kéyin Shélah töt yüz üch yil ömür körüp, uningdin yene oghul-qizlar töreldi.
010b100039	Éber ottuz töt yashqa kirgende uningdin Peleg töreldi.
010b110069	Peleg tughulghandin kéyin Éber töt yüz ottuz yil ömür körüp, uningdin yene oghul-qizlar töreldi.
010b120032	Peleg ottuz yashqa kirgende uningdin Reu töreldi.
010b130068	Reu tughulghandin kéyin Peleg ikki yüz toqquz yil ömür körüp, uningdin yene oghul-qizlar töreldi.
010b140038	Reu ottuz ikki yashqa kirgende uningdin Sérug töreldi.
010b150068	Sérug tughulghandin kéyin Reu ikki yüz yette yil ömür körüp, uningdin yene oghul-qizlar töreldi.
010b160035	Sérug ottuz yashqa kirgende uningdin Nahor töreldi.
010b170064	Nahor tughulghandin kéyin Sérug ikki yüz yil ömür körüp, uningdin yene oghul-qizlar töreldi.
010b18003d	Nahor yigirme toqquz yashqa kirgende uningdin Terah töreldi.
010b19006c	Terah tughulghandin kéyin Nahor bir yüz on toqquz yil ömür körüp, uningdin yene oghul-qizlar töreldi.
010b1a0046	Terah yetmish yashqa kirgende uningdin Abram, Nahor we Haran töreldi.
010b1b0066	Terahning ewladliri töwendikiche: — Terahtin Abram, Nahor we Haran töreldi; Harandin Lut töreldi.
010b1c0070	Lékin Haran tughulghan yurti bolghan, kaldiylerning Ur shehiride atisi Terahning aldida, Terahtin ilgiri öldi.
010b1d00ad	Abram bilen Nahor ikkisi öylendi. Abramning ayalining ismi Saray, Nahorning ayalining ismi Milkah idi; Milkah Haranning qizi idi; Haran bolsa Milkah we Iskahning atisi idi.
010b1e0036	Lékin Saray tughmas bolghachqa, uning balisi yoq idi.
010b1f0106	Terah bolsa oghli Abramni, newrisi Lut (Haranning oghli)ni we kélini, yeni Abramning ayali Sarayni élip, Qanaan zéminigha bérish üchün kaldiylerning Ur shehiridin yolgha chiqti; biraq ular Haran dégen jaygha yétip kelgende, shu yerde olturaqliship qaldi.
010b20004b	Terahning körgen künliri ikki yüz besh yil bolup, Haranda alemdin ötti.
010c0100b0	Perwerdigar [eslide] Abramgha mundaq dégenidi: — Sen öz yurtungdin, öz uruq-tughqanliringdin we öz ata jemetingdin ayrilip, Men sanga körsitidighan zémin’gha barghin.
010c0200a2	Shundaq qilsang Men séni ulugh bir xelq qilip, sanga bext-beriket ata qilip, namingni ulugh qilimen; shuning bilen sen özüng bashqilargha bext-beriket bolghin;
010c0300ca	kimler sanga bext-beriket tilise Men ularni beriketleymen, kimki séni xorlisa, Men choqum uni lenetke qaldurimen; sen arqiliq yer yüzidiki barliq aile-qebililerge bext-beriket ata qilinidu! — dédi.
010c040092	Abram Perwerdigar uninggha éytqini boyiche [Harandin] ayrildi; Lutmu uning bilen bille mangdi. Abram Harandin chiqqinida yetmish besh yashta idi.
010c0500fc	Abram ayali Saray bilen inisining oghli Lutni élip, ularning yighqan barliq mal-mülükini qoshup, Haranda igidarchiliq qilghan ademlerni bille qétip, Qanaan zéminigha bérish üchün yolgha chiqti; shundaq qilip ular Qanaan zéminigha yétip keldi.
010c060084	Abram zéminni kézip, Shekem dégen jaydiki «Morehning dub derixi»ning yénigha keldi (u chaghda u zéminda Qanaaniylar turatti).
010c0700c3	Perwerdigar Abramgha körünüp, uninggha: — Men bu zéminni séning neslingge ata qilimen, — dédi. Shuning bilen u shu yerde özige körün’gen Perwerdigargha atap bir qurban’gah saldi.
010c080101	Andin u bu yerdin yötkilip, Beyt-Elning sherqidiki taghqa bardi; gherb teripide Beyt-El, sherq teripide Ayi dégen jay bar idi; u shu yerde chédir tikti. U shu yerde Perwerdigargha atap bir qurban’gah yasap, Perwerdigarning namini chaqirip ibadet qildi.
010c090051	Andin kéyin Abram tedrijiy köchüp, jenubidiki Negew rayonigha qarap yötkeldi.
010c0a0092	Zéminda acharchiliq bolghanidi; Abram Misirgha chüshti; u shu yerde waqtinche turmaqchi bolghanidi, chünki zéminda acharchiliq bek éghir idi.
010c0b0082	Emma shundaq boldiki, u Misirgha yéqinlashqanda, ayali Saraygha: — Mana, men séning hösün-jamalingning güzellikini bilimen.
010c0c0076	Shundaq boliduki, misirliqlar séni körse, «Bu uning ayali iken» dep, méni öltürüwétip, séni tirik qalduridu.
010c0d009f	Shuning üchün séning: «Men uning singlisi» déyishingni ötinimen. Shundaq qilsang, men séningdin yaxshiliq tépip, sen arqiliq tirik qalimen, — dédi.
010c0e005f	Abram Misirgha kirgende shundaq boldiki, misirliqlar derweqe ayalning güzel ikenlikini kördi.
010c0f007b	Pirewnning emirlirimu uni körüp, Pirewn’ge uning teripini qildi; shuning bilen ayal Pirewnning ordisigha élip kirildi.
010c10009c	Pirewn Sarayning sewebidin Abramgha yaxshi muamile qildi; shuning bilen u qoy, kala, hangga éshekler, qul-dédekler, mada éshekler we tögilerge érishti.
010c110075	Emma Perwerdigar Pirewn we öyidikilirini Abramning ayali Sarayning sewebidin tolimu éghir wabalargha muptila qildi.
010c120098	Shuning üchün Pirewn Abramni chaqirip uninggha: — «Bu zadi séning manga néme qilghining? Némishqa uning öz ayaling ikenlikini manga éytmiding?
010c13008d	Némishqa uni «singlim» dep méning uni xotunluqqa élishimgha sewebkar bolghili tas qalisen! Mana bu ayaling! Uni élip ketkin! — dédi.
010c140070	Pirewn öz ademlirige Abram toghrisida emr qildi; ular uni, ayalini we uning barliqini qoshup yolgha séliwetti.
010d010085	Shuning bilen Abram ayali we uning barliq nersilirini hemde Lutni élip Misirdin chiqip, Qanaanning jenubidiki Negew yurtigha mangdi.
010d020050	U chaghda Abramning mal-waran we altun-kümüshliri köp bolup, xélila bay idi.
010d030077	U köchüp yürüp, jenubtiki Negewdin Beyt-Elge, yeni Beyt-El bilen Ayining otturisidiki eslide chédir tikken jaygha,
010d040068	qurban’gah yasighan jaygha qaytip keldi. Abram shu yerde Perwerdigarning namini chaqirip ibadet qildi.
010d05004e	Abram bilen bille mangghan Lutningmu qoy-kala padiliri we chédirliri bar idi.
010d060034	Emdi ular bille tursa, zémin ularni qamdiyalmaytti;
010d070095	bu sewebtin Abramning padichiliri bilen Lutning padichilirining arisida jédel chiqti (u waqitta Qanaaniylar bilen Perizziyler shu zéminda turatti).
010d0800a8	Shunga Abram Lutqa: — «Biz bolsaq qérindashlarmiz, sen bilen méning aramda, méning padichilirim bilen séning padichiliring arisida talash-tartish peyda bolmisun.
010d0900ba	Mana, aldingda pütkül zémin turmamdu? Emdi sen mendin ayrilghin; eger sen sol terepke barsang, men ong terepke baray; eger sen ong terepke barsang, men sol terepke baray», — dédi.
010d0a00fc	U waqitta Lut nezer sélip kördiki, Iordan wadisidiki barliq tüzlenglikning Zoar shehirigiche hemmila yerning süyi intayin mol idi; Perwerdigar Sodom bilen Gomorrani weyran qilishtin ilgiri bu yer beeyni Perwerdigarning béghi, Misir zéminidek idi.
