0100000008	1 Mojzes
0109180054	Noe se je prebudil iz svojega vina ter spoznal, kaj mu je storil njegov mlajši sin.
010919004e	Rekel je: »Preklet bodi, Kánaan. Svojim bratom bo služabnik služabnikov.«
01091a0051	Rekel je: »Blagoslovljen bodi Semov Gospod Bog, Kánaan pa bo njegov služabnik.
01091b005c	Bog bo povečal Jafeta in prebival bo v Semovih šotorih, Kánaan pa bo njegov služabnik.«
01091c002d	Noe je po poplavi živel tristo petdeset let.
01091d003c	Vseh Noetovih dni je bilo devetsto petdeset let, in je umrl.
010a01005f	To so torej rodovi Noetovih sinov, Sema, Hama in Jafeta, in tem so se po poplavi rodili sinovi.
010a020049	Jafetovi sinovi: Gomer, Magóg, Madáj, Javán, Tubál, Mešeh in Tirás.
010a030030	Gomerjevi sinovi: Aškenáz, Rifát in Togarmá.
010a04003d	Javánovi sinovi: Elišá in Taršíš, Kitéjec in Dodaním.
010a05007d	S temi so bili otoki poganov razdeljeni po njihovih deželah, vsakdo po svojem jeziku, po svojih družinah, v svojih narodih.
010a06002f	Hamovi sinovi: Kuš, Micrájim, Put in Kánaan.
010a070061	Kuševi sinovi: Sebá, Havilá, Sabtá, Ramá in Sabtehá. In Ramájeva sinova: Šebá in Dedán.
010a080042	Kuš je spočel Nimróda. Ta je začenjal biti mogočen na zemlji.
010a09006c	Bil je mogočen lovec pred Gospodom, zakaj rečeno je: »Celo kakor Nimród, mogočen lovec pred Gospodom.«
010a0a0059	Začetek njegovega kraljestva pa je bil Babel, Ereh, Akád in Kalne v šinárski deželi.
010a0b0057	Iz tiste dežele je odšel proti Asúrju in zgradil Ninive ter mesta Rehobót, Kelah in
010a0c0034	Resen med Ninivami in Kelahom; isto je veliko mesto.
010a0d0039	Micrájim je spočel Ludima, Anamima, Lehabima, Nafthima,
010a0e0046	Patrusima, Kasluhima (iz katerega je prišel Filistejec) in Kaftorima.
010a0f0036	Kánaan je spočel Sidóna, svojega prvorojenca, Heta,
010a100023	Jebusejca, Amoréjca, Girgašéjca,
010a11001c	Hivéjca, Arkejca, Sinéjca,
010a12005d	Arvadéjca, Cemaréjca in Hamatéjca, in nato so bile družine Kánaancev razpršene naokoli.
010a130081	Meja Kánaancev je bila od Sidóna, ko prideš v Gerár, do Gaze; ko greš v Sódomo, Gomóro, Admo, in Cebojím, celó do Leše.
010a140062	To so Hamovi sinovi po svojih družinah, po svojih jezikih, v svojih deželah in v svojih narodih.
010a150068	Tudi Semu, očetu vseh Eberjevih otrók Jafetovemu starejšemu bratu, celó njemu so bili rojeni otroci.
010a160036	Semovi otroci: Elám, Asúr, Arpahšád, Lud in Arám.
010a170028	Arámovi otroci: Uc, Hul, Geter in Maš.
010a18003b	Arpahšád je spočel Šelaha, in Šelah je spočel Eberja.
010a190093	Eberju sta bila rojena dva sinova. Enemu je bilo ime Peleg, kajti v njegovih dneh je bila zemlja razdeljena in ime njegovega brata je bilo Joktán.
010a1a003c	Joktán je spočel Almodáda, Šelefa, Hacarmáveta, Jeraha,
010a1b001a	Hadoráma, Uzála, Diklá,
010a1c001a	Obála, Abimaéla, Šebá,
010a1d003e	Ofírja, Havilá in Jobába. Vsi ti so bili Joktánovi sinovi.
010a1e0050	Njihovo prebivališče je bilo od Meše, ko greš k Sefárju, vzhodnemu gorovju.
010a1f0061	To so Semovi sinovi po svojih družinah, po svojih jezikih, v svojih deželah, po svojih narodih.
010a20007b	To so družine Noetovih sinov po svojih rodovih v svojih narodih in z njimi so bili po poplavi razdeljeni narodi na zemlji.
010b010036	Celotna zemlja pa je bila enojezična in enega govora.
010b020069	Pripetilo se je, ko so potovali od vzhoda, da so našli ravnino v šinárski deželi in tam so prebivali.
010b030082	Rekli so drug drugemu: »Pojdimo, delajmo opeko in jih temeljito žgimo.« In opeko so imeli za kamen, blato pa so imeli za malto.
010b0400a2	Rekli so: »Pojdimo, zgradimo si mesto in stolp, čigar vrh bo lahko segal do neba in naredimo si ime, da ne bomo razpršeni naokoli po obličju celotne zemlje.«
010b050055	Gospod pa je prišel dol, da vidi mesto in stolp, ki so ga gradili človeški otroci.
010b06009c	Gospod je rekel: »Glej, ljudstvo je eno in vsi imajo en jezik in to so začeli delati in zdaj ne bo nič zadržano pred njimi, kar so si domislili storiti.
010b070066	Pojdimo, gremo dol in jim tam zmešajmo njihov jezik, da ne bodo mogli razumeti govora drug drugega.«
010b080065	Tako jih je Gospod od tam razkropil naokoli po obličju celotne zemlje in prenehali so graditi mesto.
010b090095	Zato je ime tega mesta imenovano Babel, ker je tam Gospod zmešal jezik vse zemlje, in od tam jih je Gospod razkropil naokoli po obličju vse zemlje.
010b0a005b	To so Semovi rodovi. Sem je bil star sto let in dve leti po poplavi je spočel Arpahšáda.
010b0b0057	Potem ko je Sem spočel Arpahšáda, je živel petsto let ter spočel sinove in hčere.
010b0c003b	Arpahšád je živel petintrideset let ter spočel Šelaha.
010b0d0063	Arpahšád je, potem ko je spočel Šelaha, živel štiristo tri leta ter spočel sinove in hčere.
010b0e0031	Šelah je živel trideset let ter spočel Eberja.
010b0f005e	Šelah je, potem ko je spočel Eberja, živel štiristo tri leta ter spočel sinove in hčere.
010b100037	Eber je živel štiriintrideset let ter spočel Pelega.
010b110060	Eber je, potem ko je spočel Pelega, živel štiristo trideset let ter spočel sinove in hčere.
010b120030	Peleg je živel trideset let ter spočel Reguja.
010b13005b	Peleg je, potem ko je spočel Reguja, živel dvesto devet let ter spočel sinove in hčere.
010b140035	Regu je živel dvaintrideset let ter spočel Serúga.
010b15005b	Regu je, potem ko je spočel Serúga, živel dvesto sedem let ter spočel sinove in hčere.
010b160033	Serúg je živel trideset let ter spočel Nahórja.
010b170058	Serúg je, potem ko je spočel Nahórja, živel dvesto let ter spočel sinove in hčere.
010b180037	Nahór je živel devetindvajset let ter spočel Teraha.
010b19005e	Nahór je, potem ko je spočel Teraha, živel sto devetnajst let ter spočel sinove in hčere.
010b1a0047	Terah je živel sedemdeset let ter spočel Abrama, Nahórja in Harána.
010b1b0065	Torej to so Terahovi rodovi. Terah je spočel Abrama, Nahórja in Harána; Harán pa je spočel Lota.
010b1c0056	Harán je umrl pred svojim očetom Terahom v deželi svojega rojstva, v Uru Kaldejcev.
010b1d009a	Abram in Nahór sta si vzela ženi. Ime Abramove žene je bilo Sarája; in ime Nahórjeve žene Milka, hči Harána, Milkinega očeta in Jiskinega očeta.
010b1e0036	Toda Sarája je bila jalova; ni imela nobenega otroka.
010b1f00db	Terah je vzel Abrama, svojega sina in vnuka Lota, Haránovega sina in svojo snaho Sarájo, ženo svojega sina Abrama in odšli so iz Ura Kaldejcev, da gredo v kánaansko deželo in prišli so v Harán ter tam prebivali.
010b200041	Terahovih dni je bilo dvesto pet let, in Terah je umrl v Haránu.
010c01008e	Gospod je torej rekel Abramu: »Pojdi ven iz svoje dežele in iz svojega sorodstva in iz hiše svojega očeta v deželo, ki ti jo bom pokazal.
010c020067	Iz tebe bom naredil velik narod in blagoslovil te bom in tvoje ime naredil veliko in ti boš blagoslov.
010c030085	Blagoslovil bom tiste, ki te blagoslavljajo in preklel tistega, ki te preklinja, in v tebi bodo blagoslovljene vse družine zemlje.«
010c04008e	Tako je Abram odšel, kakor mu je Gospod spregovoril in Lot je šel z njim. Abram pa je bil star petinsedemdeset let, ko je odšel iz Harána.
010c0500db	Abram je vzel svojo ženo Sarájo in Lota, sina svojega brata ter vse njuno imetje, ki sta ga zbrala in duše, ki sta jih pridobila v Haránu in šli so, da gredo v kánaansko deželo in prišli so v kánaansko deželo.
010c060067	Abram je šel skozi deželo do kraja Sihem, na Moréjevo ravnino. In takrat je bil v deželi Kánaanec.
010c070086	Gospod se je prikazal Abramu ter rekel: »To deželo bom dal tvojemu potomcu.« In tam je zgradil oltar Gospodu, ki se mu je prikazal.
010c0800b1	Od tam se je prestavil h gori na vzhodu Betela ter postavil svoj šotor in Betel je imel na zahodu, Aj pa na vzhodu. Tam je zgradil oltar Gospodu ter klical h Gospodovemu imenu.
010c09002e	Abram je potoval in še vedno šel proti jugu.
010c0a007c	V deželi pa je bila lakota in Abram je odšel dol v Egipt, da tam začasno prebiva, kajti lakota v deželi je bila boleča.
010c0b008f	Toda pripetilo se je, ko je prišel blizu, da vstopi v Egipt, da je rekel svoji ženi Saráji: »Glej, torej vem, da si na pogled lepa ženska,
010c0c0098	zato se bo zgodilo, ko te bodo Egipčani zagledali, da bodo rekli: ›To je njegova žena‹ in bodo mene ubili, toda tebe bodo ohranili pri življenju.
010c0d0073	Reci, prosim te, [da] si moja sestra, da bo zaradi tebe lahko dobro z menoj in bo moja duša živela zaradi tebe.«
010c0e0066	Pripetilo se je, ko je Abram prišel v Egipt, da so Egipčani zagledali žensko, da je bila zelo lepa.
010c0f006f	Tudi faraonovi princi so jo videli in jo priporočili pred faraonom in ženska je bila vzeta v faraonovo hišo.
010c100067	In zaradi nje je [z] Abramom dobro ravnal, in imel je ovce, vole, osle, sluge, dekle, oslice in kamele.
010c110063	Gospod pa je zaradi Abramove žene Saráje trpinčil faraona in njegovo hišo z velikimi nadlogami.
010c120075	Faraon je poklical Abrama ter mu rekel: »Kaj je to, kar si mi storil? Zakaj mi nisi povedal, da je bila tvoja žena?
010c130088	Zakaj si rekel: ›Moja sestra je?‹ Tako bi jo lahko vzel k sebi za ženo. Zdaj torej glej svojo ženo, vzemi jo in pojdi svojo pot.«
010c14006a	Faraon je glede njega zapovedal svojim ljudem in poslali so ga proč in njegovo ženo in vse, kar je imel.
010d01005c	Abram se je dvignil iz Egipta na jug, on in njegova žena in vse, kar je imel in Lot z njim.
010d020039	Abram je bil zelo bogat z živino, s srebrom in z zlatom.
010d03007a	Odšel je na svoja potovanja od juga celó do Betela, na kraj, kjer je bil od začetka njegov šotor, med Betelom in Ajem,
010d04005c	na kraj z oltarjem, ki ga je tam najprej naredil in tam je Abram klical h Gospodovemu imenu.
010d050043	Tudi Lot, ki je odšel z Abramom, je imel trope, črede in šotore.
010d060087	Zemlja pa ju ni mogla podpirati, da bi lahko prebivala skupaj, kajti njuno imetje je bilo veliko, tako da nista mogla prebivati skupaj.
010d070086	Bil pa je prepir med čredniki Abramove živine in čredniki Lotove živine, in takrat so v deželi prebivali Kánaanci in Perizéjci.
010d08008e	Abram je rekel Lotu: »Naj ne bo prepira, prosim te, med menoj in teboj in med mojimi čredniki in med tvojimi čredniki, kajti mi smo bratje.
010d0900ab	Mar ni vsa dežela pred teboj? Prosim te, loči se od mene. Če boš vzel levico, potem bom odšel na desno, ali če ti odideš na desnico, potem bom jaz odšel na levo.«
010d0a00d8	Lot je povzdignil svoje oči in pogledal vso jordansko ravnino, ki je bila, preden je Gospod uničil Sódomo in Gomóro, vsepovsod dobro namakana, kakor Gospodov vrt, podobna egiptovski deželi, ko prideš do Coarja.
010d0b006b	Potem si je Lot izbral vso Jordansko ravnino in Lot je odpotoval vzhodno in ločila sta se drug od drugega.
010d0c0076	Abram je prebival v kánaanski deželi, Lot pa je prebival v mestih ravnine in svoj šotor postavljal v smeri Sódome.
010d0d0046	Toda sódomski možje so bili zlobni in silni grešniki pred Gospodom.
010d0e00ac	Gospod je rekel Abramu, potem ko je bil Lot ločen od njega: »Dvigni torej svoje oči in poglej, od kraja, kjer si, proti severu, proti jugu, proti vzhodu in proti zahodu.
010d0f0048	Kajti vso deželo, ki jo vidiš, bom dal tebi in tvojemu semenu na veke.
010d10008b	Tvojega semena bom naredil kakor zemeljskega prahu, tako da če človek lahko prešteje zemeljski prah, potem bo prešteto tudi tvoje seme.
010d110057	Vstani, prehodi deželo po njeni dolžini in po njeni širini, kajti tebi jo bom dal.«
010d120081	Potem je Abram odstranil svoj šotor in prišel ter prebival na mamrejski ravnini, ki je v Hebrónu in tam zgradil oltar Gospodu.
010e010092	Pripetilo se je v dneh šinárskega kralja Amraféla, elasárskega kralja Arjóha, elámskega kralja Kedorlaómerja in tidálskega kralja narodov,
010e0200b0	da so se ti vojskovali s sódomskim kraljem Berom in gomórskim kraljem Biršájem, admaškim kraljem Šinábom, cebojímskim kraljem Šeméberjem in kraljem Bele, kar je Coar.
010e030044	Vsi ti so se skupaj srečali v Sidímski dolini, kar je slano morje.
010e04004a	Dvanajst let so služili Kedorlaómerju, v trinajstem letu pa so se uprli.
010e0500ae	V štirinajstem letu je prišel Kedorlaómer ter kralji, ki so bili z njim in udarili Rafájevce pri Ašterót Karnájimu in Zuzéjce pri Hamu in Emejce v Šavé Kirjatájimu
010e06004a	in Horéjce na njihovem gorovju Seír, do El Párana, ki je poleg divjine.
010e070094	In vrnili so se ter prišli do En Mišpáta, kar je Kadeš in udarili vso deželo Amalečanov in tudi Amoréjce, ki so prebivali v Hacecón Tamáru.
010e0800a7	In odšli so sódomski kralj, gomórski kralj, admaški kralj, cebojímski kralj in belaški kralj (isti je coarski) in se združili v bitki z njimi v Sidímski dolini
010e09009d	z elámskim kraljem Kedorlaómerjem, s Tidálom, kraljem narodov, šinárskim kraljem Amrafélom in elasárskim kraljem Arjóhom: štirje kralji proti petim.
010e0a00a0	Sidímska dolina pa je bila polna blatnih jam in sódomski kralj in gomórski kralj sta pobegnila in padla tja. Tisti, ki so preostali, pa so pobegnili h goram.
010e0b0055	Pobrali so vse dobrine Sódome in Gomóre in ves njihov živež ter odšli svojo pot.
010e0c005f	Vzeli so Lota, sina Abramovega brata, ki je prebival v Sódomi in njegove dobrine ter odrinili.
010e0d00b8	Prišel pa je nekdo, ki je pobegnil in povedal Hebrejcu Abramu, kajti ta je prebival na ravnini Amoréjca Mamreja, Eškólovega in Anêrjevega brata; in ti so bili zavezniki z Abramom.
010e0e00a3	Ko je Abram slišal, da je njegov brat ujet, je oborožil tristo osemnajst svojih izurjenih služabnikov, rojenih v njegovi lastni hiši in jih zasledoval do Dana.
010e0f0084	Ponoči se je razdelil zoper njih, on in njegovi služabniki in jih udaril in jih zasledoval do Hobe, ki je na levi roki od Damaska.
010e10007d	Vse dobrine je privedel nazaj in prav tako je privedel nazaj svojega brata Lota in njegove dobrine in tudi žene in ljudstvo.
010e1100a2	Sódomski kralj pa je odšel ven, da ga sreča po njegovi vrnitvi iz pokola Kedorlaómerja in kraljev, ki so bili z njim pri dolini Šavé, ki je kraljeva dolina.
010e12005d	Melkízedek, kralj v Salemu, je prinesel kruh in vino in ta je bil duhovnik najvišjega Boga.
010e130064	Blagoslovil ga je ter rekel: »Blagoslovljen bodi Abram od najvišjega Boga, lastnika neba in zemlje
010e140078	in blagoslovljen bodi najvišji Bog, ki je tvoje sovražnike izročil v tvojo roko.« In on mu je dal desetine od vsega.
010e15004c	Sódomski kralj pa je rekel Abramu: »Daj mi osebe, dobrine pa vzemi zase.«
010e160071	Abram je rekel sódomskemu kralju: »Svojo roko sem dvignil h Gospodu, najvišjemu Bogu, lastniku neba in zemlje,
010e170095	da ne bom vzel ne od nitke niti ne do vezalke in da ne bom vzel nobene stvari, ki je tvoja, da ne bi ti rekel: ›Jaz sem Abrama naredil bogatega.‹
010e180082	Samó tisto, kar so mladeniči pojedli in delež ljudi, ki so šli z menoj, Anêr, Eškól in Mamre; naj si vzamejo svoj delež.«
010f01008d	Po teh stvareh je Gospodova beseda prišla Abramu v videnju, rekoč: »Ne boj se, Abram. Jaz sem tvoj ščit in tvoja silno velika nagrada.«
010f020087	Abram je rekel: »Gospod Bog, kaj mi hočeš dati, glede na to, da odhajam brez otrók in je oskrbnik moje hiše Eliézer iz Damaska?«
010f030068	Abram je rekel: »Glej, nobenega semena mi nisi dal in glej, nekdo, rojen v moji hiši, je moj dedič.«
010f040095	Glej, Gospodova beseda je prišla k njemu, rekoč: »Ta ne bo tvoj dedič, temveč tisti, ki bo izšel iz tvoje lastne notranjosti, bo tvoj dedič.«
010f050093	Privedel ga je daleč naprej ter rekel: »Poglej zdaj proti nebu in štej zvezde, če jih lahko prešteješ.« Rekel mu je: »Tako bo tvoje seme.«
010f060039	Veroval je v Gospoda in on mu je to štel za pravičnost.
010f07006c	Rekel mu je: »Jaz sem Gospod, ki te je privedel iz Ura Kaldejcev, da ti dam to deželo, da jo podeduješ.«
010f080043	Rekel je: »Gospod Bog, po čem bom spoznal, da jo bom podedoval?«
010f090064	Rekel mu je: »Vzemi mi triletno telico, triletno kozo, triletnega ovna, grlico in mladega goloba.«
010f0a0075	Ta je k sebi vzel vse to in jih na sredini razpolovil in vsak kos položil nasproti drugemu, toda ptic ni razpolovil.
010f0b0036	Ko je na trupla prišla perjád, jo je Abram odganjal.
010f0c0065	In ko je sonce zahajalo, je na Abrama padlo globoko spanje in glej, nanj je padla groza velike temè.
