0100000009	ኡመመ
01051e0084	ላሜህ ኤርገ ኖህን ዸልቼ ቦዴ ወጋ 595 ጅራቴ፤ እንስ እልማኒፊ እንተለን ብራ ዸልቼ።
01051f002e	ወሉመት ላሜህ 777 ጅራቴ ዱኤ።
010520005a	ኖህ ኤርገ ወጋ 500 ጅራቴ ቦዴ ሴም፣ ሃሚፊ ያፌትን ዸልቼ።
010601006a	ዬሮ ነሞትን ብየ ለፋረት ባይአቹ ጀልቀበኒ እንተለን ዸለተኒፍት፣
0106020093	እልማን ዋቃ አከ እንተለን ነሞታ በበሬዶ ተአን አርገን፤ እሳን ኬሳስ አቡመ ፍለተን ፉዸን።
01060300ca	ዮሙስ ዋቀዮ፣ “ነምን ዋን ፎን ተኤፍ ሀፉርኮ በረ በራን እሰ ኬሰ ህንጅራቱ፤ በር ጅሬኘሳስ ወጋ ዽበ ቶኮፊ ድግደመ ተአ” ጄዼ።
01060400e9	በረ ሰናፊ ኤርገሲስ ኔፊሊሞትን ለፈረ ቱረን፤ እልማን ዋቃስ ዮሙ ገረ እንተለን ነማ ዸቀንት እጆሌ ዸልቸን። እሳንስ ጎቶተ ዱሪ ወረ ቤከሞ ቱረን።
01060500af	ዋቀዮስ አከ ጀልእን ነማ ለፈረት ባይአቴ፣ ወን ነምን ዬሮ ሁንደ ገራሳት ያዱ ሁንድኑስ ጀልኣ ቆፈ ተኤ አርጌ።
010606005b	ዋቀዮስ ዋን ለፈረት ነመ ኡሜፍ ንጋቤ፤ ገራንሳስ ንገዴ።
0106070100	ከናፉ ዋቀዮ፣ “አን ሰኚ ነማ ከን ኦፊኮቲን ኡሜ ለፈራ ነንበሌሰ። ነማፊ ሆሪ፣ ኡመመ ለፈረ ሙኙቁ፣ ስምብሮተ ሰሚ ነንበሌሰ፤ አን እሳን ኡሙኮት ጋቤራቲ” ጄዼ።
010608003f	ኖህ ገሩ ፉለ ዋቀዮ ዱረት ሱራ አርገቴ።
01060900c0	ሴናን ኖሂፊ ማቲሳ ከናዸ። ኖህ ነሞተ በረሳ ቱረን ግዱት ነመ ቀጄላ፣ ነመ ህርእነ ህንቀብኔ ከን ዋቀ ወጅን ዴዴብኡ ቱሬ።
01060a0058	ኖህ እልማን ሰዲ ዸልቼ፤ እሳንስ፦ ሴም፣ ሃሚፊ ያፌት።
01060b0058	ለፍት ፉለ ዋቃ ዱረት ፋለምቴ ጄቁምሳን ጉተምቴ ቱርቴ።
01060c007f	ሰበቢ ነሞትን ለፈራ ሁንድኑ ከራሳኒ ፋለኒፍ፣ ዋቅን አከ ለፍት ፋለምቴ አርጌ።
01060d00f1	ከናፉ ዋቅን ኖሂን አከነ ጄዼ፤ “ዋን ለፍት ሰበቢሳኒቲን ጄቁምሳን ጉተምቴፍ፣ አን ነመ ሁንደ ነንበሌሰ፤ ኩኖ አን ዹጉማን ለፋፊ እሳን ነንበርበዴሰ።
01060e0095	አት ሙከ ጎፈርራ ዶኒ ቶልፈዹ፤ ኬሰ እሳትስ ኩታ ገራ ገራ ቆጴስ፤ ኬሳፊ ዱበሳስ ሀጴዻን ዱች።
01060f00c8	ሃል አት እቲን ዶንቸ ቶልችቱ ከናዸ፤ ዼርነሳ ዹንዹመ ዽባ ሰዲ፣ በልእነሳ ዹንዹመ ሸንተመ፣ ኦል ዼርነሳ ዹንዹመ ሶዶመ ጎዽ።
01061000e8	ዶንቻፍ በንቲ ዹንዹመ ቶኮ ኦል ከኡ ሆጄዹ፤ ጭናቸሳረትስ በልበለ ባስ፤ ከነስ አባ ደርቢ ሰዲ ጄቹንስ ከን ገዲ፣ ከን ግዱቲፊ ከን ጉባ ጎዺ ሆጄዹ።
01061100bc	ኩኖ፣ አን ኡመመወን ሉቡ ቀቤዪ ሁንደ ሰሚ ጀላ በሌሱፍ ብሻን በዲሳ ለፈት ነንፍደ፤ ወን ለፈረ ጅራቱ ሁንድኑስ ንበደ።
01061200ac	ስ ወጅን ገሩ ከኩ ነንገለ፤ አትስ ዶኒ ሴንተ፤ አቲፊ እልማንኬ፣ ኒቲንኬቲፊ ኒቶትን እልማንኬቲስ ንሴንቱ።
01061300a2	ኡመመወን ሉቡ ቀቤዪ ሁንዱማ ኬሳ አከ እሳን ስ ወጅን ጅራተኒፍ ለመ ለመ፣ ኮርማፊ ዸላ ዶንቸት ገልች።
01061400fa	ስምብሮተ ኬሳ አኩመ ጎሰ ጎሰሳኒት፣ ሆሪ ኬሳ አኩመ ጎሰ ጎሰሳኒት፣ ኡመመወን ለፈረ ሙኙቀን ኬሳስ አኩመ ጎሰ ጎሰሳኒት፣ ለመ ለመ ተአኒ ጅራቹፍ ገረኬ ዹፉ።
0106150086	ዋን ኛተሙ ሁንደ ኬሳ ዋ ፉዺ ኦፍ ብረት ወልት ቀብ! ኩንስ ኛተኬቲፊ ኛተሳኒ ንተአ።”
010616004c	ኖህ አኩመ ዋቅን እሰ አጀጄት ዋን ሁንደ ሆጄቴ።
01070100be	ዋቀዮስ ኖሂን አከነ ጄዼ፤ “አን አከ አት ዸሎተ ከነ ኬሳ ነ ዱረት ቀጄላ ታቴ አርጌራቲ ማቲኬ ሁንዱማ ወጅን ዶንቸ ሴን።
01070200b2	ብኔንሰ ቁልቁሉ ጎሰ ሁንደ ኬሳ ኮርማፊ ዸላ ጭምዲ ቶርበ፣ ብኔንሰ ቁልቁሉ ህንተእን ጎሰ ሁንደ ኬሳ ጭምዲ ቶኮ፣
01070300a2	ጎሰ ስምብሮታ ሁንደ ኬሳሌ አከ ሰኚን ለፈ ሁንደረት ሀፌ ጅራቱፍ ኮርማፊ ዸላ ጭምዲ ቶርበ ፉዸዹ ሴን።
01070400c8	አን ጉያ ቶርበ ቦዴ ሀልከን አፉርተማፊ ጉያ አፉርተመ ቦካ ነንሮብሰ፤ ኡመመ ጅራታ አን መታንኮ ኡሜ ሁንደ ለፈራ ነንሀጣአ።”
0107050045	ኖህስ ዋን ዋቀዮ እሰ አጀጄ ሁንደ ንሆጄቴ።
0107060051	ዬሮ ብሻን በዲሳ ዹፌት ኖህ ነመ ወጋ ዽበ ጀአ ቱሬ።
0107070082	ኖሂፊ እልማንሳ፣ ኒቲሳቲፊ ኒቶትን እልማንሳ ብሻን በዲሳ ጀላ በኡፍ ዶኒ ሴነን።
01070800b0	ብኔንሶትን ቁልቁሉፊ ከን ቁልቁሉ ህንተእን፣ ስምብሮትኒፊ ኡመመወን ለፈረ ሙኙቀን ሁንድ፣ ጭምዲ ጭምዲዻን፣
0107090070	ኮርማፊ ዸላን ገረ ኖህ ዹፈኒ አኩመ ዋቅን ኖሂን አጀጄት ዶንቸ ሴነን።
01070a0046	ጉያ ቶርበ ቦዴ ብሻን በዲሳ ሎለኤ ለፈ ጉቴ።
01070b00fb	በረ ጅሬኘ ኖህ ወጋ ዽበ ጀአፋ ኬሰ፣ ጅአ ለመፋት፣ ጅአ ሰነ ኬሳስ ጉያ ኩዸ ቶርበፋት ቡርቃወን ቱጁበ ጉርጉዳ ሁንድ ንዾአን፤ ፎዳወን ብሻን ሰሚስ ንበነመን።
01070c0057	ቦካንስ ጉያ አፉርተማፊ ሀልከን አፉርተመ ለፈት ሮቤ።
01070d00a3	ጉዩመ ሰነ ኖሂፊ እልማንሳ፣ ሴም፣ ሃሚፊ ያፌት፣ ኒቲሳቲፊ ኒቶተ እልማንሳ ሰደኒ ወጅን ዶንቸ ሴነን።
01070e0129	እሳንስ ብኔንሶተ ሁንደ፣ አኩመ ጎሰሳኒት፣ ሆሪ ሁንደ አኩመ ጎሰሳኒት፣ ኡመመወን ለፈረ ሙኙቀን ሁንዳፊ ስምብሮተ ሁንደ አኩመ ጎሰሳኒት፣ ዋን ቆቾ ቀቡ ሁንደስ ኦፍ ፋነ ፉዸተኒ ሴነን።
01070f0094	ኡመመወን ሀፉረ ጅሬኛ ኦፍ ኬሳ ቀበን ሁንድኑስ ጭምዲ ጭምዲዻን ገረ ኖህ ዹፈኒ ዶንቸ ሴነን።
01071000d2	ብኔንሶትን አኩመ ዋቅን ኖህን አጀጄት ዶኒት ገለን ኮርማፊ ዸላ ኡመመወን ሉቡ ቀቤዪ ሁንዳ ቱረን፤ ኤርገሲሞ ዋቀዮ አላን እት ጩፌ።
01071100a3	ብሻን በዲሳስ እቱመ ፉፌ ጉያ አፉርተማፍ ለፈረ ቱሬ፤ ብሻን ሱንስ ደበላ ዴሜ ዶኒ ሰነ ለፈራ ኦል ካሴ።
0107120076	ብሻንችስ ኦል ከኤ ለፈረት አከ መሌ ባይአቴ፤ ዶኒን ሱንስ ብሻንቸረ ዴሜ።
010713006e	ብሻንችስ አከ መሌ ኦል ከኣ ዴሜ ቱሉወን ሰሚ ጀለ ጅረን ሁንደ ሀጉጌ።
010714005c	ብሻንች ዹንዹመ ኩዸ ሸን ጫላ ኦል ከኡዻን ቱሉወን ዾክሴ።
01071500f1	ኡመመወን ሉቡ ቀቤዪን ለፈረ ጅራተን ሁንድ ጄቹንስ፣ ስምብሮትን፣ ሆሪን፣ ብኔንሶትን፣ ኡመመወን ለፈረ ሙኙቀን ሁንዲፊ ነሞትን ሁንድ ንበርበዳአን።
0107160073	ወን ለፈ ጎጋረ ጅራቱ ከን ፉኛንሳቲን ሀፉረ ጅሬኛ ባፈቱ ሁንድኑ ንዱኤ።
010717012c	ኡመመወን ሉቡ ቀቤዪን ለፈረ ጅራተን ሁንድኑ ንሀጣአመን፤ ነምኒፊ ሆሪን፣ ኡመመወን ለፈረ ሙኙቀኒፊ ስምብሮትን ሰሚ፣ ለፈራ ንሀጣአመን። ኖሂፊ ወረ እሰ ወጅን ዶኒ ኬሰ ቱረን ቆፈቱ ሀፌ።
0107180052	ብሻን ሱንስ ቡልቲ ዽበ ቶኮፊ ሸንተመ ለፈረ ሎለኤ።
01080100c0	ዋቅን ገሩ ኖህን፣ ብኔንሶታፊ ሆሪ እሰ ወጅን ዶኒ ኬሰ ቱረን ሁንደ ያደቴ። እንስ ቡቤ ለፈት ኤርጌ፤ ብሻንችስ ገድ ገሌ።
0108020088	ቡርቃወን ቱጁበወኒቲፊ ፎዳወን ሰሚወኒ ንጩፈመን፤ ቦካን ሰሚ ኬሳ ገድ ሮቡስ ንጫሜ።
0108030085	ብሻን ሱንስ ሱቱመ ሱተ ለፈራ ህርአቻ ዴሜ ዹመ ቡልቲ ዽበ ቶኮፊ ሸንተማት ገድ ቡኤ።
010804006d	ዶኒን ሱንስ ጉያ ኩዸ ቶርበፋ ጅአ ቶርበፋት ቱሉ አራራት ጉባ ቁበቴ።
01080500a0	ብሻንች ሀመ ጅአ ኩርነፋት ገዱመ ገላ ዴሜ። ጉያ ጀልቀበ ጅአ ኩርነፋትስ መታወን ቱሉወኒ ሙልአተን።
0108060054	ጉያ አፉርተመ ቦዴ ኖህ ፎዳ ዶኒት ባሴ ቱሬ ሰነ በኔ፤
0108070095	እንስ አራጌሰ ቶኮ ገድ ዺሴ፤ አራጌስ ሱንስ ሀመ ብሻንች ለፈራ ጎጉት አሲፊ አች ዴዴብኣ ቱሬ።
0108080062	ኤርገሲሞ አከ ብሻንች ለፈራ ህርአቴ ሁበቹፍ ጉጌ ቶኮ ኤርጌ።
0108090103	ገሩ ሰበቢ ብሻን ለፈ ሁንደረ ጉቴ ጅሩፍ ጉጌን ሱን እዶ ቁበቱ ዸብዴ ገረ ኖህ ዶኒት ዴብቴ። እንስ ሀርከሳ ገድ ሂጠቴ ጉጌ ሰነ ገረ ዶኒት እዶ ኦፊ ጅሩት ኦል ገልቼ።
01080a0058	አመስ ጉያ ቶርበ ቱሬ ጉጌ ሰነ ዶኒ ኬሳ ገድ ባሴ ኤርጌ።
01080b00e1	ጉጌን ሱንስ ገልገለ ዮሙ ገረሳት ዴብቴት ኩኖ፣ ባለ ኤጄርሳ ከን አመ ኩተሜ አፋንት ቀበቴ ቱርቴ። ከናንስ ኖህ አከ ብሻንች ገድ ህርአቴ ቤኬ።
01080c008f	አመስ ጉያ ብራ ቶርበ ቱሬ ጉጌ ሰነ ዴብሴ ኤርጌ፤ ጉጌን ሱን ገሩ ለመተ ገረሳት ህንዴብኔ።
01080d00e9	ኡሙሪ ኖሂ ወጋ ዽበ ጀኣፊ ቶኮፋት፣ ጉያ ቶኮፋ ጅአ ጀልቀባት፣ ብሻንች ለፈራ ጎጌ። ኖህስ ቀዳደ ዶኒ ሰናራ ፉዼ እላሌ ኩኖ አከ ለፍት ጎግዴ አርጌ።
01080e0062	ጉያ ድግደሚ ቶርበፋ ጅአ ለመፋት ለፍት ጉቱማን ጉቱት ጎግዴ።
01080f002a	ዋቅንስ ኖሂን አከነ ጄዼ፤
0108100071	“አቲፊ ኒቲንኬ፣ እልማንኬቲፊ ኒቶትን እልማንኬቲ ኮታ ዶኒ ኬሳ በኣ።
0108110133	አከ እሳን ለፈረት ባይአተኒፍ፣ አከ እሳን ሆረኒ ለፈረት ባይአተኒፍ፣ ጎሰ ኡመመወን ሉቡ ቀቤዪ ስ ወጅን ጅረን ሁንደ ጄቹንስ ስምብሮተ፣ ብኔንሶታፊ ኡመመወን ለፈረ ሙኙቀን ሁንደ ገድ ባስ።”
0108120068	ከናፉ ኖህ እልማንሳቲፊ ኒቲሳ፣ ኒቶተ እልማንሳ ወጅን ገድ በኤ።
01081300e2	ብኔንሶትን ሁንዲፊ ኡመመወን ለፈረ ሙኙቀን ሁንድኑ፣ ስምብሮትን ሁንድ ጄቹንስ ወን ለፈረ ጅራቱ ሁንድ ጎሱመ ጎሳን ዶኒ ሰነ ኬሳ ገድ በአን።
01081400b2	ኖህስ ዋቀዮፍ እዶ ኣርሳ እጃሬ፤ ሆሪፊ ስምብሮተ ቁልቁሉ ሁንደ ኬሳ ፉዼ እዶ ኣርሳ ሰነረት ኣርሳ ጉበሙ ዽኤሴ።
0108150173	ዋቀዮስ ፎሊ ቶላ ሰነ ኡርጌፈቴ ገራሳ ኬሰት አከነ ጄዼ፤ “ዮ ወን ነምን እጆሉማሳቲ ጀልቀቤ ገራሳት ያዱ ሀምነ ተኤሌ አን ሰበቢ ነማቲፍ ጄዼ ለመተ ለፈ ህንአባሩ። አን አከን ከናን ዱረ ጎዼ ሰነ ዴብኤ ኡመመወን ጅራቶ ሁንደ ህንበሌሱ።
01081600b9	“ሀመ ለፍት ጅርቱት፣ ምዻን ፈጫሱፊ ወልት ቀቡን፣ ዻሞቺፊ ሆእ፣ ቦኒፊ ገን፣ ሀልከኒፊ ጉያን ጎንኩማ ህንሀፈን።”
0109010072	ዋቅን አከነ ጄዼ ኖሂፊ እልማንሳ ኤብሴ፤ “ሆራ፣ ባይአዻ፣ ለፈስ ጉታ።
0109020117	ሶዳችሱፊ ናስሱንኬሰን ብኔንሶተ ለፋ ሁንዱማፊ ስምብሮተ ሰሚ ሁንዱማ፣ ኡመመወን ለፈረ ሙኙቀን ሁንዱማፊ ቁርጡሚወን ገላና ሁንዱማረ ሃቡኡ፤ እሳን ሀርከኬሰንት ኬነመኒሩ።
01090300c7	ወን ጅራቱፊ ወን ሙኙቁ ሁንድ ኛተ እስኒፍ ንተአ። አን አኩመን ብቅለ ለልሳ እስኒ ኬኔ ሰነ አመስ ዋን ሁንደ እስኒፍ ነንኬነ።
0109040062	“እስን ገሩ ፎን ሉቡሳ ወጅን ጄቹንስ ዺገሳ ወጅን ህንኛትና።
01090500dc	አን ዹጉማን ዺገኬሰን ከን ሉቡንኬሰን ኬሰ ጅርቱ ነንበርባደ። ብኔንሰ ሁንደራ ነንበርባደ። ኦቦሌሰ ነመ ሁንዳራስ ሉቡ ነማ ነንበርባደ።
0109060096	“ነመ ዺገ ነማ ዸንገላሱ፣ ዺግንሳ ሀርከ ነማቲን ዸንገላፈመ፤ ዋቅን ብፈ ዋቃቲን ነመ ኡሜቲ።
0109070057	እስንስ ሆራ፣ ባይአዻ፤ ለፈ ጉታ፣ እረትስ ባይአዻ።”
0109080069	ኤርገሲ ዋቅን ኖሂፊ እልማንሳ ወረ እሳ ወጅን ቱረኒን አከነ ጄዼ፤
010909006f	“ኩኖ አን እስኒፊ ሰኚኬሰን ወረ እስን ቦዴ ወጅን ከኩኮ ነንሁንዴሰ።
01090a0141	አከሱመስ ኡመመወን ሉቡ ቀቤዪ እስን ወጅን ቱረን ሁንደ ጄቹንስ ስምብሮተ፣ ሆሪፊ ብኔንሶተ ለፋ ሁንደ፣ ዋን እስን ወጅን ዶኒ ኬሳ በኤ ሁንደ፣ ኡመመወን ለፈረ ጅራተን ሁንደ ወጅንስ ከኩኮ ነንሁንዴሰ።
01090b0100	አከ ስአች ወን ሉቡ ቀቡ ሁንድ ዴብኤ ብሻን በዲሳቲን ህንበድኔፍ፣ ስአች ብሻን በዲሳ ለፈ በሌሱፍ ጎንኩማ አከ ህንዹፍኔፍ አን እስን ወጅን ከኩኮ ነንሁንዴሰ።”
01090c00f8	ዋቅን አከነ ጄዼ፤ “መለቶን ከኩ ከን አን ኦፊኮቲፊ እስን ግዱት፣ ኡመመወን ሉቡ ቀቤዪ እስን ብረ ጅረን ሁንደ ግዱት፣ ዸሎተ ዹፉፍ ጅሩ ሁንዳፍ ገሉ ከናዸ።
01090d0078	አን ሰበተኮ ዱሜሰ ኬሰ ዻቤረ፤ እንስ ከኩ አናፊ ለፈ ግዱ ጅሩፍ መለቶ ተአ።
01090e0062	ዬሮ አን ለፈረት ዱሜሰ ፍዴ ሰበትንኮ ዱሜሰ ኬሳን ሙልአቱት፣
01090f010a	አን ከኩኮ ከን ኦፊኮቲፊ እስን ግዱ፣ ኡመመወን ሉቡ ቀቤዪ ጎሰ ሁንዳ ግዱስ ጅሩ ሰነ ነንያደዸ። ብሻኖትንስ ዴብአኒ ሉቡ ሁንደ በሌሱፍ ጎንኩማ ብሻን በዲሳ ህንተአን።
01091000f9	ዬሮ ሰበትንኮ ዱሜሰ ኬሳን ሙልአቱት፣ አን እሰ እላሌ ከኩ በረ በራ ከን ዋቃፊ ኡመመወን ሉቡ ቀቤዪ ጎሰ ሁንዳ ከኔን ለፈረ ጅራተን ግዱ ጅሩ ሰነ ነንያደዸ።”
010911009c	ከናፉ ዋቅን ኖሂን፣ “ኩን መለቶ ከኩ አን ኦፊኮቲፊ ሉቡ ለፈረ ጅራቱ ሁንደ ግዱ ዻቤ ሰናት” ጄዼ።
010912007e	እልማን ኖህ ወር ዶኒ ኬሳ በአን ሴም፣ ሃሚፊ ያፌት ቱረን። ሃም አባ ከነኣኒት።
0109130097	እልማን ኖህ ጀረ ከነ ሰደን ቱረን፤ ሰኚን ነማ ከን ለፈ ሁንደረ ብትኔፈሜስ እሳኑመራ አርገሜ።
0109140050	ኖህ ቆናን ቡላ ተኤ ወይኒ ዻቡት ነመ ጀልቀባ ቱሬ።
0109150063	እንስ ዳዺ ወይኒ ሰና ዹጌ መቻኤ፤ ቁላሳስ ዱንካነሳ ኬሰ ጪሴ።
0109160070	ሃም አባን ከነኣን ቁላ አባሳ አርጌ ኦቦሎተሳ ለማን አለ ቱረንት ህሜ።
0109170100	ሴሚፊ ያፌት ገሩ ወያ ፉዸኒ ገቲቲሳኒ ለማንረ ቡፈተኒ ዱግደ ዱባን ዴመኒ ቁላ አባሳኒት ኡፍሰን። ዋን ፉልሳኒ አች ገረገሌ ቱሬፍ እሳን ቁላ አባሳኒ ህንአርግኔ።
010918006e	ኖህስ ዬሮ መቺንሳ እራ ገሌት ዋን እልምሳ እን ጥናን እሰት ሆጄቴ ቤኬ
010919007f	አከነ ጄዼ፤ “ከነኣን አባረማ ሃተኡ! እን ኦቦሎተሳቲፍ ገርበ ገርቦታ ሃተኡ።”
01091a0076	አከነስ ጄዼ፤ “ዋቀዮ ዋቅን ሴም ሃኤብፈሙ! ከነኣንሞ ገርብቸ ሴም ሃተኡ።
01091b0095	ዋቅን ብየ ያፌት ሃበልእሱ፤ ያፌት ዱንካኖተ ሴም ኬሰ ሃጅራቱ፤ ከነኣንሞ ገርብቸሳ ሃተኡ።”
01091c0039	ብሻን በዲሳ ቦዴ ኖህ ወጋ 350 ጅራቴ።
01091d0032	ወሉመት ኖህ ወጋ 950 ጅራቴ ዱኤ።
010a0100ac	ሴናን እልማን ኖህ ጄቹንስ ከን ሴም፣ ከን ሃሚፊ ከን ያፌት ከነ፤ እሳንስ ብሻን በዲሳ ቦዴ እልማን ዸልቸን።
010a02007b	እልማን ያፌት፦ ጎሜር፣ ማጎግ፣ ሜዴ፣ ያዋን፣ ቱባል፣ ሜሼኪፊ ቲራስ ቱረን።
010a030053	እልማን ጎሜር፦ አሽኬነስ፣ ሪፋቲፊ ቶገርማ ቱረን።
010a04005d	እልማን ያዋን፦ ኤሊሻ፣ ተርሺሽ፣ ክቲሚፊ ሮዳኖተ ቱረን።
010a0500aa	ኡመትን ቀርቀረ ገላናስ ቶኮን ቶኮንሳኒ አኩመ አፋንሳኒቲፊ አኩመ ሰበሳኒት ገረ ብዮተሳኒት ብብትናአን።
010a060057	እልማን ሃም፦ ኩሽ፣ ምስረይም፣ ፉጢፊ ከነኣን ቱረን።
010a07009c	እልማን ኩሽ፦ ሳባ፣ ሀዊላ፣ ሰብታ፣ ረእማፊ ሰብቴካ ቱረን። እልማን ረእማ፦ ሼባፊ ዴዳን ቱረን።
010a080055	ኩሽ አባ ናምሩድ፤ ናምሩድስ ለፈረት ሎልቱ ጀባ ተኤ።
010a0900a5	እንስ ፉለ ዋቀዮ ዱረት አደምሳ ጀባ ቱሬ፤ ከናፉ፣ “ፉለ ዋቀዮ ዱረት አደምሳ ጀባ አከ ናምሩድ” ጄዸሜ።
010a0a0071	ጀልቀብን ሞቱማሳ ሽኔኣር ኬሰት ባብሎን፣ ኤሬክ፣ አካዲፊ ካልኔ ቱሬ።
010a0b0073	እንስ ብየ ሰና በኤ አሶር ዸቄ፤ አችትስ ነነዌ፣ ሬሆቦቲፊ ካለህ እጃሬ፤
010a0c008c	አከሱመስ ሬሴን እሼ ነነዌፊ ካለህ ግዱት አርገምቱ ንእጃሬ፤ ሬሴን ኩንስ መጋላ ጉዶዸ።
010a0d0065	ምስረይምሞ አባ ሉዲሞታ፣ አናሚሞታ፣ ሌሃቢሞታ፣ ነፍተሂሞታ፣
010a0e0085	ፈትሩሲሞታ፣ ከሴሉሂሞታ፣ ጄቹንስ ወረ ፍልስጤሞትን እራ ዸለተኒፊ ከፍቶሪሞታት።
010a0f0064	ከነኣን አባ ሲዶን እልመሳ ሀንገፍትቻ፣ አከሱመስ ከን ሄቶታ፣
010a100032	ዬቡሶታ፣ አሞሮታ፣ ግርጋሾታ፣
010a11002c	ሂዎታ፣ አርካዎታ፣ ሲኖታ፣
010a12007f	አርዋዴዎታ፣ ዜማሮታቲፊ ሀማቶታ ቱሬ። ኤርገሲ ጎሶትን ከነኣን ንብብትናአን፤
010a1300ca	ዳሪን ከነኣንስ ሲዶኒ ከኤ ከራ ጌራራቲን ሀመ ጋዛት በልአቴ፤ ከራ ሶዶም፣ ጎሞራ፣ አድማቲፊ ዜቦኢሚቲንስ ሀመ ሌሻት በልአቴ።
010a140071	እልማን ሃም አኩመ ጎሳፊ አፋንሳኒት፣ አኩመ ብያፊ ሰበሳኒት ከኔኒዸ።
010a1500a0	ሴሚፍስ እልማን ንዸለተን፤ ኦቦሌስ ሴም ሀንገፍት ያፌት ቱሬ፤ ሴምስ አባ እልማን ኤቤር ሁንዳ ቱሬ።
010a160064	እልማን ሴም ኤላም፣ አሹር፣ አርፋክሸድ፣ ሉዲፊ አራም ቱረን።
010a17004e	እልማን አራም ኡዝ፣ ሁል፣ ጌቴሪፊ ሜሼክ ቱረን።
010a18004d	አርፋክሸድ ሼላ ዸልቼ፤ ሼላንሞ ኤቤርን ዸልቼ።
010a1900f5	ኤቤሪፍስ እልማን ለመቱ ዸለቴ፤ ሰበቢ በረሳ ኬሰ ለፍት ገርገር ቆደምቴፍ መቃን እሰ ቶኮ ፌሌግ ጄዸሜ ሞጋፈሜ፤ መቃን ኦቦሌሰሳሞ ዮቅጣን ጄዸሜ ሞጋፈሜ።
010a1a004f	ዮቅጣንሞ አልሞዳድ፣ ሼሌፍ፣ ሀዘርማዌት፣ ያራ፣
010a1b0029	ሀዶራም፣ ኡዛል፣ ድቅላ፣
010a1c0029	ኦባል፣ አቢማኤል፣ ሼባ፣
010a1d0071	ኦፊር፣ ሀዊላፊ ዮባብን ዸልቼ። ወር ኩኔን ሁንድኑ እልማን ዮቅጣኒት።
010a1e0073	ለፍት ጅሬኘሳኒ ሜሻ ከኤ ከራ ሴፋሪቲን ሀመ ጋረን በአ ቢፍቱት በልአተ።
010a1f0071	እልማን ሴም አኩመ ጎሳፊ አፋንሳኒት፣ አኩመ ብያፊ ሰበሳኒት ከኔኒዸ።
010a2000d5	ወር ኩን ጎሶተ እልማን ኖህ ከኔን አኩመ ዸሎተሳኒት ሰበሳኒ ኬሰ ጅረኒዸ፤ ብሻን በዲሳቲን ቦዴ ሰቦትን ወሩመ ከነራ ለፈረ ፈፈጨአን።
010b010057	በረ ሰነ አዱኛን ጉቱን አፋን ቶኮፊ ሃሳ ቶኮ ቀበ ቱሬ።
010b020093	ነሞትን አኩመ ገረ በአ ቢፍቱት ጎዳነኒን፣ ሽኔኣር ኬሰት ለፈ ድሪራ አርገተኒ አች ቁበተን።
010b0300ca	እሳንስ፣ “ኮታ ሜ ጡቢ ሆጄትኔ እብዳን ጉብና” ወሊን ጄዸን። እሳንስ ቆደ ዸጋ፣ ጡቢት ፈየደመን፤ ሀጴዻፍሞ ሌሌት ፈየደመን።
010b0400d1	ኤርገሲ፣ “ኮታ ሜ አከ ኦፊኬኛ መቃ አርገትኑፊ አከ አዱኛ ጉቱረ ህንብብትኖፍኔፍ መጋላ ገሞንሳ ሰሚ ቀቀቡ ቶኮ እጃረትና” ጄዸን።
010b050067	ዋቀዮ ገሩ መጋላፊ ገሞ እሳን እጃራ ቱረን ሰነ እላሉፍ ገድ ቡኤ።
010b060128	ዋቀዮስ አከነ ጄዼ፤ “ኤርገ እሳን አከ ሰበ ቶኮ ከን አፋኑመ ቶኮ ዱበቱት ዋን ከነ ሆጄቹ ጀልቀበኒ፣ ዮስ አመ ወን እሳን ሆጄቹፍ ከሮርፈተን ከን እሳኒፍ ህንደንደአምኔ ቶኮዩ ህንጅራቱ።
