0100000008	Ebandeli
0108060048	Sima na mikolo tuku minei, Noa afungolaki lininisa ya masuwa oyo asalaki
0108070067	mpe abimisaki yanganga. Yanganga yango ezalaki kokende mpe kozonga kino tango mayi ekawukaki na mokili.
010808004b	Mpe lisusu, Noa abimisaki ebenga mpo na kotala soki mayi ekawuki na mokili.
01080900d6	Kasi ebenga ezwaki esika ya kotia matambe na yango te, pamba te mayi ezalaki na etando nyonso ya mokili. Boye, ezongaki na masuwa epai ya Noa. Noa abimisaki loboko, azwaki ebenga mpe akotisaki yango kati na masuwa.
01080a0043	Azelaki mikolo sambo mpe abimisaki lisusu ebenga libanda ya masuwa.
01080b008e	Tango ebenga ezongaki epai na ye na pokwa, ememaki lokasa ya olive ya mobesu na monoko na yango. Boye, Noa asosolaki ete mayi ekiti na mokili.
01080c0059	Azelaki lisusu mikolo sambo mosusu, mpe abimisaki ebenga. Kasi ebenga ezongaki lisusu te.
01080d00c4	Na mokolo ya liboso na sanza ya liboso, tango Noa akokisaki mibu nkama motoba na moko ya mbotama, mayi ekawukaki na mokili; Noa afungolaki masuwa na likolo na yango mpe amonaki ete mabele ekawuki.
01080e004d	Na mokolo ya tuku mibale na sambo ya sanza ya mibale, mabele ekawukaki penza.
01080f001c	Boye, Nzambe alobaki na Noa:
0108100059	«Bima na masuwa elongo na mwasi na yo, mpe bana na yo ya mibali elongo na basi na bango.
010811009c	Bimisa mpe bikelamu oyo ezali elongo na yo: bandeke, banyama mpe bikelamu nyonso oyo etambolaka na libumu, mpo ete ebotana mpe ekoma ebele kati na mokili.»
010812005d	Boye, Noa abimaki libanda elongo na bana na ye ya mibali, mwasi na ye mpe basi ya bana na ye.
01081300ad	Banyama nyonso, bikelamu nyonso oyo etambolaka na libumu mpe bandeke nyonso, bikelamu nyonso oyo etambolaka na mokili, ebimaki na masuwa na molongo kolanda lolenge na yango.
0108140088	Noa atongaki etumbelo mpo na Yawe mpe azwaki ndambo ya banyama mpe bandeke ezanga mbindo, abonzelaki yango Yawe lokola mbeka ya kotumba.
01081500ed	Boye, Yawe ayokaki solo kitoko mpe amilobelaki: «Nakolakela lisusu mabele mabe te likolo ya moto, pamba te wuta bomwana ya moto, motema ya moto elukaka kaka makambo mabe; nakoboma lisusu te bikelamu nyonso ya bomoi ndenge nawuti kosala.
01081600c2	Na tango nyonso oyo mokili ekozala, tango ya kolona mpe tango ya kobuka, tango ya malili mpe tango ya molunge, tango ya mvula mpe tango ya elanga, tango ya moyi mpe tango ya butu, ekozanga te.»
0109010073	Nzambe apambolaki Noa mpe bana na ye ya mibali. Alobaki na bango: «Bobota bana, bokoma ebele mpe botondisa mokili.
01090200aa	Banyama nyonso ya mokili, bandeke nyonso ya likolo mpe bikelamu oyo etambolaka na mokili elongo na mbisi ya ebale, ekobanga bino makasi; nyonso epesami na maboko na bino.
0109030094	Bikelamu nyonso oyo ezali na bomoi mpe oyo etambolaka, ekozala bilei na bino. Ndenge kaka napesaki bino matiti, sik’oyo napesi bino biloko nyonso.
0109040048	Kasi bokolia te mosuni oyo ezali na makila, pamba te makila ezali bomoi.
01090500a5	Bongo lokola makila na bino ezali bomoi na bino, nakosambisa oyo nyonso akotangisa yango, ezala nyama to moto. Nakosambisa moto nyonso mpo na bomoi ya moninga na ye.
0109060083	Yango wana, soki moto asopi makila ya moto, bakosopa mpe makila na ye epai ya moto, pamba te Nzambe asalaki moto na elilingi na Ye.
010907003c	Kasi bino, bobota bana, bokoma ebele mpe botondisa mokili.»
0109080038	Boye, Nzambe alobaki na Noa mpe na bana na ye ya mibali:
010909004a	«Nasali sik’oyo boyokani elongo na yo mpe na bakitani na yo sima na yo,
01090a00bb	na bikelamu nyonso ya bomoi oyo ezali elongo na yo: bandeke, bibwele mpe banyama ya zamba, banyama nyonso oyo ebimaki na masuwa elongo na yo, bikelamu nyonso ya bomoi oyo ezali na mokili.
01090b0097	Nasali boyokani elongo na yo: bikelamu nyonso oyo ezali na bomoi ekobebisama te na mayi ya mpela. Mpe mpela ekozala lisusu te mpo na kobebisa mokili.»
01090c00b8	Nzambe alobaki lisusu: «Tala elembo ya boyokani oyo natie kati na Ngai mpe bino, mpe bikelamu nyonso ya bomoi oyo ezali na bino elongo. Ezali boyokani mpo na milongo nyonso oyo ekoya:
01090d005d	natie monama na Ngai na mapata, mpe yango ekozala elembo ya boyokani kati na Ngai mpe mokili.
01090e0051	Tango nyonso nakosangisa mapata na likolo ya mokili mpe monama ekobima na mapata,
01090f00ac	nakokanisa boyokani na Ngai elongo na bino mpe na bikelamu ya lolenge nyonso oyo ezali na bomoi. Mpe mayi ekokoma lisusu mpela te mpo na kobebisa nyonso oyo ezali na bomoi.
0109100098	Tango nyonso monama ekobima na mapata, nakomona yango mpe nakokanisa boyokani ya seko kati na Nzambe mpe bikelamu nyonso ya bomoi oyo ezali na mokili.»
0109110092	Nzambe alobaki lisusu na Noa: «Yango nde ezali elembo ya boyokani oyo natie kati na Ngai mpe bikelamu nyonso ya bomoi oyo ezali kati na mokili.»
0109120063	Tala bana mibali ya Noa oyo babimaki na masuwa: Semi, Cham mpe Jafeti. Cham azalaki tata ya Kanana.
010913005b	Bango misato bazalaki bana ya Noa mpe na nzela na bango nde mokili etondaki lisusu na bato.
0109140036	Noa azalaki mosali bilanga mpe alonaki elanga ya vino.
0109150077	Tango amelaki masanga ya vino oyo ewutaki na elanga na ye, alangwaki mpe atikalaki bolumbu kati na ndako na ye ya kapo.
0109160072	Cham, tata ya Kanana, amonaki bolumbu ya tata na ye mpe ayebisaki bandeko na ye ya mibali oyo bazalaki na libanda.
01091700dc	Kasi Semi mpe Jafeti bazwaki elamba mpe batiaki yango na mapeka na bango. Bazongaki sima-sima mpe bazipaki bolumbu ya tata na bango. Lokola bilongi na bango etalaki na ngambo mosusu, bamonaki bolumbu ya tata na bango te.
010918004f	Tango milangwa ya Noa esilaki, ayokaki likambo oyo mwana na ye ya suka asalaki.
0109190054	Alobaki: «Tika ete Kanana alakelama mabe, azala mowumbu ya suka ya bandeko na ye!»
01091a0063	Alobaki lisusu: «Tika ete Yawe, Nzambe ya Semi, apambolama! Tika ete Kanana azala mowumbu ya Semi!
01091b0084	Tika ete Nzambe ayeisa monene mabele ya Jafeti! Tika ete Jafeti avanda na bandako ya kapo ya Semi, mpe Kanana azala mowumbu na ye!»
01091c0047	Sima na mpela, Noa awumelaki na bomoi mibu nkama misato na tuku mitano.
01091d004d	Mibu nyonso ya bomoi ya Noa ezalaki nkama libwa na tuku mitano, sima akufaki.
010a010055	Tala libota ya Noa: Semi, Cham mpe Jafeti; bango mpe babotaki bakitani sima na mpela.
010a020052	Bana mibali ya Jafeti: Gomeri, Magogi, Madayi, Yavani, Tubali, Mesheki mpe Tirasi.
010a030037	Bana mibali ya Gomeri: Ashikenazi, Rifati mpe Togarima.
010a04003c	Bana mibali ya Yavani: Elisha, Tarsisi, Kitimi mpe Dodanimi.
010a0500b0	Bakitani na bango nde bavandaki na bisanga mpe na bamboka ya pembeni ya mayi. Moko na moko kati na bango azwaki mokili na ye kolanda lokota na ye, etuka na ye mpe libota na ye.
010a060039	Bana mibali ya Cham: Kushi, Mitsirayimi, Puti mpe Kanana.
010a070066	Bana mibali ya Kushi: Seba, Avila, Sabita, Raema mpe Sabiteka. Bana mibali ya Raema: Sheba mpe Dedani.
010a08005a	Kushi azalaki mpe tata ya Nimirodi oyo azalaki elombe ya liboso ya bitumba kati na mokili.
010a090085	Azalaki mobomi monene ya banyama na miso ya Yawe. Yango wana, balobaka: «Mobomi monene ya banyama lokola Nimirodi na miso ya Yawe.»
010a0a0061	Bingumba ya liboso ya mokili na ye ezalaki Babeli, Ereki, Akadi mpe Kaline na mokili ya Shineari.
010a0b004e	Longwa na mokili wana, alekaki na Asiri mpe atongaki Ninive, Reoboti-Iri, Kala
010a0c003b	mpe Reseni, engumba monene na kati-kati ya Ninive mpe Kala.
010a0d0048	Mitsirayimi azalaki koko ya bato ya Ludi, ya Anami, ya Leabi, ya Nafitu,
010a0e0045	ya Patrusi, ya Kasilu (oyo babimisa bato ya Filisitia) mpe ya Kereti.
010a0f003d	Kanana azalaki tata ya Sidoni, mwana na ye ya liboso, ya Eti,
010a100021	ya Yebusi, ya Amori, ya Girigazi,
010a11001a	ya Evi, ya Ariki, ya Sini,
010a120070	ya Arivadi, ya Tsemari mpe ya Amati. (Mpe na sima, bato ya mabota nyonso ya Kanana bapalanganaki bipai na bipai.
010a1300a0	Mokili ya bato ya Kanana ebandaki wuta na Sidoni, na nzela ya Gerari, kino na Gaza; mpe na nzela ya Sodome, ya Gomore, ya Adima mpe ya Tseboyimi kino na Lesha.)
010a14006a	Bango nde bazalaki bakitani ya Cham kolanda mabota mpe nkota na bango, kati na mikili mpe bikolo na bango.
010a150056	Semi, kulutu ya Jafeti, abotaki mpe bana; azalaki koko ya Eberi mpe ya bakitani na ye.
010a160040	Bana mibali ya Semi: Elami, Asuri, Aripakishadi, Ludi mpe Arami.
010a170032	Bana mibali ya Arami: Utsi, Uli, Geteri mpe Mashi.
010a180030	Aripakishadi abotaki Shela; Shela abotaki Eberi.
010a190090	Eberi abotaki bana mibali mibale: moko, kombo na ye ezalaki «Pelegi,» pamba te na tango na ye nde bakabolaki mabele; mpe mosusu, «Yokitani.»
010a1a0038	Yokitani abotaki Alimodadi, Shelefi, Atsarimaveti, Yera,
010a1b0017	Adorami, Uzali, Dikila,
010a1c0016	Obali, Abimaeli, Saba,
010a1d0049	Ofiri, Avila mpe Yobabi. Bango nyonso wana bazalaki bakitani ya Yokitani.
010a1e0063	(Mokili oyo bazalaki kovanda ebandaki wuta na Mesha kino na Sefari, na mokili ya bangomba ya este.)
010a1f006d	Bango nde bazalaki bana mibali ya Semi kolanda bituka mpe nkota na bango, kati na mikili mpe bikolo na bango.
010a200099	Wana nde bituka ya bana mibali ya Noa kolanda milongo mpe mikili na bango. Bato nyonso oyo batondisaki mokili sima na mpela babotamaki na nzela na bango.
010b01005f	Na tango wana, bato ya mokili mobimba bazalaki koloba monoko moko mpe bazalaki na elobeli moko.
010b020089	Tango bato bazalaki kotambola mpo na kokende na ngambo ya weste, bamonaki etando moko ya monene na mokili ya Shineari mpe bavandaki kuna.
010b03009b	Balobanaki bango na bango: «Tosala babiliki mpe totumba yango na moto.» Boye, basalelaki babiliki lokola mabanga mpe potopoto ya mwindo mpo na kotongela.
010b0400b3	Balobaki: «Tokende, totonga engumba mpo na biso mpe ndako molayi oyo songe na yango ekokoma kino na lola, mpo ete kombo na biso ekende sango mpe topanzana te na mokili mobimba.»
010b050054	Kasi Yawe akitaki mpo na kotala engumba mpe ndako molayi oyo bato babandaki kotonga.
010b0600db	Yawe alobaki: «Lokola bato oyo nyonso balongi kokoma ekolo moko mpe koloba monoko moko, bongo bakomi kino kosala mosala monene oyo, eloko moko te ekopekisa bango sik’oyo kokokisa mabongisi nyonso oyo bakokana kosala!
010b070062	Boye, tokita mpe totia mobulu kati na maloba na bango mpo ete bango na bango bayokana lisusu te.»
010b080053	Wuta na Babeli, Yawe apanzaki bango na mokili mobimba mpe batikaki kotonga engumba.
010b0900a7	Yango wana, babengaka yango Babeli, pamba te kuna nde Yawe atiaki mobulu kati na maloba ya bato ya mokili mobimba, mpe wuta kuna, Yawe apanzaki bato na mokili mobimba.
010b0a0083	Tala libota ya Semi: Mibu mibale sima na mpela, wana Semi azalaki nanu na mibu nkama moko ya mbotama, akomaki tata ya Aripakishadi.
010b0b0079	Sima na mbotama ya Aripakishadi, Semi awumelaki na bomoi mibu nkama mitano mpe abotaki bana mosusu ya mibali mpe ya basi.
010b0c006c	Tango Aripakishadi akokisaki mibu tuku misato na mitano ya mbotama, abotaki mwana mobali na kombo «Shela.»
010b0d0083	Sima na mbotama ya Shela, Aripakishadi awumelaki na bomoi mibu nkama minei na misato mpe abotaki bana mosusu ya mibali mpe ya basi.
010b0e0041	Tango Shela akokisaki mibu tuku misato ya mbotama, abotaki Eberi.
010b0f0087	Mpe sima na mbotama ya Eberi, Shela awumelaki lisusu na bomoi mibu nkama minei na misato mpe abotaki bana mosusu ya mibali mpe ya basi.
010b10004b	Tango Eberi akokisaki mibu tuku misato na minei ya mbotama, abotaki Pelegi.
010b11008d	Mpe sima na mbotama ya Pelegi, Eberi awumelaki lisusu na bomoi mibu nkama minei na tuku misato mpe abotaki bana mosusu ya mibali mpe ya basi.
010b120041	Tango Pelegi akokisaki mibu tuku misato ya mbotama, abotaki Rewu.
010b130087	Mpe sima na mbotama ya Rewu, Pelegi awumelaki lisusu na bomoi mibu nkama mibale na libwa mpe abotaki bana mosusu ya mibali mpe ya basi.
010b14004b	Tango Rewu akokisaki mibu tuku misato na mibale ya mbotama, abotaki Serugi.
010b150083	Sima na mbotama ya Serugi, Rewu awumelaki lisusu na bomoi mibu nkama mibale na sambo mpe abotaki bana mosusu ya mibali mpe ya basi.
010b160042	Tango Serugi akokisaki mibu tuku misato ya mbotama, abotaki Naori.
010b17007b	Sima na mbotama ya Naori, Serugi awumelaki lisusu na bomoi mibu nkama mibale mpe abotaki bana mosusu ya mibali mpe ya basi.
010b180049	Tango Naori akokisaki mibu tuku mibale na libwa ya mbotama, abotaki Tera.
010b19008c	Mpe sima na mbotama ya Tera, Naori awumelaki lisusu na bomoi mibu nkama moko na zomi na libwa mpe abotaki bana mosusu ya mibali mpe ya basi.
010b1a0051	Tango Tera akokisaki mibu tuku sambo ya mbotama, abotaki Abrami, Naori mpe Arani.
010b1b005a	Tala libota ya Tera: Tera abotaki Abrami, Naori mpe Arani. Arani nde azalaki tata ya Loti.
010b1c007f	Wana tata na ye, Tera, azalaki nanu na bomoi, Arani akufaki kati na Uri, mokili ya bato ya Chalide, mokili epai wapi abotamaki.
010b1d00ca	Kombo ya mwasi ya Abrami ezalaki «Sarayi,» mpe kombo ya mwasi ya Naori ezalaki «Milika.» Milika azalaki mwana mwasi ya Arani; mpe Arani azalaki na mwana mwasi mosusu: kombo na ye ezalaki «Yisika.»
010b1e002b	Sarayi azalaki ekomba: azalaki na mwana te.
010b1f0103	Tera azwaki Abrami, mwana na ye ya mobali; Loti, koko na ye mpe mwana mobali ya Arani; mpe Sarayi, bokilo na ye mpe mwasi ya mwana na ye Abrami, babimaki na Uri ya bato ya Chalide mpo na kokende na Kanana. Kasi tango bakomaki na engumba Arani, bavandaki kuna.
010b200053	Tera awumelaki na bomoi mibu nkama mibale na mitano, sima akufaki na engumba Arani.
010c0100a6	Yawe alobaki na Abrami: «Bima wuta na mokili na yo, wuta na libota na yo mpe wuta na ndako ya tata na yo, mpo na lobiko na yo, mpe kende na mokili oyo nakolakisa yo.
010c02006d	Nakokomisa yo ekolo monene mpe nakopambola yo; nakokomisa kombo na yo monene, mpe okozala etima ya mapamboli.
010c030093	Nakopambola bato oyo bakopambola yo, mpe nakolakela mabe moto oyo akolakela yo mabe; mpe bato ya bituka nyonso ya mabele bakomipambola mpo na yo.»
010c040096	Abrami akendeki ndenge Yawe alobaki na ye; mpe Loti akendeki na ye elongo. Abrami azalaki na mibu tuku sambo na mitano tango abimaki na engumba Arani.
010c0500c2	Abrami azwaki mwasi na ye Sarayi; Loti, mwana ya ndeko na ye; bomengo nyonso oyo akomaki na yango mpe bato oyo azwaki na Arani. Babimaki wuta na Arani mpo na kokende na Kanana mpe bakomaki kuna.
010c0600a4	Abrami atambolaki kati na mokili yango kino na esika oyo babengaka Sishemi, na nzete monene ya More. Na tango wana, bato ya Kanana bazalaki kovanda na mokili yango.
010c0700b1	Yawe amimonisaki epai ya Abrami mpe alobaki: «Nakopesa mokili oyo epai ya bakitani na yo.» Boye Abrami atongaki na esika yango etumbelo mpo na Yawe oyo amimonisaki epai na ye.
010c0800ef	Longwa wana, akendeki na bangomba ya este ya Beteli. Atongaki ndako na ye ya kapo kati ya Beteli mpe Ayi, na esika oyo atongaki etumbelo mpo na Yawe mpe abelelaki Kombo ya Yawe. Beteli ezalaki na ngambo ya weste mpe Ayi, na ngambo ya este.
010c090048	Sima, Abrami alongwaki wana mpe akendeki malembe-malembe kino na Negevi.
010c0a0084	Nzala makasi ekotaki na mokili; bongo Abrami akendeki kovanda na Ejipito mpo na tango moke, pamba te nzala makasi ekotaki na mokili.
010c0b006e	Tango akomaki pene ya kokota na Ejipito, alobaki na mwasi na ye Sarayi: «Nayebi ete ozali mwasi kitoko penza.
010c0c0073	Tango bato ya Ejipito bakomona yo, bakoloba: ‹Azali mwasi na ye.› Boye, bakoboma ngai mpe bakotika yo na bomoi.
010c0d008b	Kasi yo, loba na bango ete ozali ndeko na ngai ya mwasi. Na bongo, bakosalela ngai bolamu mpo na yo, mpe bomoi na ngai ekobika mpo na yo.»
010c0e0060	Tango Abrami akomaki na Ejipito, bato ya Ejipito bamonaki ete Sarayi azalaki mwasi kitoko penza.
010c0f008a	Wana bakonzi ya basali ya Faraon bamonaki ye, bakumisaki ye liboso ya Faraon mpe bamemaki ye na ndako ya Faraon mpo ete akoma mwasi na ye.
010c10009c	Basalelaki Abrami bolamu likolo ya Sarayi, mpe Abrami azwaki bameme, bantaba mpe bangombe, ba-ane, basali ya basi mpe ya mibali, bana ya ba-ane mpe bashamo.
010c11005e	Kasi Yawe apesaki etumbu makasi epai ya Faraon mpe ndako na ye mpo na Sarayi, mwasi ya Abrami.
010c120081	Boye, Faraon abengisaki Abrami mpe alobaki na ye: «Likambo nini osali ngai? Mpo na nini oyebisaki ngai te ete azali mwasi na yo?
010c130096	Mpo na nini olobaki: ‹Azali ndeko na ngai ya mwasi?› Mpo na yango, nakomisaki ye mwasi na ngai. Sik’oyo tala mwasi na yo, kamata ye mpe kende!»
010c140090	Boye, Faraon apesaki mitindo epai ya bato na ye na tina na Abrami ete babengana ye elongo na mwasi na ye mpe biloko nyonso oyo azalaki na yango.
010d010095	Boye Abrami alongwaki na Ejipito mpe akendeki na Negevi elongo na mwasi na ye mpe biloko nyonso oyo azalaki na yango; Loti mpe akendeki na ye elongo.
010d020038	Abrami akomaki na bozwi mingi: bibwele, palata mpe wolo.
010d03008d	Longwa na Negevi, akendeki malembe-malembe kino na Beteli, na esika oyo ezalaki kati ya Beteli mpe Ayi, epai wapi ndako na ye ya kapo ezalaki
010d04005b	mpe atongaki etumbelo ya liboso. Ezalaki na esika yango nde Abrami abelelaki Kombo ya Yawe.
010d050062	Loti, oyo azalaki kotambola elongo na Abrami, azalaki mpe na bameme, bantaba, bangombe mpe basali.
010d060086	Boye etuka ekomaki moke mpo na bango mibale, pamba te bomengo na bango ezalaki ebele penza, mpe bakokaki lisusu te kovanda esika moko;
010d0700b1	mpe koswana ekotaki kati na babateli bibwele ya Abrami mpe babateli bibwele ya Loti. Nzokande, na tango wana, bato ya Kanana mpe ya Perizi bazalaki kovanda kati na mokili yango.
010d0800a0	Abrami alobaki na Loti: «Tika ete koswana ezala te kati na ngai mpe yo to kati na babateli bibwele na yo mpe babateli bibwele na ngai, pamba te tozali bandeko.
010d0900ed	Mokili mobimba ezali liboso na yo. Ezali malamu tokabwana: soki yo okeyi na ngambo ya loboko ya mwasi, ngai nakokende na ngambo ya loboko ya mobali; soki okeyi na ngambo ya loboko ya mobali, ngai nakokende na ngambo ya loboko ya mwasi.»
010d0a00d2	Boye Loti atalaki mpe amonaki etando nyonso ya Yordani oyo ezalaki na mabele kitoko mpe ekenda kino na Tsoari. Liboso ete Yawe abebisa Sodome mpe Gomore, ezalaki lokola elanga ya Yawe, lokola mokili ya Ejipito.
010d0b0063	Loti aponaki etando ya Yordani mpe akendeki na ngambo ya este. Ezalaki ndenge wana nde bakabwanaki.
010d0c0087	Abrami avandaki na mokili ya Kanana, mpe Loti avandaki kati na bingumba ya etando mpe atelemisaki bandako na ye ya kapo pene ya Sodome.
010d0d004b	Bato ya Sodome bazalaki penza bato mabe mpe bato ya masumu na miso ya Yawe.
010d0e009f	Sima na bokabwani ya Abrami na Loti, Yawe alobaki na Abrami: «Na esika oyo ozali, tombola miso na yo mpe tala na ngambo ya nor, ya sude, ya este mpe ya weste.
010d0f005e	Mokili nyonso oyo ozali komona, nakopesa yango epai na yo mpe na bakitani na yo mpo na libela.
010d100082	Nakokomisa bakitani na yo ebele lokola putulu ya mabele; bongo soki moto akoki kotanga putulu, akokoka mpe kotanga bakitani na yo.
010d110058	Telema, tambola kati na mokili na bangambo nyonso, pamba te nakopesa yango epai na yo.»
010d120090	Abrami alongolaki bandako na ye ya kapo mpe akendeki kovanda na Ebron, pene ya banzete minene ya Mamire epai wapi atongaki etumbelo mpo na Yawe.
010e01008b	Na tango wana, Amirafeli, mokonzi ya Shineari; Arioki, mokonzi ya Elasari; Kedorilaomeri, mokonzi ya Elami, mpe Tideali, mokonzi ya Goyimi,
010e0200ac	bakendeki kobundisa Bera, mokonzi ya Sodome; Birisha, mokonzi ya Gomore; Shineabi, mokonzi ya Adima; Shemeberi, mokonzi ya Tseboyimi mpe mokonzi ya Bela oyo elakisi Tsoari.
