0100000009	1 Mosebok
010a1f0059	Dette var Sems barn efter sine ætter, med sine tungemål, i sine land, i sine folkeslag.
010a200088	Dette var Noahs sønners ætter efter sin avstamning, i sine folkeslag; og fra dem har folkene utbredt sig på jorden efter vannflommen.
010b01002f	Og hele jorden hadde ett tungemål og ens tale.
010b020056	Og da de drog frem mot øst, fant de en slette i landet Sinear, og de bosatte sig der.
010b030085	Og de sa til hverandre: Kom, la oss gjøre teglsten og brenne dem vel! Og de brukte tegl istedenfor sten, og jordbek istedenfor kalk.
010b04008d	Så sa de: Kom, la oss bygge oss en by med et tårn som når op til himmelen, og gjøre oss et navn, så vi ikke skal spres over hele jorden!
010b050058	Da steg Herren ned for å se byen og tårnet som menneskenes barn hadde begynt å bygge.
010b0600af	Og Herren sa: Se, de er ett folk, og ett tungemål har de alle; dette er det første de tar sig fore, og nu vil intet være umulig for dem, hvad de så får i sinne å gjøre.
010b070064	La oss da stige ned der og forvirre deres tungemål, så den ene ikke forstår den andres tungemål!
010b080055	Så spredte Herren dem derfra over hele jorden, og de holdt op med å bygge på byen.
010b09007d	Derfor kalte de den Babel; for der forvirret Herren hele jordens tungemål, og derfra spredte Herren dem ut over hele jorden.
010b0a0072	Dette er historien om Sems ætt: Da Sem var hundre år gammel, fikk han sønnen Arpaksad to år efter vannflommen.
010b0b005d	Og efterat Sem hadde fått Arpaksad, levde han ennu fem hundre år og fikk sønner og døtre.
010b0c0041	Da Arpaksad var fem og tretti år gammel, fikk han sønnen Salah.
010b0d0067	Og efterat Arpaksad hadde fått Salah, levde han ennu fire hundre og tre år og fikk sønner og døtre.
010b0e0036	Da Salah var tretti år gammel, fikk han sønnen Eber.
010b0f0063	Og efterat Salah hadde fått Eber, levde han ennu fire hundre og tre år og fikk sønner og døtre.
010b10003e	Da Eber var fire og tretti år gammel, fikk han sønnen Peleg.
010b110066	Og efterat Eber hadde fått Peleg, levde han ennu fire hundre og tretti år og fikk sønner og døtre.
010b120036	Da Peleg var tretti år gammel, fikk han sønnen Re'u.
010b130060	Og efterat Peleg hadde fått Re'u, levde han ennu to hundre og ni år og fikk sønner og døtre.
010b14003c	Da Re'u var to og tretti år gammel, fikk han sønnen Serug.
010b150061	Og efterat Re'u hadde fått Serug, levde han ennu to hundre og syv år og fikk sønner og døtre.
010b160037	Da Serug var tretti år gammel, fikk han sønnen Nakor.
010b17005b	Og efterat Serug hadde fått Nakor, levde han ennu to hundre år og fikk sønner og døtre.
010b18003b	Da Nakor var ni og tyve år gammel, fikk han sønnen Tarah.
010b190062	Og efterat Nakor hadde fått Tarah, levde han ennu hundre og nitten år og fikk sønner og døtre.
010b1a0047	Da Tarah var sytti år gammel, fikk han sønnene Abram, Nakor og Haran.
010b1b006f	Dette er historien om Tarah og hans ætt: Tarah fikk sønnene Abram, Nakor og Haran. Og Haran fikk sønnen Lot.
010b1c0041	Og Haran døde hos sin far Tarah i sitt fedreland, i Ur i Kaldea.
010b1d008e	Og Abram og Nakor tok sig hustruer; Abrams hustru hette Sarai, og Nakors hustru hette Milka og var en datter av Haran, far til Milka og Jiska.
010b1e0032	Og Sarai var ufruktbar, hun hadde ikke noget barn.
010b1f00ed	Og Tarah tok med sig Abram, sin sønn, og Lot, Harans sønn, sin sønnesønn, og Sarai, sin sønnekone, sin sønn Abrams hustru; og de drog ut sammen fra Ur i Kaldea for å reise til Kana'ans land, og de kom til Karan og bosatte sig der.
010b200043	Og Tarahs dager blev to hundre og fem år; så døde Tarah i Karan.
010c010076	Og Herren sa til Abram: Dra bort fra ditt land og fra din slekt og fra din fars hus til det land som jeg vil vise dig!
010c020077	Og jeg vil gjøre dig til et stort folk; jeg vil velsigne dig og gjøre ditt navn stort, og du skal bli en velsignelse!
010c030083	Og jeg vil velsigne dem som velsigner dig, og den som forbanner dig, vil jeg forbanne; og i dig skal alle jordens slekter velsignes
010c040086	Så drog Abram bort som Herren hadde sagt til ham, og Lot drog med ham. Og Abram var fem og sytti år gammel da han drog ut fra Karan.
010c0500da	Og Abram tok med sig Sarai, sin hustru, og Lot, sin brorsønn, og all deres eiendom som de hadde vunnet, og de folk som de hadde fått i Karan; og de drog ut for å reise til Kana'ans land, og de kom til Kana'ans land.
010c060074	Og Abram drog gjennem landet til Sikem-bygden, til Mores terebintelund; og kana'anittene bodde dengang der i landet.
010c070092	Da åpenbarte Herren sig for Abram og sa: Din ætt vil jeg gi dette land. Og han bygget der et alter for Herren, som hadde åpenbaret sig for ham.
010c0800a2	Derfra flyttet han til fjellene østenfor Betel og slo op sitt telt med Betel i vest og Ai i øst; og han bygget der et alter for Herren og påkalte Herrens navn.
010c09002f	Og Abram drog efter hvert videre til sydlandet.
010c0a007d	Så blev det hungersnød i landet; og Abram drog ned til Egypten for å opholde sig der, for hungersnøden var stor i landet.
010c0b0071	Og da han ikke hadde langt igjen til Egypten, sa han til Sarai, sin hustru: Jeg vet jo at du er en vakker kvinne.
010c0c006a	Når nu egypterne får se dig, vil de si: Dette er hans hustru, og så slår de mig ihjel og lar dig leve.
010c0d0062	Kjære, si at du er min søster, så det kan gå mig vel, og mitt liv kan bli spart for din skyld!
010c0e0047	Da nu Abram kom til Egypten, så egypterne at kvinnen var meget vakker.
010c0f0066	Også Faraos høvdinger så henne og roste henne for Farao, og så blev kvinnen hentet til Faraos hus.
010c10008f	Og han gjorde vel imot Abram for hennes skyld, og han fikk både småfe og storfe og asener og træler og trælkvinner og aseninner og kameler.
010c110058	Men Herren hjemsøkte Farao og hans hus med store plager for Abrams hustru Sarais skyld.
010c120079	Da kalte Farao Abram til sig og sa: Hvad er det du har gjort imot mig? Hvorfor lot du mig ikke vite at hun er din hustru?
010c13006c	Hvorfor sa du: Hun er min søster, så jeg tok henne til hustru? Se, her har du din hustru, ta henne og gå!
010c140061	Og Farao gav nogen menn befaling til å følge ham på veien med hans hustru og alt det han eide.
010d010063	Så drog Abram fra Egypten op til sydlandet med sin hustru og alt det han eide, og Lot var med ham.
010d020037	Og Abram var meget rik på buskap og på sølv og gull.
010d030080	Og han drog i dagsreiser fra sydlandet, til han kom til Betel, til det sted hvor hans telt før hadde vært, mellem Betel og Ai,
010d040069	der hvor det alter var som han hadde bygget første gang han var der; og der påkalte Abram Herrens navn.
010d050042	Men også Lot, som drog med Abram, hadde småfe og storfe og telt.
010d060071	Og landet kunde ikke rumme dem, så de kunde bo sammen; for deres eiendom var for stor til at de kunde bo sammen.
010d070070	Så blev det trette mellem Abrams hyrder og Lots hyrder; og kana'anittene og ferisittene bodde dengang i landet.
010d08007f	Da sa Abram til Lot: Kjære, la det ikke være trette mellem mig og dig og mellem mine hyrder og dine hyrder! Vi er jo brødre.
010d09009e	Ligger ikke hele landet åpent for dig? Skill dig heller fra mig! Drar du til venstre, vil jeg dra til høire, og drar du til høire, vil jeg dra til venstre.
010d0a00c0	Da så Lot ut over landet, og han så at hele Jordan-sletten like til Soar overalt var rik på vann, som Herrens have, som Egyptens land - det var før Herren hadde ødelagt Sodoma og Gomorra.
010d0b005e	Og Lot valgte for sig hele Jordan-sletten. Så drog Lot østover, og de skiltes fra hverandre.
010d0c006f	Abram blev boende i Kana'ans land, og Lot bodde i byene på sletten og drog med sine telt like bort til Sodoma.
010d0d003b	Men mennene i Sodoma var onde og syndet storlig mot Herren.
010d0e009b	Og Herren sa til Abram efterat Lot hadde skilt sig fra ham: Løft dine øine og se fra det sted hvor du står, mot nord og mot syd og mot øst og mot vest!
010d0f0042	For hele det land du ser, vil jeg gi dig og din ætt til evig tid.
010d10007c	Og jeg vil la din ætt bli som støvet på jorden; kan nogen telle støvet på jorden, så skal også din ætt kunne telles.
010d110059	Stå op, og dra gjennem landet så langt og så bredt som det er! For dig vil jeg gi det.
010d120081	Og Abram flyttet sine telt og kom til Mamres terebinte-lund i Hebron; der bosatte han sig, og han bygget der et alter for Herren.
010e010075	I den tid da Amrafel var konge i Sinear, Arjok konge i Ellasar, Kedorlaomer konge i Elam, og Tideal konge over Gojim,
010e0200b7	da hendte det at disse konger førte krig med Bera, kongen i Sodoma, og Birsa, kongen i Gomorra, og Sineab, kongen i Adma, og Semeber, kongen i Sebo'im, og kongen i Bela, det er Soar.
010e03004d	Alle disse slo sig sammen og drog til Siddim-dalen, der hvor Salthavet nu er.
010e04004d	Tolv år hadde de tjent Kedorlaomer, men i det trettende år var de falt fra.
010e05009c	Og i det fjortende år kom Kedorlaomer og de konger som var med ham, og slo refa'ittene i Asterot-Karna'im og susittene i Ham og emittene i Sjave-Kirjata'im
010e06005b	og horittene på deres fjell - Se'ir-fjellene - like til El-Paran ved utkanten av ørkenen.
010e070093	Derefter vendte de om og kom til En-Mispat, det er Kades, og la under sig hele amalekittenes land og likeså amorittene, som bodde i Haseson-Tamar.
010e0800a3	Da drog kongen i Sodoma ut og kongen i Gomorra og kongen i Adma og kongen i Sebo'im og kongen i Bela, det er Soar, og stilte sig i fylkning mot dem i Siddim-dalen,
010e09008b	mot Kedorlaomer, kongen i Elam, og Tideal, kongen over Gojim, og Amrafel, kongen i Sinear, og Arjok, kongen i Ellasar, fire konger mot fem.
010e0a0098	Men Siddim-dalen var full av jordbek-gruber, og kongene i Sodoma og Gomorra måtte flykte og falt da i dem; og de som blev igjen, flyktet op i fjellene.
010e0b0048	Så tok de alt godset i Sodoma og Gomorra og all deres mat og drog bort.
010e0c005c	De tok også med sig Abrams brorsønn Lot og hans gods og drog bort; for han bodde i Sodoma.
010e0d00d6	Da kom det nogen som var undsloppet, og fortalte det til hebreeren Abram; han bodde ved den terebinte-lund som tilhørte amoritten Mamre - Mamre var bror til Eskol og Aner, og de hadde alle gjort en pakt med Abram.
010e0e00b7	Da nu Abram hørte at hans frende var bortført som fange, lot han sine våbenvante folk, som var født i hans hus, tre hundre og atten i tallet, dra ut og forfulgte dem like til Dan.
010e0f0081	Der delte han sine folk og overfalt dem om natten og slo dem; og han forfulgte dem like til Hoba, som ligger i nord for Damaskus.
010e100073	Så tok han tilbake alt godset; Lot, sin frende, og hans gods tok han også tilbake, og likeså kvinnene og folket.
010e11009b	Da han så vendte tilbake efter å ha slått Kedorlaomer og de konger som var med ham, gikk kongen i Sodoma ham i møte til Sjave-dalen, det er Kongedalen.
010e12005b	Og Melkisedek, kongen i Salem, kom ut med brød og vin; han var prest for den høieste Gud.
010e13005f	Og han velsignet ham og sa: Velsignet være Abram av den høieste Gud, som eier himmel og jord!
010e140067	Og lovet være den høieste Gud, som har gitt dine fiender i din hånd! Og Abram gav ham tiende av alt.
010e150040	Og kongen i Sodoma sa til Abram: Gi mig folket, og ta du godset!
010e16006d	Da sa Abram til kongen i Sodoma: Jeg løfter min hånd til Herren, den høieste Gud, som eier himmel og jord:
010e17007a	Jeg vil ikke ta så meget som en tråd eller en skorem av alt som ditt er, forat du ikke skal si: Jeg har gjort Abram rik.
010e180091	Jeg vil intet ha, bare det som mine folk har fortært; og det som faller på de menn som drog med mig, Aner, Eskol og Mamre - la dem få sin del.
010f01008f	Nogen tid derefter kom Herrens ord til Abram i et syn, og det lød så: Frykt ikke, Abram! Jeg er ditt skjold; din lønn skal være meget stor.
010f020085	Og Abram sa: Herre, Herre, hvad vil du gi mig? Jeg går jo barnløs bort, og den som skal ta mitt hus i eie, er Elieser fra Damaskus.
010f030076	Og Abram sa videre: Se, mig har du ikke gitt noget barn, og en tjener som er født i mitt hus, kommer til å arve mig.
010f040088	Men se, da kom Herrens ord til ham, og det lød så: Nei, han skal ikke arve dig, men en som skal utgå av ditt eget liv, skal arve dig.
010f050085	Og han førte ham utenfor og sa: Se op til himmelen og tell stjernene, om du kan telle dem! Og han sa til ham: Så skal din ætt bli.
010f060044	Og Abram trodde på Herren, og han regnet ham det til rettferdighet.
010f070065	Og han sa til ham: Jeg er Herren, som førte dig ut fra Ur i Kaldea for å gi dig dette land til eie.
010f080041	Da sa han: Herre, Herre, hvorav kan jeg vite at jeg skal eie det?
010f090083	Da sa han til ham: Hent mig en treårsgammel kvige og en treårsgammel gjet og en treårsgammel vær og en turteldue og en dueunge.
010f0a0091	Så hentet han alt dette til ham og skar dyrene midt over og la det ene stykket av hvert dyr rett imot det andre; men fuglene skar han ikke over.
010f0b0044	Og rovfugler for ned på de døde kropper, men Abram jaget dem bort.
010f0c0078	Da nu solen var nær ved å gå ned, og en dyp søvn var falt over Abram, se, da falt redsel, et stort mørke, over ham.
010f0d00af	Og han sa til Abram: Det skal du vite, at din ætt skal bo som fremmede i et land som ikke hører dem til, og de skal træle for folket der og plages av dem i fire hundre år.
010f0e0065	Men det folk som de skal træle for, vil jeg også dømme; og derefter skal de dra ut med meget gods.
010f0f0049	Men du skal fare til dine fedre i fred og bli begravet i en god alderdom.
010f100066	Og i det fjerde ættledd skal de komme hit igjen; for amorittene har ennu ikke fylt sin ondskaps mål.
010f11008b	Da nu solen var gått ned, og det var blitt aldeles mørkt, fikk han se en rykende ovn og en luende ild som for frem mellem kjøttstykkene.
010f120080	Den dag gjorde Herren en pakt med Abram og sa: Din ætt gir jeg dette land, fra Egyptens elv like til den store elv, elven Frat,
010f13002b	kenittenes og kenisittenes og kadmonittenes
010f14002d	og hetittenes og ferisittenes og refa'ittenes
010f150047	og amorittenes og kana'anittenes og girgasittenes og jebusittenes land.
