2800000006	Matius
28070c0071	Perlakukanlah orang lain seperti kamu ingin diperlakukan. Inilah meringkas yang hukum Taurat dan Kitab Nabi-nabi.
28070d0083	Masuklah melalui jalan yang sempit itu. Sebab lebarlah jalan yang menuju kepada jalan kebinasaan, dan banyak orang yang melaluinya.
28070e006f	Tetapi sempit dan sulitlah jalan yang menuju kepada kehidupan kekal, dan hanya sedikit orang yang menemukannya.
28070f0070	Hati-hati dengan nabi palsu yang datang dengan memakai pakaian domba, tetetapi didalamnya adalah serigala ganas.
2807100096	Kamu akan bisa mengenali mereka dari hasil perbuatan mereka. Tidak mungkin orang memanen buah anggur dari semak duri, atau buah ara dari onak berduri.
280711007b	Jadi setiap pohon yang baik akan menghasilkan buah yang baik, sementara pohon yang buruk akan menghasilkan buah yang busuk.
2807120090	Setiap pohon yang baik tidak bisa menghasilkan buah yang tidak baik, demikian juga pohon yang tidak baik tidak bisa menghasilkan buah yang baik.
2807130052	Dan setiap pohon yang tidak menghasilkan buah yang baik akan ditebang dan dibakar.
2807140033	Jadi dari buahnyalah kamu akan mengenali pohon itu.
28071500c5	Bukan setiap orang yang memanggil Aku, ‘Tuhan, Tuhan,’ akan masuk ke dalam kerajaan Surga — hanya mereka yang melakukan kehendak Bapa-Ku yang di surga yang akan masuk ke dalam kerajaan Surga.
28071600cd	Banyak orang yang akan berkata kepada-Ku pada hari Penghakiman, ‘Tuhan, Tuhan, kami kan sudah bernubuat dalam nama-Mu dan mengusir setan dalam nama-Mu, dan juga melakukan banyak mujizat dalam nama-Mu.’
280717007c	Pada saat itulah Aku berkata kepada mereka, ‘Aku tidak pernah mengenal kamu. Tinggalkan Aku, hai para pelaku kejahatan!’
2807180088	Setiap orang yang mendengar ucapan-Ku, dan mengikutinya, adalah seperti seorang bijak yang membangun rumahnya di atas pondasi yang kuat.
28071900a0	Lalu turunlah hujan, banjir datang, dan angin bertiup kencang menghantam rumah itu, tetapi rumah itu tidaklah runtuh, sebab dibangun di atas pondasi yang kokoh.
28071a0083	Setiap orang yang mendengar ucapan-Ku, tetapi tidak melakukannya, adalah seperti orang bodoh yang membangun rumahnya di atas pasir.
28071b008c	Lalu turunlah hujan, datanglah banjir, dan angin bertiup menghantam rumah itu, maka rumah itupun rubuh — benar-benar rata dengan tanah.”
28071c004e	Ketika Yesus selesai mengajarkan hal-hal ini, maka takjublah orang banyak itu,
28071d0065	sebab Dia mengajar seperti seorang yang mempunyai otoritas, dan bukan seperti guru-guru agama mereka.
2808010053	Sekelompok besar orang mengikuti Yesus ketika Dia sudah selesai mengajar di gunung.
280802008f	Seorang yang menderita sakit kusta datang mendekati Dia dan menyembah-Nya, serta berkata, “Tuhan, jika Engkau berkenan, sembuhkanlah saya.”
2808030094	Lalu Yesus mengulurkan tangan-Nya dan menyentuh dia. “Aku mau,” kata-Nya. “Sembuhlah!” Maka dengan segera orang itupun sembuh dari sakitnya.
28080400c7	“Jangan beritahu siapapun mengenai hal ini,” kata Yesus kepadanya. “Tetapi pergi dan tunjukkanlah dirimu kepada imam dan berilah persembahan yang Musa perintahkan sebagai bukti di muka umum.”
280805006b	Ketika Yesus masuk ke kota Kapernaum, seorang perwira Romawi datang menjumpai Dia, memohon pertolongan-Nya,
2808060073	“Tuhan, seorang pembantuku di rumah, sedang terbaring sakit, tidak bisa bergerak. Dia sedang sangat kesakitan.”
2808070038	“Aku akan datang dan menyembuhkan dia,” jawab Yesus.
28080800aa	Tetapi perwira Romawi itu menjawab, “Tuhan, saya tidak layak menerima kunjungan-Mu ke rumah saya. Cukup katakan sepatah kata saja, maka pembantuku di rumah akan sembuh.
2808090138	Sebab saya sendiri memiliki atasan, dan juga para prajurit yang menjadi bawahan saya. Jika saya berkata kepada seorang prajurit, ‘Pergi!’ dan dia akan pergi. Dan kepada yang lain saya berkata, ‘Kemari!’ dan dia akan datang. Saya katakan kepada pelayan saya, ‘Lakukanlah ini!’ dan dia melakukannya.”
28080a00cd	Ketika Yesus mendengar ucapannya, takjublah Yesus. Dia berkata kepada semua yang mengikuti Dia, “Aku katakan sejujurnya, tidak pernah Aku jumpai kepercayaan seperti ini di manapun di antara orang Israel.
28080b009d	Aku katakan kepada kalian, akan banyak orang yang datang dari daerah timur dan barat, dan duduk bersama dengan Abraham, Ishak dan Yakub dalam Kerajaan Surga.
28080c0090	Tetapi pewaris-pewaris kerajaan itu sebaliknya akan dibuang ke dalam kegelapan yang paling gelap di mana akan ada tangisan dan gertakan gigi.”
28080d00c4	Lalu berkatalah Yesus kepada perwira itu, “Pulanglah. Sebab kamu sangat percaya bahwa hal itu akan terjadi, maka permintaanmu sudah dipenuhi.” Dan pelayan perwira itu sembuh seketika itu juga.
28080e006b	Ketika Yesus tiba di rumah Petrus, Dia melihat bahwa ibu mertua Petrus sedang sakit terserang demam tinggi.
28080f0081	Jadi Yesus menyentuh tangan wanita itu dan demamnya pergi. Perempuan itu lalu duduk dan mulai mempersiapkan makanan untuk mereka.
28081000db	Ketika sore hari tiba, maka banyak orang yang datang kepada Yesus sambil membawa orang-orang yang sedang dikuasai setan. Yesus memerintahkan setan-setan itu untuk pergi, dan banyak menyembuhkan mereka yang sedang sakit.
2808110085	Hal ini menggenapi nubuatan dari nabi Yesaya, “Dialah yang menyembuhkan penyakit kita, dan membebaskan kita dari kesakitan kita.”
2808120095	Ketika Yesus melihat banyak orang yang mengelilingi Dia, maka Dia memerintahkan agar Dia beserta murid-murid-Nya untuk pergi ke sisi lain dari danau.
2808130069	Salah satu ahli Taurat datang mendekati-Nya dan berkata, “Guru, saya akan ikut kemanapun guru pergi!”
28081400a3	Jawab Yesus kepadanya, “Rubah-rubah punya liang, dan burung-burung liar punya sarang, tetapi Anak Manusia tidak punya tempat untuk berbaring dan beristirahat.”
280815008b	Seorang murid lain mendekati-Nya dan berkata, “Tuhan, ijinkanlah saya menguburkan ayahku lebih dahulu, dan saya akan mengikuti Engkau.”
2808160059	“Ikutlah Aku! Biarkan orang mati menguburkan orang mati mereka sendiri,” jawab Yesus.
2808170038	Lalu Yesus naik ke dalam perahu bersama murid-murid-Nya.
2808180058	Tiba-tiba angin badai melanda, dan ombak menerjang kapal itu, tetapi Yesus sedang tidur.
2808190085	Maka murid-murid-Nya mendekati Dia dan membangunkan-Nya. “Selamatkanlah kita, Tuhan! Kita akan mati tenggelam!” mereka berteriak.
28081a00d6	“Mengapa kalian begitu takut? Mengapa kalian tidak percaya?” tanya-Nya kepada mereka. Lalu bangunlah Dia, dan memerintahkan angin dan gelombang untuk berhenti. Lalu segala sesuatunya menjadi benar-benar tenang.
28081b0067	Para murid tertegun, dan berkata, “Siapakah orang ini? Bahkan angin dan ombak pun taat kepada-Nya!”
28081c00e9	Ketika mereka tiba di daerah seberang di wilayah Gerasa, dua orang yang dirasuki setan keluar dari daerah kuburan untuk bertemu dengan-Nya. Mereka berdua sangat berbahaya sehingga tidak ada seorangpun yang berani lewat di daerah itu.
28081d0073	Mereka berteriak, “Kamu mau apa dengan kami, hai Anak Allah? Apakah Kamu ingin menyiksa kami sebelum waktunya?”
28081e003f	Di kejauhan ada sekelompok besar babi yang sedang diberi makan.
28081f0088	Dan setan-setan itu memohon kepada-Nya, “Jika Kamu ingin mengusir kami keluar, maka kirimlah kami ke arah kumpulan ternak babi itu.”
28082000c5	“Pergilah!” kata Yesus. Maka setan-setan itu pergi meninggalkan kedua orang ini dan masuk ke dalam sekumpulan babi itu. Dan babi-babi itu lalu terjun ke sisi jurang dan tenggelam ke dalam laut.
28082100ca	Para gembala babi-babi itu melarikan diri. Mereka masuk ke kota dan menceritakan segala sesuatu yang sudah terjadi di tempat itu, dan apa yang terjadi dengan orang-orang yang kerasukan setan sebelumnya.
2808220089	Seluruh penduduk kota datang keluar menemui Yesus. Ketika mereka bertemu dengan Dia, mereka meminta-Nya untuk meninggalkan daerah mereka.
2809010059	Maka Yesus kembali naik ke perahu dan menyeberangi danau ke arah kota tempat Dia tinggal.
28090200f0	Di sana mereka membawa kepada-Nya di atas sebuah matras seorang yang sakit lumpuh. Ketika Yesus melihat betapa mereka percaya kepada-Nya, berkatalah Dia kepada orang yang lumpuh itu, “Temanku, bergembiralah! Dosa-dosamu sudah diampuni.”
280903006f	Ketika orang-orang Farisi mendengar perkataan-Nya, berkatalah mereka satu sama lain, “Dia menghujat Allah!”
280904005f	Tetapi Yesus mengetahui pikiran mereka. Katanya, “Mengapa kalian memiliki pikiran yang jahat?
280905006f	Perkataan mana yang lebih mudah diucapkan, ‘Dosa-dosamu sudah diampuni,’ atau ‘Bangun dan berjalanlah?’
28090600ae	Tetapi agar kalian yakin bahwa Anak Manusia memang memiliki kuasa untuk mengampuni dosa,” kata-Nya kepada orang lumpuh itu, “Bangun, angkatlah matrasmu, dan pulanglah!”
2809070024	Maka bangunlah orang itu dan pulang.
28090800a7	Ketika orang banyak itu melihat apa yang terjadi, mereka menjadi takut. Lalu mereka memuji Allah yang sudah memberikan kuasa yang sedahsyat itu kepada seorang manusia.
28090900c7	Ketika Yesus berpindah dari tempat itu, Dia melihat seorang laki-laki bernama Matius sedang duduk di stan pajak. Lalu Yesus memanggilnya, “Ikutlah Aku!” Maka bangunlah Matius dan mengikuti Yesus.
28090a00a6	Sementara Matius sedang menjamu Yesus di rumahnya, banyak para penagih pajak dan orang-orang berdosa yang datang dan duduk satu meja dengan Yesus dan murid-murid-Nya.
28090b00ad	Ketika orang Farisi melihat ini, bertanyalah mereka kepada murid-murid Yesus, “Mengapa Guru kalian makan bersama-sama dengan para petugas pajak dan orang-orang berdosa?”
28090c0074	Ketika Yesus mendengar pertanyaan ini, Dia menjawab, “Orang yang sehat tidak memerlukan dokter, hanya orang sakit.
28090d0100	Pergi dan carilah arti perkataan ini, ‘Aku ingin kalian saling menunjukkan belas kasihan, dan bukan membawa persembahan. Sebab Aku tidak datang untuk memanggil mereka yang melakukan apa yang benar — Aku datang untuk memanggil orang-orang berdosa.’”
28090e0095	Lalu datanglah murid-murid Yohanes Pembaptis dan bertanya, “Mengapa kami dan orang-orang Farisi sering berpuasa, sedangkan murid-murid-Mu tidak?”
28090f0181	“Apakah tamu undangan berkabung sementara pengantin laki-laki bersama-sama dengan mereka?” jawab Yesus. “Tetapi akan tiba waktunya ketika pengantin itu akan diambil dari mereka, dan pada saat itulah mereka akan berpuasa. Demikian juga murid-murid-Ku, tidak akan berpuasa selama Aku bersama dengan mereka, tetapi ketika Aku tidak lagi bersama mereka, maka mereka akan berpuasa.”
2809100095	“Tidak seorangpun yang menambal pakaian lama dengan kain baru, sebab kain yang baru itu bisa menyusut dan membuat robekannya menjadi semakin besar.
2809110106	Dan tidak seorangpun yang menuang air anggur yang baru ke dalam kantong kulit yang lama, sebab dengan begitu, kantong kulit itu akan rusak, dan air anggurnya terbuang. Tidak, anggur baru dimasukkan ke dalam kantong kulit yang baru, dan keduanya bertahan lama.”
2809120118	Sementara Yesus berbicara tentang semua hal ini, datanglah salah satu pemimpin orang Yahudi dan sujud di hadapan-Nya, “Anak perempuanku baru saja meninggal,” kata orang itu kepada Yesus. “Tetapi jika Engkau datang dan menjamah dia, saya tahu bahwa dia akan hidup kembali.”
2809130039	Maka Yesus dan murid-murid-Nya berdiri dan mengikuti dia.
2809140091	Ketika Yesus lewat, seorang perempuan yang sudah sakit pendarahan selama dua belas tahun datang dari belakang Yesus dan menyentuh sisi jubah-Nya.
2809150074	Sebab katanya kepada dirinya sendiri, “Jika saja saya bisa menjamah bagian pinggir jubahnya, saya pasti sembuh.”
28091600b6	Lalu Yesus berpaling dan melihat perempuan itu. “Berbahagialah, sebab karena kamu percaya kepada-Ku, kamu menjadi sembuh,” kata Yesus kepadanya. Dan perempuan itu menjadi sembuh.
2809170083	Lalu tibalah Yesus di rumah pemimpin itu. Yesus melihat para pemain suling dan orang-orang banyak yang menangis dengan suara keras.
280918009a	“Silahkan pergi,” kata-Nya kepada mereka, “Sebab anak gadis itu tidak mati, dia hanya tertidur saja.” Tetapi mereka menertawakan dan mengejek Dia.
2809190091	Tetapi ketika rombongan itu sudah dikirim keluar dari rumah, Yesus masuk ke dalam dan memegang tangan anak itu, lalu anak itu pun bangun berdiri.
28091a0046	Berita tentang apa yang sudah terjadi tersebar di seluruh wilayah itu.
28091b0076	Lalu Yesus melanjutkan perjalanan, dua orang buta mengikuti Dia, dan berteriak, “Hai anak Daud, kasihanilah kami!”
28091c00d0	Dan ketika Yesus tiba di sebuah rumah, orang-orang buta itu juga ikut masuk. “Apakah kalian percaya Aku bisa menyembuhkan kalian?” Yesus bertanya kepada mereka. “Ya Tuhan, kami percaya,” jawab mereka.
28091d008c	Kemudian Yesus menyentuh mata mereka, dan berkata, “Sebab kalian percaya kepada-Ku, maka terjadilah sesuai dengan yang kalian percayai!”
28091e008d	Maka sembuhlah mata mereka dan mereka bisa melihat. Lalu Yesus memperingati mereka, “Pastikan tidak seorangpun tahu tentang mujizat ini.”
28091f005d	Tetapi mereka lalu pergi dan menceritakan berita tentang Yesus ke arah mana pun mereka pergi.
280920007a	Ketika Yesus dan murid-murid-Nya hendak berangkat dari tempat itu, seorang yang bisu dan dirasuki setan dibawa kepada-Nya.
28092100bc	Namun sesudah setan itu diusir dari orang itu, maka orang bisu itu mulai berkata-kata, dan orang banyak sangat takjub. “Belum pernah hal ini terjadi di Israel sebelumnya,” kata mereka.
2809220064	Tetapi orang-orang Farisi berkata, “Dia mengusir setan dengan menggunakan kuasa pemimpin setan.”
28092300d4	Yesus pergi mengelilingi daerah itu, mengunjungi kota-kota kecil dan desa-desa. Dia mengajar di tempat-tempat ibadah mereka, memberitakan kabar baik tentang Kerajaan Allah, dan menyembuhkan segala jenis penyakit.
28092400d2	Ketika Yesus melihat orang-orang banyak itu, Dia sangat dipenuhi oleh belas kasihan kepada mereka, sebab mereka penuh dengan kesulitan dan tidak berdaya, seperti domba-domba yang tidak memiliki seorang gembala.
280925005f	Maka kata-Nya kepada murid-murid-Nya, “Tuaian sangat banyak tetapi penuainya pekerja sedikit.
280926006c	Berdoa kepada Tuhan dari tuaian, dan mintalah agar Dia mengirimkan lebih banyak pekerja untuk tuaian-Nya.”
280a01007c	Yesus mengumpulkan dua belas muridnya dan memberi mereka kuasa untuk mengusir setan, dan menyembuhkan segala jenis penyakit.
280a020092	Inilah nama kedua belas murid itu: pertama, Simon (yang juga dipanggil Petrus), Andreas saudaranya, Yakobus anak Zebedeus, dan Yohanes saudaranya,
280a030057	Filipus, Bartolomeus, Tomas, Matius si tukang tagih pajak, Yakobus anak Alfeus, Tadeus,
280a040054	Simon yang pernah ikut gerakan revolusi, dan Yudas Iskariot, yang menghianati Yesus.
280a05008d	Yesus mengirim dua belas murid ini dan berkata kepada mereka, “Janganlah menemui orang-orang asing, ataupun ke kota-kota di daerah Samaria.
280a060057	Kalian haruslah pergi kepada orang-orang Israel yang seperti domba-domba yang tersesat.
280a070053	Dan kemanapun kalian pergi, beritakanlah hal ini, ‘Kerajaan Surga sudah dekat.’
280a0800d6	Sembuhkanlah orang-orang yang sakit. Hidupkanlah kembali mereka yang sudah mati. Pulihkanlah mereka yang sakit kusta. Usirlah roh-roh jahat. Kalian mendapatkannya dengan cuma-cuma, berikanlah juga secara cuma-cuma.
280a090045	Janganlah membawa uang emas, perak ataupun tembaga di kantong kalian,
280a0a008c	ataupun sebuah tas selama perjalanan kalian, atau dua jubah, sandal atau tongkat jalan, sebab seorang pekerja wajib untuk mendapat dukungan.
280a0b00b7	Kemanapun kalian pergi, baik ke kota kecil ataupun desa, mintalah seseorang yang dikenal baik cara hidupnya, dan tinggallah di sana sampai tiba waktunya kalian melanjutkan perjalanan.
280a0c0039	Dan ketika kalian masuk satu rumah, berkatilah rumah itu.
280a0d00bd	Jika rumah itu layak mendapatkannya, maka damai yang kalian berikan akan diterima oleh rumah itu, tetapi jika rumah itu tidak layak, maka damai yang kamu berikan akan kembali lagi kepadamu.
280a0e00c0	Jika seseorang tidak menyambut kalian, dan menolak mendengarkan apa yang harus kalian katakan, maka tinggalkanlah rumah atau kota itu, dan kebaskanlah debu dari kalian ketika kalian berangkat.
280a0f0077	Aku beritahu kalian sejujurnya, kondisi kota Sodom dan Gomora akan lebih baik pada hari Penghakiman dari pada kota itu!
280a10009b	Dengar, Aku mengutus kalian seperti domba-domba di antara serigala-serigala. Jadi biarlah kalian cerdik seperti ular dan juga tulus seperti burung merpati.
280a110097	Waspadalah pada mereka yang akan menyerahkan kalian untuk diadili di pengadilan kota dan akan memberikan hukuman cambuk di tempat-tempat ibadah mereka.
280a120081	Kalian akan diseret ke hadapan gubernur dan raja-raja oleh karena Aku, untuk bersaksi kepada mereka dan kepada orang-orang asing.
280a1300b1	Tetapi ketika mereka menghadapkan kalian di pengadilan, janganlah kuatir apa yang harus kalian ucapkan, sebab kalian akan tahu apa yang harus kalian katakan tepat pada waktunya.
280a14006d	Sebab bukan kalian yang akan berbicara, tetapi roh yang dikirim oleh Bapa yang akan berbicara melalui kalian.
