010000000d	1 Mojžišova
01091c0036	Živ pak byl Noé po potopě tři sta a padesáte let.
01091d0046	A tak bylo všech dnů Noé devět set a padesáte let; i umřel jest.
010a010062	Tito jsou pak rodové synů Noé, Sema, Chama a Jáfeta, jimž se tito synové zrodili po potopě.
010a020050	Synové Jáfetovi: Gomer a Magog, a Madai, a Javan, a Tubal, a Mešech, a Tiras.
010a030030	Synové pak Gomerovi: Ascenez, Rifat, a Togorma.
010a040036	Synové pak Javanovi: Elisa a Tarsis, Cetim a Dodanim.
010a050089	Od těch rozděleni jsou ostrovové národů po krajinách jejich, každý podlé jazyku svého, vedlé čeledi své, v národech svých.
010a060033	Synové pak Chamovi: Chus a Mizraim a Put a Kanán.
010a070064	A synové Chusovi: Sába, Evila, a Sabata, a Regma, a Sabatacha. Synové pak Regmovi: Sába a Dedan.
010a080043	Zplodil také Chus Nimroda; onť jest počal býti mocným na zemi.
010a090064	To byl silný lovec před Hospodinem; protož se říká: Jako Nimrod silný lovec před Hospodinem.
010a0a0053	Počátek pak jeho království byl Babylon a Erech, Achad a Chalne, v zemi Sinear.
010a0b0052	Z země té vyšel do Assur, kdežto vystavěl Ninive, a Rohobot město, a Chále,
010a0c003c	A Rezen mezi Ninive a mezi Chále; toť jest město veliké.
010a0d0038	Mizraim pak zplodil Ludim a Anamim, a Laabim, a Neftuim,
010a0e0042	A Fetruzim, a Chasluim, (odkudž pošli Filistinští) a Kafturim.
010a0f0036	Kanán pak zplodil Sidona prvorozeného svého, a Het,
010a100020	A Jebuzea, a Amorea, a Gergezea,
010a11001b	A Hevea, a Aracea, a Sinea,
010a120054	A Aradia, a Samarea, a Amatea; a potom odtud rozprostřely se čeledi Kananejských.
010a130091	A bylo pomezí Kananejských od Sidonu, když jdeš k Gerar až do Gázy; a odtud když jdeš k Sodomě a Gomoře, a Adama a Seboim až do Lázy.
010a14006d	Ti jsou synové Chamovi po čeledech svých, vedlé jazyků svých, po krajinách svých, v národech svých.
010a150056	Semovi také, otci všech synů Heber, bratru Jáfeta staršího zrozeni jsou synové.
010a160044	A tito jsou synové Semovi: Elam, a Assur, a Arfaxad, a Lud, a Aram.
010a170030	Synové pak Aramovi: Hus, a Hul, a Geter, a Mas.
010a180034	Potom Arfaxad zplodil Sále; a Sále zplodil Hebera.
010a190088	Heberovi také narodili se dva synové; jméno jednoho Peleg, proto že za dnů jeho rozdělena byla země, a jméno bratra jeho Jektan.
010a1a003b	Jektan pak zplodil Elmodada, a Salefa, a Azarmota, a Járe,
010a1b001d	A Adoráma, a Uzala, a Dikla,
010a1c001e	A Obale, a Abimahele, a Sebai,
010a1d003f	A Ofira, a Evila, a Jobaba; všickni ti jsou synové Jektanovi.
010a1e004c	A bylo bydlení jejich od Mesa, když jdeš k Sefar hoře na východ slunce.
010a1f006e	Tiť jsou synové Semovi po čeledech svých, vedlé jazyků svých, po krajinách svých, v národech svých.
010a200078	Ty jsou čeledi synů Noé po rodech svých, v národech svých; a od těch rozdělili se národové na zemi po potopě.
010b010036	Byla pak všecka země jazyku jednoho a řeči jedné.
010b020052	I stalo se, když se brali od východu, nalezli pole v zemi Sinear, a bydlili tam.
010b030081	A řekli jeden druhému: Nuže, nadělejme cihel, a vypalme je ohněm. I měli cihly místo kamení, a zemi lepkou místo vápna.
010b04009d	Nebo řekli: Nuže, vystavějme sobě město a věži, jejíž by vrch dosahal k nebi; a tak učiňme sobě jméno, abychom nebyli rozptýleni po vší zemi.
010b050059	Sstoupil pak Hospodin, aby viděl to město a věži, kterouž stavěli synové lidští.
010b0600a7	A řekl Hospodin: Aj, lid jeden a jazyk jeden všechněch těchto, a toť jest začátek díla jejich; nyní pak nedadí sobě v tom překaziti, což umínili dělati.
010b070052	Protož sstupme a změťme tam jazyk jejich, aby jeden druhého jazyku nerozuměl.
010b080053	A tak rozptýlil je Hospodin odtud po vší zemi; i přestali stavěti města toho.
010b090082	Protož nazváno jest jméno jeho Bábel; nebo tu zmátl Hospodin jazyk vší země; a odtud rozptýlil je Hospodin po vší zemi.
010b0a0065	Titoť jsou rodové Semovi: Sem, když byl ve stu letech, zplodil Arfaxada ve dvou letech po potopě.
010b0b0049	A byl živ Sem po zplození Arfaxada pět set let; a plodil syny a dcery.
010b0c003b	Arfaxad pak živ byl pět a třidceti let, a zplodil Sále.
010b0d0056	A po zplození Sále živ byl Arfaxad čtyři sta a tři léta; a plodil syny a dcery.
010b0e0035	Sále také živ byl třidceti let, a zplodil Hebera.
010b0f0055	A živ byl Sále po zplození Hebera čtyři sta a tři léta; a plodil syny a dcery.
010b10003d	Živ pak byl Heber čtyři a třidceti let, a zplodil Pelega.
010b110058	A živ byl Heber po zplození Pelega čtyři sta a třidceti let; a plodil syny a dcery.
010b120032	Peleg pak živ byl třidceti let, a zplodil Réhu.
010b130052	A živ byl Peleg po zplození Réhu dvě stě a devět let; a plodil syny a dcery.
010b140040	Réhu také živ byl třidceti a dvě létě, a zplodil Sáruga.
010b150052	A po zplození Sáruga živ byl Réhu dvě stě a sedm let; a plodil syny a dcery.
010b160036	Živ pak byl Sárug třidceti let, a zplodil Náchora.
010b17004d	A byl živ Sárug po zplození Náchora dvě stě let; a plodil syny a dcery.
010b18003c	Náchor pak živ byl dvadceti a devět let, a zplodil Táre.
010b190054	A živ byl Náchor po zplození Táre sto a devatenácte let; a plodil syny a dcery.
010b1a0049	Živ pak byl Táre sedmdesáte let, a zplodil Abrama, Náchora a Hárana.
010b1b005f	Tito jsou pak rodové Táre: Táre zplodil Abrama, Náchora a Hárana; Háran pak zplodil Lota.
010b1c005f	Umřel pak Háran prvé než Táre otec jeho v zemi narození svého, totiž v Ur Kaldejských.
010b1d009c	I zpojímali sobě ženy Abram a Náchor; jméno ženy Abramovy Sarai, a jméno ženy Náchorovy Melcha, dcera Háranova, kterýž byl otec Melchy a Jeschy.
010b1e002b	Byla pak Sarai neplodná, a neměla dětí.
010b1f00e5	I vzal Táre Abrama syna svého, a Lota syna Háranova, vnuka svého, a Sarai nevěstu svou, ženu Abrama syna svého, a vyšli spolu z Ur Kaldejských, aby se brali do země Kananejské, a přišli až do Cháran, a bydlili tam.
010b200043	A byli dnové Táre dvě stě a pět let; i umřel Táre v Cháran.
010c010083	Nebo byl řekl Hospodin Abramovi: Vyjdi z země své a z příbuznosti své, i z domu otce svého do země, kterouž ukáži tobě.
010c020064	A učiním tě v národ veliký, a požehnám tobě, a zvelebím jméno tvé, a budeš požehnání.
010c030086	Požehnám také dobrořečícím tobě, a zlořečícím tobě zlořečiti budu; ano požehnány budou v tobě všecky čeledi země.
010c040088	I vyšel Abram, tak jakž mu byl mluvil Hospodin, a šel s ním Lot. (Byl pak Abram v sedmdesáti pěti letech, když vyšel z Cháran.)
010c0500d3	A vzal Abram Sarai manželku svou, a Lota syna bratra svého, a všecko zboží své, kteréhož nabyli, i duše, kterýchž dosáhli v Cháran. A vyšedše, brali se do země Kananejské, až i přišli do ní.
010c06006d	I prošel Abram tu zemi až k místu Sichem, to jest až k rovině More. A tehdáž Kananejští byli v zemi.
010c070087	I ukázal se Hospodin Abramovi a řekl: Semeni tvému dám zemi tuto. Tedy vzdělal tu oltář Hospodinu, kterýž se byl ukázal jemu.
010c0800cf	A odtud podal se k hoře, kteráž leží na východ od Bethel, kdežto rozbil stan svůj, tak že mu Bethel byl na západ, Hai pak na východ; i vzdělal tam oltář Hospodinu, a vzýval jméno Hospodinovo.
010c090039	Potom hnul se Abram dále, a odebral se odtud ku poledni.
010c0a0073	Byl pak hlad v té zemi; protož sstoupil Abram do Egypta, aby tam byl pohostinu; nebo veliký byl hlad v té zemi.
010c0b0082	I stalo se, že když přicházel blízko k Egyptu, řekl k Sarai manželce své: Aj, nyní znám, že jsi žena krásné tváři.
010c0c0076	A stane se, že když tě uzří Egyptští, řeknou: To jest manželka jeho; i zabijí mne, tebe pak živé nechají.
010c0d0069	Prav medle, že jsi sestra má, aby mi dobře bylo příčinou tvou, a živa zůstala duše má pro tebe.
010c0e005f	I stalo se, když všel Abram do Egypta, viděli Egyptští ženu, že krásná byla náramně.
010c0f0061	A vidouce ji knížata Faraonova, schválili ji před ním; i vzata jest žena do domu Faraonova.
010c10007a	Kterýžto i Abramovi dobře učinil pro ni; a měl ovce a voly a osly, i služebníky a děvky, též oslice a velbloudy.
010c110059	Ale Hospodin trápil Faraona ranami velikými, i dům jeho, pro Sarai manželku Abramovu.
010c12006e	Protož povolal Farao Abrama a řekl: Cos mi to učinil? Pročežs mi neoznámil, že ona manželka tvá jest?
010c130077	Proč jsi řekl: Sestra má jest? A vzal jsem ji sobě za ženu. Protož nyní, teď máš manželku svou, vezmi a jdi.
010c140058	I poručil o něm Farao mužům, a propustili ho, i manželku jeho i všecko, což měl.
010d01005c	Vstoupil tedy Abram z Egypta on i žena jeho i všecko, což měl, a Lot s ním, ku poledni.
010d020042	(Byl pak Abram bohatý velmi na dobytek, na stříbro i na zlato.)
010d030073	A šel cestami svými od poledne až do Bethel, až k místu tomu, kdež prvé byl stánek jeho, mezi Bethel a Hai,
010d04005d	K místu oltáře, kterýž tam byl prvé vzdělal, kdežto vzýval Abram jméno Hospodinovo.
010d050041	Také i Lot, kterýž s Abramem chodil, měl ovce a voly i stany.
010d060078	A nemohla jim země postačovati, aby spolu bydlili, proto že zboží jich bylo veliké, tak že nemohli spolu bydliti.
010d070094	Odkudž vznikla nesnáz mezi pastýři stáda Abramova a mezi pastýři stáda Lotova; nebo Kananejští a Ferezejští tehdáž bydlili v zemi té.
010d08009a	Řekl tedy Abram k Lotovi: Nechžť, prosím, není nesnáze mezi mnou a tebou, a mezi pastýři mými a pastýři tvými, poněvadž muži bratří jsme.
010d0900aa	Zdaliž není před tebou všecka země? Odděl se, prosím, ode mne. Půjdeš-li na levo, já na pravo se držeti budu; pakli půjdeš na pravo, na levo se držeti budu.
010d0a00dc	Pozdvih tedy Lot očí svých, spatřil všecku rovinu vůkol Jordánu, kteráž před tím, než Hospodin zkazil Sodomu a Gomoru, všecka až k Ségor svlažována byla, jako zahrada Hospodinova, a jako země Egyptská.
010d0b006a	I zvolil sobě Lot všecku rovinu Jordánskou, a bral se k východu; a tak oddělili se jeden od druhého.
010d0c0066	Abram bydlil v zemi Kananejské, ale Lot přebýval v městech té roviny, podav stanů až k Sodomě.
010d0d0048	Lidé pak Sodomští byli zlí, a hříšníci před Hospodinem velicí.
010d0e00af	I řekl Hospodin Abramovi, když se oddělil od něho Lot: Pozdvihni nyní očí svých, a pohleď z místa, na němž jsi, na půlnoci a na poledne, i na východ a na západ.
010d0f004d	Nebo všecku zemi, kterouž vidíš, tobě dám a semeni tvému až na věky.
010d100080	A rozmnožím símě tvé jako prach země; nebo jestliže kdo bude moci sčísti prach země, tedy i símě tvé sečteno bude.
010d110045	Vstaň, projdi tu zemi na dýl i na šíř její; nebo tobě ji dám.
010d120081	Tedy Abram hnuv se s stanem, přišel a bydlil v rovinách Mamre, kteréž jsou při Hebronu, kdežto vzdělal oltář Hospodinu.
010e01008c	Stalo se pak ve dnech těch, že Amrafel král Sinearský, Arioch král Elasarský, Chedorlaomer král Elamitský, a Thádal král Goimský,
010e0200c6	Vyzdvihli válku proti Bérovi králi Sodomskému, a proti Bersovi králi Gomorskému, a Senábovi králi Adamatskému, a Semeberovi králi Seboimskému, a králi Bélamskému, to jest Ségorskému.
010e030044	Všickni tito sjeli se do údolí Siddim, to jest již moře solné.
010e04004f	Dvanácte let sloužili Chedorlaomerovi, třináctého pak léta zprotivili se.
010e0500c1	Protož léta čtrnáctého přitáhl Chedorlaomer a králové, kteříž byli s ním, a pobili Refaimské v Astarotu Karnaimských, a Zuzimské v Cham, a Eminské na rovinách Kariataimských,
010e060053	A Horejské na hoře jich Seir, až k rovině Fáran, kteráž leží nad pouští.
010e0700a1	A vracejíce se, přitáhli k En Misfat, kteráž již jest Kádes, a pohubili všecku krajinu Amalechitského, také i Amorejského, bydlícího v Hasesontamar.
010e0800b8	Protož vytáhl král Sodomský, a král Gomorský, a král Adamatský, a král Seboimský, a král Bélamský, to jest Ségorský, a sšikovali se proti nim k bitvě v údolí Siddim,
010e0900ac	Proti Chedorlaomerovi králi Elamitskému, a Thádalovi králi Goimskému, a Amrafelovi králi Sinearskému, i Ariochovi králi Elasarskému, čtyři králové proti pěti.
010e0a0093	(V údolí pak Siddim bylo mnoho studnic klejovatých.) I utíkajíce král Sodomský a Gomorský, padli tam; a kteří pozůstali, utekli na hory.
010e0b0058	A pobravše všecko zboží Sodomských a Gomorských, a všecky potravy jich, odtáhli.
010e0c005b	Vzali také Lota, a zboží jeho, syna bratra Abramova, a odjeli; nebo on bydlil v Sodomě.
010e0d00c8	Přišel pak jeden, kterýž byl utekl, a zvěstoval Abramovi Hebrejskému, kterýž tehdáž bydlil v rovinách Mamre Amorejského, bratra Eškolova a bratra Anerova; nebo ti měli smlouvu s Abramem.
010e0e00a3	Uslyšev tedy Abram, že by zajat byl bratr jeho, vypravil způsobných k boji a v domě svém zrozených služebníků tři sta a osmnácte, a honil je až k Dan.
010e0f0089	A odděliv se, připadl na ně v noci, on i služebníci jeho, a porazil je; a stíhal je až k Chobah, kteréž leží na levo Damašku.
010e100069	I odjal zase všecko zboží; také i Lota bratra svého s statkem jeho zase přivedl, ano i ženy a lid.
010e1100ac	Tedy vyšel král Sodomský proti němu, když se navracoval od pobití Chedorlaomera a králů, kteříž byli s ním, k údolí Sáveh, kteréž jest údolí královské.
010e120064	Melchisedech také král Sálem, vynesl chléb a víno; a ten byl kněz Boha silného nejvyššího.
010e130066	I požehnal mu a řekl: Požehnaný Abram Bohu silnému nejvyššímu, kterýž vládne nebem a zemí;
010e14007b	A požehnaný Bůh silný nejvyšší, kterýž dal nepřátely tvé v ruce tvé. I dal mu Abram desátky ze všech věcí.
010e150046	Král pak Sodomský řekl Abramovi: Dej mi lid, a zboží vezmi sobě.
010e160083	I řekl Abram králi Sodomskému: Pozdvihl jsem ruky své k Hospodinu, Bohu silnému nejvyššímu, kterýž vládne nebem i zemí,
010e170078	Že nevezmu od niti až do řeménka obuvi ze všech věcí, kteréž jsou tvé, abys neřekl: Já jsem obohatil Abrama,
010e180090	Kromě toliko toho, což snědli bojovníci, a dílu mužů, kteříž se mnou šli, totiž Aner, Eškol a Mamre; oni nechať vezmou díl svůj.
010f01009f	Když pak ty věci pominuly, stalo se slovo Hospodinovo k Abramovi u vidění, řkoucí: Neboj se, Abrame; já budu pavéza tvá, a odplata tvá velmi veliká.
010f02009e	Jemužto řekl Abram: Panovníče Hospodine, což mi dáš, poněvadž já scházím bez dětí, a ten, jemuž zanechám domu svého, bude Damašský Eliezer?
010f030058	Řekl ještě Abram: Aj, mně jsi nedal semene; a aj, schovanec můj bude mým dědicem.
010f040083	A aj, slovo Hospodinovo k němu, řkuci: Nebudeť ten dědicem tvým, ale kterýž vyjde z života tvého, ten dědicem tvým bude.
010f05008f	I vyvedl jej ven a řekl: Vzhlédniž nyní k nebi, a sečti hvězdy, budeš-li je však moci sčísti? Řekl mu ještě: Tak bude símě tvé.
010f060037	I uvěřil Hospodinu, a počteno mu to za spravedlnost.
010f070088	(Nebo byl řekl jemu: Já jsem Hospodin, kterýž jsem tě vyvedl z Ur Kaldejských, aťbych dal zemi tuto k dědičnému vládařství.
010f08004d	I řekl: Panovníče Hospodine, po čem poznám, že ji dědičně obdržím?
