010000000c	Ӂенеза
0107170178	Тоате фэптуриле каре ерау пе фаца пэмынтулуй ау фост нимичите, де ла ом пынэ ла вите, пынэ ла тырытоаре ши пынэ ла пэсэриле черулуй; ау фост нимичите де пе пэмынт. Н-а рэмас декыт Ное ши че ера ку ел ын корабие.
010718005f	Апеле ау фост марь пе пэмынт о сутэ чинчзечь де зиле.
0108010133	Думнезеу Шь-а адус аминте де Ное, де тоате вецуитоареле ши де тоате вителе каре ерау ку ел ын корабие ши Думнезеу а фэкут сэ суфле ун вынт пе пэмынт, ши апеле с-ау потолит.
01080200a7	Извоареле адынкулуй ши стэвилареле черурилор ау фост ынкисе ши плоая дин чер а фост опритэ.
01080300de	Апеле ау скэзут де пе фаца пэмынтулуй, скургынду-се ши ымпуцинынду-се ши, дупэ о сутэ чинчзечь де зиле, апеле с-ау микшорат.
0108040097	Ын луна а шаптя, ын зиуа а шаптеспрезечя а луний, корабия с-а оприт пе мунций Арарат.
01080500c6	Апеле ау мерс скэзынд пынэ ын луна а зечя. Ын луна а зечя, ын зиуа ынтый а луний, с-ау вэзут вырфуриле мунцилор.
0108060082	Дупэ патрузечь де зиле, Ное а дескис ферястра корабией пе каре о фэкусе.
01080700b6	А дат друмул унуй корб каре а ешит, дукынду-се ши ынторкынду-се пынэ кынд ау секат апеле де пе пэмынт.
0108080099	А дат друмул ши унуй порумбел, ка сэ вадэ дакэ скэзусерэ апеле де пе фаца пэмынтулуй.
0108090147	Дар порумбелул н-а гэсит ничун лок ка сэ-шь пунэ пичорул ши с-а ынторс ла ел ын корабие, кэч ерау апе пе тоатэ фаца пэмынтулуй. Ное а ынтинс мына, л-а луат ши л-а бэгат ла ел ын корабие.
01080a008e	А май аштептат алте шапте зиле ши ярэшь а дат друмул порумбелулуй дин корабие.
01080b0110	Порумбелул с-а ынторс ла ел спре сярэ ши ятэ кэ ын чокул луй ера о фрунзэ де мэслин руптэ де курынд. Ное а куноскут астфел кэ апеле скэзусерэ пе пэмынт.
01080c00b3	А май аштептат алте шапте зиле ши а дат друмул порумбелулуй. Дар порумбелул ну с-а май ынторс ла ел.
01080d012d	Ын анул шасе суте уну, ын луна ынтый, ын зиуа ынтый а луний, апеле секасерэ пе пэмынт. Ное а ридикат ынвелитоаря корабией: с-а уйтат ши ятэ кэ фаца пэмынтулуй се ускасе.
01080e0087	Ын луна а доуа, ын а доуэзечь ши шаптя зи а луний, пэмынтул ера ускат де тот.
01080f004d	Атунч, Думнезеу а ворбит луй Ное ши й-а зис:
010810008a	„Ешь дин корабие, ту ши невастэ-та, фиий тэй ши невестеле фиилор тэй ку тине!
010811018d	Скоате афарэ ымпреунэ ку тине тоате вецуитоареле де тот фелул, каре сунт ку тине, атыт пэсэриле, кыт ши вителе ши тоате тырытоареле каре се тырэск пе пэмынт: сэ мишуне пе пэмынт, сэ кряскэ ши сэ се ынмулцяскэ пе пэмынт.”
0108120083	Ши Ное а ешит афарэ ку фиий сэй, ку невастэ-са ши ку невестеле фиилор сэй.
01081300d6	Тоате добитоачеле, тоате тырытоареле, тоате пэсэриле, тот че се мишкэ пе пэмынт, дупэ союриле лор, ау ешит дин корабие.
01081400e8	Ное а зидит ун алтар Домнулуй, а луат дин тоате добитоачеле курате ши дин тоате пэсэриле курате ши а адус ардерь-де-тот пе алтар.
01081501b0	Домнул а миросит ун мирос плэкут ши Домнул а зис ын инима Луй: „Ну вой май блестема пэмынтул дин причина омулуй, пентру кэ ынтокмириле гындурилор дин инима омулуй сунт реле дин тинереця луй, ши ну вой май лови тот че есте виу, кум ам фэкут.
01081600c0	Кыт ва фи пэмынтул, ну вор ынчета семэнатул ши сечератул, фригул ши кэлдура, вара ши ярна, зиуа ши ноаптя!”
