0100000048	ମୋଶାଙ୍କ ଲିଖିତ ପ୍ରଥମ ପୁସ୍ତକ
0103110250	ଆଉ ସେ ଆଦମଙ୍କୁ କହିଲେ, “ଯେଉଁ ବୃକ୍ଷର ଫଳ ଖାଇବା ବିଷୟରେ ଆମ୍ଭେ ତୁମ୍ଭକୁ ଆଜ୍ଞା ଦେଇ କହିଥିଲୁ, ତାହା ଖାଇବ ନାହିଁ, ତୁମ୍ଭେ ଆପଣା ଭାର୍ଯ୍ୟାର କଥା ଶୁଣି ତାହା ଖାଇଅଛ; ଏଣୁ ତୁମ୍ଭ ସକାଶୁ ଭୂମି ଶାପଗ୍ରସ୍ତ ହେଲା; ତୁମ୍ଭେ ଯାବଜ୍ଜୀବନ କ୍ଳେଶରେ ତହିଁରୁ ଭକ୍ଷ୍ୟ ପାଇବ।
01031200b3	ତହିଁରେ କଣ୍ଟା ଓ ଗୋଖରା ଗଛ ଜାତ ହେବ, ପୁଣି, ତୁମ୍ଭେ କ୍ଷେତ୍ରର ଶାକ ଭୋଜନ କରିବ।
0103130156	ତୁମ୍ଭେ ଯେଉଁ ମୃତ୍ତିକାରୁ ଗୃହୀତ ହେଲ, ତହିଁରେ ନ ମିଶିବା ପର୍ଯ୍ୟନ୍ତ ମୁଖର ଝାଳରେ ଆହାର କରିବ; ଯେହେତୁ ତୁମ୍ଭେ ଧୂଳି ଓ ଧୂଳିରେ ପୁନର୍ବାର ମିଶିଯିବ।”
01031400d9	ଏଥିଉତ୍ତାରେ ଆଦମ ଆପଣା ଭାର୍ଯ୍ୟାର ନାମ ହବା ଦେଲେ, ଯେହେତୁ ସେ ଜୀବିତ ଲୋକମାନଙ୍କର ମାତା ହେଲେ।
01031500e3	ଆଉ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ଚର୍ମର ବସ୍ତ୍ର ପ୍ରସ୍ତୁତ କରି ଆଦମ ଓ ତାଙ୍କର ଭାର୍ଯ୍ୟାଙ୍କୁ ପିନ୍ଧାଇଲେ।
01031601cc	ଏଥିଉତ୍ତାରେ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର କହିଲେ, “ଦେଖ, ମନୁଷ୍ୟ ଭଲ ଓ ମନ୍ଦର ବୋଧ ପ୍ରାପ୍ତ ହୋଇ ଆମ୍ଭମାନଙ୍କ ପରି ଜଣେ ହୋଇଅଛି, ଆଉ ଏବେ ସେ ଯେପରି ହାତ ବଢ଼ାଇ ଅମୃତ ବୃକ୍ଷର ଫଳ ମଧ୍ୟ ତୋଳି ଖାଇ ଅନନ୍ତଜୀବୀ ନ ହୁଅଇ,”
0103170173	ଏଥିପାଇଁ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ଏଦନ ଉଦ୍ୟାନରୁ ତାଙ୍କୁ ବାହାର କରିଦେଲେ ଓ ସେ ଯେଉଁ ମୃତ୍ତିକାରୁ ନୀତ ହୋଇଥିଲେ, ତହିଁରେ କୃଷିକର୍ମ କରିବାକୁ ତାଙ୍କୁ ନିଯୁକ୍ତ କଲେ।
010318019b	ଏହିରୂପେ ସେ ଆଦମଙ୍କୁ ତଡ଼ିଦେଲେ; ପୁଣି, ଅମୃତ ବୃକ୍ଷର ପଥ ରକ୍ଷା କରିବା ନିମିତ୍ତ ଏଦନ ଉଦ୍ୟାନର ପୂର୍ବ ଦିଗରେ କିରୂବଗଣ ଓ ଚତୁର୍ଦ୍ଦିଗରେ ଘୂର୍ଣ୍ଣାୟମାନ ତେଜୋମୟ ଖଡ୍ଗ ସ୍ଥାପନ କଲେ।
01040101b8	ଏଥିଉତ୍ତାରେ ଆଦମ ଆପଣା ଭାର୍ଯ୍ୟା ହବାଙ୍କର ସହବାସ କରନ୍ତେ, ସେ ଗର୍ଭବତୀ ହୋଇ କୟିନ (ଅର୍ଥାତ୍‍ ଲାଭ) ନାମକ ଗୋଟିଏ ପୁତ୍ର ପ୍ରସବ କରି କହିଲେ, “ସଦାପ୍ରଭୁଙ୍କ ସାହାଯ୍ୟରେ ମୋହର ଏକ ନର ଲାଭ ହୋଇଅଛି।”
010402010e	ଏଥିଉତ୍ତାରେ ସେ ହେବଲ (ଅର୍ଥାତ୍‍ ଅସ୍ଥାୟୀ) ନାମକ ତାହାର ସହୋଦରକୁ ପ୍ରସବ କଲେ। ଏଥର ହେବଲ ମେଷପାଳକ ଓ କୟିନ କୃଷକ ହେଲେ।
01040300cc	ସମୟାନୁକ୍ରମେ କୟିନ ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ଭୂମିରୁ ଉତ୍ପନ୍ନ ଫଳ ଆଣି ଉତ୍ସର୍ଗ କଲେ।
0104040139	ଆଉ ହେବଲ ମଧ୍ୟ ନିଜ ପଲର ପ୍ରଥମଜାତ କେତେକ ପଶୁ ଓ ସେମାନଙ୍କ ମେଦ ଉତ୍ସର୍ଗ କଲେ। ସଦାପ୍ରଭୁ ହେବଲଙ୍କୁ ଓ ତାଙ୍କର ନୈବେଦ୍ୟକୁ ଗ୍ରାହ୍ୟ କଲେ।
01040500ec	ମାତ୍ର କୟିନଙ୍କୁ ଓ ତାଙ୍କର ନୈବେଦ୍ୟକୁ ସେ ଅଗ୍ରାହ୍ୟ କଲେ। ଏହେତୁ କୟିନ ଅତି କ୍ରୋଧ କରି ଦୁଃଖିତ ହେଲେ।
01040600e3	ତହିଁରେ ସଦାପ୍ରଭୁ କୟିନଙ୍କୁ କହିଲେ, “ତୁମ୍ଭେ କାହିଁକି କ୍ରୋଧ କରୁଅଛ? ଆଉ କାହିଁକି ଦୁଃଖିତ ହେଉଅଛ?
010407019d	ସତ୍କର୍ମ କଲେ, କି ତୁମ୍ଭେ ଊର୍ଦ୍ଧ୍ୱମୁଖ ହେବ ନାହିଁ? ସତ୍କର୍ମ ନ କଲେ, ପାପ ଦ୍ୱାରରେ ଛକିଥାଏ; ତୁମ୍ଭ ପ୍ରତି ତାହାର ବାସନା ରହିବ, ମାତ୍ର ତୁମ୍ଭେ ତାହା ଉପରେ କର୍ତ୍ତୃତ୍ୱ କରିବା ଉଚିତ।”
0104080149	ଏଥିଉତ୍ତାରେ କୟିନ ଆପଣା ଭାଇ ହେବଲ ସହିତ କଥାବାର୍ତ୍ତା କଲେ। ତହୁଁ ସେମାନେ କ୍ଷେତରେ ଥିବା ବେଳେ କୟିନ ଆପଣା ଭାଇ ହେବଲଙ୍କୁ ଆକ୍ରମଣ କରି ବଧ କଲେ।
010409012e	ଏଥିଉତ୍ତାରେ ସଦାପ୍ରଭୁ କୟିନଙ୍କୁ ପଚାରିଲେ, “ତୁମ୍ଭ ଭାଇ ହେବଲ କେଉଁଠାରେ?” ସେ କହିଲେ, “ମୁଁ ଜାଣେ ନାହିଁ, ମୁଁ କʼଣ ମୋʼ ଭାଇର ରକ୍ଷକ?”
01040a00c5	ସେ କହିଲେ, “ତୁମ୍ଭେ କଅଣ କରିଅଛ? ତୁମ୍ଭ ଭାଇର ରକ୍ତ ଭୂମିରୁ ଆମ୍ଭ ପ୍ରତି ଡାକ ପକାଉଅଛି।
01040b0143	ଏଥିନିମନ୍ତେ ଯେଉଁ ଭୂମି ତୁମ୍ଭ ହସ୍ତରୁ ତୁମ୍ଭ ଭାଇର ରକ୍ତ ଗ୍ରହଣାର୍ଥେ ଆପଣା ମୁଖ ମୁକ୍ତ କରିଅଛି, ସେହି ଭୂମିରେ ଏବେ ତୁମ୍ଭେ ଶାପଗ୍ରସ୍ତ ହେଲ;
01040c0124	ଭୂମିରେ କୃଷିକର୍ମ କଲେ ହେଁ ତାହା ଆପଣା ଶକ୍ତି ଦେଇ ଆଉ ତୁମ୍ଭର ସେବା କରିବ ନାହିଁ; ତୁମ୍ଭେ ପୃଥିବୀରେ ପଳାତକ ଓ ଭ୍ରମଣକାରୀ ହେବ।”
01040d0072	କୟିନ ସଦାପ୍ରଭୁଙ୍କୁ କହିଲେ, “ମୋହର ଦଣ୍ଡ ଅସହ୍ୟ।
01040e01a6	ଦେଖ, ତୁମ୍ଭେ ଆଜି ମୋତେ ଏ ସ୍ଥାନରୁ ତଡ଼ି ଦେଲ, ତହିଁରେ ତୁମ୍ଭ ସମ୍ମୁଖରୁ ମୁଁ ଗୁପ୍ତ ହେବି; ଏହିରୂପେ ପୃଥିବୀରେ ପଳାତକ ଓ ଭ୍ରମଣକାରୀ ହେଲେ ଏପରି ହେବ ଯେ, କୌଣସି ଲୋକ ମୋତେ ପାଇଲେ ବଧ କରିବ।”
01040f01c2	ଆଉ ସଦାପ୍ରଭୁ ତାଙ୍କୁ କହିଲେ, “ଏହେତୁ କେହି କୟିନଙ୍କୁ ବଧ କଲେ, ତାହାର ସାତ ଗୁଣ ଦଣ୍ଡ ହେବ।” ପୁଣି, କେହି ତାଙ୍କୁ ଦେଖି ଯେପରି ବଧ ନ କରଇ, ଏଥିପାଇଁ ସଦାପ୍ରଭୁ କୟିନଙ୍କ ନିମନ୍ତେ ଏକ ଚିହ୍ନ ନିରୂପଣ କଲେ।
01041000fc	ଏଥିଉତ୍ତାରେ କୟିନ ସଦାପ୍ରଭୁଙ୍କ ସମ୍ମୁଖରୁ ପ୍ରସ୍ଥାନ କରି ଏଦନର ପୂର୍ବଦିଗସ୍ଥ ନୋଦ ନାମକ ସ୍ଥାନରେ ବାସ କଲେ।
0104110171	ଆଉ କୟିନ ଆପଣା ଭାର୍ଯ୍ୟାର ସହବାସ କରନ୍ତେ, ସେ ଗର୍ଭବତୀ ହୋଇ ହନୋକକୁ ପ୍ରସବ କଲେ; ପୁଣି, ସେ ଏକ ନଗର ନିର୍ମାଣ କରି ଆପଣା ପୁତ୍ରର ନାମାନୁସାରେ ତହିଁର ନାମ ହନୋକ ଦେଲେ।
01041200f9	ସେହି ହନୋକର ପୁତ୍ର ଈରଦ ଓ ଈରଦର ପୁତ୍ର ମହୁୟାୟେଲ ଓ ମହୁୟାୟେଲର ପୁତ୍ର ମଥୁଶାୟେଲ ଓ ମଥୁଶାୟେଲର ପୁତ୍ର ଲେମକ।
01041300b3	ଏହି ଲେମକ ଦୁଇଟି ସ୍ତ୍ରୀ ବିବାହ କଲେ, ଏକର ନାମ ଆଦା ଓ ଅନ୍ୟର ନାମ ସିଲ୍ଲା ଥିଲା।
01041400c0	ଆଦାର ଗର୍ଭରେ ଜାବଳ ଜନ୍ମିଲା, ସେ ତମ୍ବୁନିବାସୀ ପଶୁପାଳକମାନଙ୍କର ଆଦିପୁରୁଷ ଥିଲା।
01041500a3	ତାହାର ଭାଇର ନାମ ଯୁବଳ, ସେ ବୀଣା ଓ ବଂଶୀବାଦକମାନଙ୍କର ଆଦିପୁରୁଷ ଥିଲା।
0104160157	ସିଲ୍ଲାର ଗର୍ଭରେ ତୁବଲ୍‍-କୟିନ ଜନ୍ମିଲା, ସେ ପିତ୍ତଳ ଓ ଲୌହର ନାନା ପ୍ରକାର ଅସ୍ତ୍ର ନିର୍ମାଣକାରୀ ଥିଲା; ତୁବଲ୍‍-କୟିନର ନୟମା ନାମ୍ନୀ ଏକ ଭଗ୍ନୀ ଥିଲା।
0104170221	ଏଥିଉତ୍ତାରେ ଲେମକ ଆପଣା ଭାର୍ଯ୍ୟାମାନଙ୍କୁ କହିଲେ, “ଆଗୋ ଆଦା ଓ ସିଲ୍ଲା, ମୋʼ କଥା ଶୁଣ; ଆଗୋ ଲେମକର ଭାର୍ଯ୍ୟାଗଣ, ତୁମ୍ଭେମାନେ ମୋʼ ବାକ୍ୟରେ କର୍ଣ୍ଣପାତ କର; ମୁଁ ଆଘାତର ପରିଶୋଧରେ ଜଣେ ମନୁଷ୍ୟକୁ ଓ ପ୍ରହାରର ପରିଶୋଧରେ ଜଣେ ଯୁବାକୁ ବଧ କରିଅଛି;
01041800ce	ଯଦି କୟିନର ବଧର ପ୍ରତିଫଳ ସାତ ଗୁଣ ହୁଏ, ତେବେ ଲେମକର ପ୍ରତିଫଳ ସତସ୍ତରି ଗୁଣ ନିଶ୍ଚୟ ହେବ।”
010419024d	ଏଥିଉତ୍ତାରେ ଆଦମ ପୁନଶ୍ଚ ଆପଣା ଭାର୍ଯ୍ୟାଙ୍କର ସହବାସ କରନ୍ତେ, ସେ ଏକ ପୁତ୍ର ପ୍ରସବ କରି ତାହାର ନାମ ଶେଥ (ଅର୍ଥାତ୍‍ ପ୍ରତିନିଧି) ଦେଲେ; ଯେହେତୁ ସେ କହିଲେ, “ପରମେଶ୍ୱର ହେବଲର ପ୍ରତିନିଧି ରୂପେ ଆଉ ଗୋଟିଏ ପୁତ୍ର ମୋତେ ଦେଇଅଛନ୍ତି, କାରଣ କୟିନ ତାକୁ ବଧ କରିଥିଲା।”
01041a014c	ତହୁଁ ଶେଥର ମଧ୍ୟ ଏକ ପୁତ୍ର ଜନ୍ମିଲା; ଆଉ ସେ ତାହାର ନାମ ଈନୋଶ ଦେଲା। ଏହି ସମୟରେ ମନୁଷ୍ୟମାନେ ସଦାପ୍ରଭୁଙ୍କ ନାମରେ ପ୍ରାର୍ଥନା କରିବାକୁ ଲାଗିଲେ।
010501014e	ଆଦମଙ୍କର ବଂଶାବଳୀର ବୃତ୍ତାନ୍ତ ଏହି। ଯେଉଁ ଦିନ ପରମେଶ୍ୱର ମନୁଷ୍ୟକୁ ସୃଷ୍ଟି କଲେ, ସେହି ଦିନ ପରମେଶ୍ୱରଙ୍କ ସାଦୃଶ୍ୟରେ ସେ ତାଙ୍କୁ ନିର୍ମାଣ କଲେ;
010502012a	ପୁରୁଷ ଓ ସ୍ତ୍ରୀ କରି ସେ ସେମାନଙ୍କୁ ସୃଷ୍ଟି କଲେ; ଆଉ ସେମାନେ ସୃଷ୍ଟ ହେବା ଦିନ ସେମାନଙ୍କୁ ଆଶୀର୍ବାଦ କରି ଆଦମ (ମନୁଷ୍ୟ) ନାମ ଦେଲେ।
01050300f4	ଆଦମ ଶହେ ତିରିଶ ବର୍ଷ ବୟସରେ ଆପଣା ସାଦୃଶ୍ୟ ଓ ପ୍ରତିମୂର୍ତ୍ତିରେ ଏକ ପୁତ୍ର ଜାତ କରି ତାହାର ନାମ ଶେଥ ଦେଲେ।
01050400bf	ଶେଥର ଜନ୍ମ ଉତ୍ତାରେ ଆଦମ ଆଠ ଶହ ବର୍ଷ ବଞ୍ଚି ଆହୁରି ପୁତ୍ରକନ୍ୟାମାନଙ୍କୁ ଜାତ କଲେ।
0105050098	ଆଦମଙ୍କର ବୟସ ସର୍ବସୁଦ୍ଧା ନଅ ଶହ ତିରିଶ ବର୍ଷ ଥିଲା; ତହୁଁ ସେ ମଲେ।
0105060068	ଶେଥ ଶହେ ପାଞ୍ଚ ବର୍ଷ ବୟସରେ ଈନୋଶକୁ ଜାତ କଲା;
01050700cc	ଈନୋଶର ଜନ୍ମ ଉତ୍ତାରେ ଶେଥ ଆଠ ଶହ ସାତ ବର୍ଷ ବଞ୍ଚି ଆହୁରି ପୁତ୍ରକନ୍ୟାମାନଙ୍କୁ ଜାତ କଲା।
0105080089	ଶେଥର ବୟସ ସର୍ବସୁଦ୍ଧା ନଅ ଶହ ବାର ବର୍ଷ ଥିଲା; ତହୁଁ ସେ ମଲା।
0105090061	ଈନୋଶ ନବେ ବର୍ଷ ବୟସରେ କୟିନାନକୁ ଜାତ କଲା;
01050a00e1	ପୁଣି, କୟିନାନର ଜନ୍ମ ଉତ୍ତାରେ ସେ ଆଠ ଶହ ପନ୍ଦର ବର୍ଷ ବଞ୍ଚି ଆହୁରି ପୁତ୍ରକନ୍ୟାମାନଙ୍କୁ ଜାତ କଲା;
01050b0092	ଈନୋଶର ବୟସ ସର୍ବସୁଦ୍ଧା ନଅ ଶହ ପାଞ୍ଚ ବର୍ଷ ଥିଲା; ତହୁଁ ସେ ମଲା।
01050c006d	କୟିନାନ ସତୁରି ବର୍ଷ ବୟସରେ ମହଲଲେଲକୁ ଜାତ କଲା;
01050d00d0	ମହଲଲେଲ ଜନ୍ମିଲା ଉତ୍ତାରେ ସେ ଆଠ ଶହ ଚାଳିଶ ବର୍ଷ ବଞ୍ଚି ଆଉ ପୁତ୍ରକନ୍ୟାମାନଙ୍କୁ ଜାତ କଲା;
01050e0096	ଆଉ କୟିନାନର ବୟସ ସର୍ବସୁଦ୍ଧା ନଅ ଶହ ଦଶ ବର୍ଷ ଥିଲା; ତହୁଁ ସେ ମଲା।
01050f006d	ମହଲଲେଲ ପଞ୍ଚଷଠି ବର୍ଷ ବୟସରେ ଯେରଦକୁ ଜାତ କଲା;
01051000d3	ଯେରଦ ଜନ୍ମିଲା ଉତ୍ତାରେ ସେ ଆଠ ଶହ ତିରିଶ ବର୍ଷ ବଞ୍ଚି ଆହୁରି ପୁତ୍ରକନ୍ୟାମାନଙ୍କୁ ଜାତ କଲା;
01051100a1	ମହଲଲେଲର ବୟସ ସର୍ବସୁଦ୍ଧା ଆଠ ଶହ ପଞ୍ଚାନବେ ବର୍ଷ ଥିଲା; ତହୁଁ ସେ ମଲା।
0105120071	ଯେରଦ ଶହେ ବାଷଠି ବର୍ଷ ବୟସରେ ହନୋକଙ୍କୁ ଜାତ କଲା;
01051300c6	ହନୋକଙ୍କର ଜନ୍ମ ଉତ୍ତାରେ ସେ ଆଠ ଶହ ବର୍ଷ ବଞ୍ଚି ଆହୁରି ପୁତ୍ରକନ୍ୟାମାନଙ୍କୁ ଜାତ କଲା;
0105140092	ଯେରଦର ବୟସ ସର୍ବସୁଦ୍ଧା ନଅ ଶହ ବାଷଠି ବର୍ଷ ଥିଲା; ତହୁଁ ସେ ମଲା।
0105150070	ହନୋକ ପଞ୍ଚଷଠି ବର୍ଷ ବୟସରେ ମଥୂଶେଲହକୁ ଜାତ କଲେ;
0105160143	ମଥୂଶେଲହର ଜନ୍ମ ଉତ୍ତାରେ ହନୋକ ତିନି ଶହ ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପରମେଶ୍ୱରଙ୍କ ସହିତ ଗମନାଗମନ କଲେ, ପୁଣି, ସେ ଆହୁରି ପୁତ୍ରକନ୍ୟାମାନଙ୍କୁ ଜାତ କଲେ;
0105170086	ହନୋକଙ୍କର ବୟସ ସର୍ବସୁଦ୍ଧା ତିନି ଶହ ପଞ୍ଚଷଠି ବର୍ଷ ଥିଲା;
01051800f0	ହନୋକ ପରମେଶ୍ୱରଙ୍କ ସହିତ ଗମନାଗମନ କଲେ; ଆଉ ସେ ଅନ୍ତର୍ହିତ ହେଲେ; ଯେହେତୁ ପରମେଶ୍ୱର ତାଙ୍କୁ ଗ୍ରହଣ କଲେ।
0105190077	ମଥୂଶେଲହ ଶହେ ଶତାଅଶୀ ବର୍ଷ ବୟସରେ ଲେମକକୁ ଜାତ କଲା;
01051a00e2	ଲେମକର ଜନ୍ମ ଉତ୍ତାରେ ମଥୂଶେଲହ ସାତ ଶହ ବୟାଅଶୀ ବର୍ଷ ବଞ୍ଚି ଆହୁରି ପୁତ୍ରକନ୍ୟାମାନଙ୍କୁ ଜାତ କଲା;
01051b00a1	ମଥୂଶେଲହର ବୟସ ସର୍ବସୁଦ୍ଧା ନଅ ଶହ ଊଣସ୍ତରି ବର୍ଷ ଥିଲା; ତହୁଁ ସେ ମଲା।
01051c00c1	ଲେମକ ଶହେ ବୟାଅଶୀ ବର୍ଷ ବୟସରେ ଏକ ପୁତ୍ର ଜାତ କରି ତାହାର ନାମ ନୋହ (ସାନ୍ତ୍ୱନା) ଦେଲେ,
01051d014f	ଯେହେତୁ ସେ କହିଲେ, “ସଦାପ୍ରଭୁଙ୍କ ଦ୍ୱାରା ଅଭିଶପ୍ତ ଭୂମିରେ ଆମ୍ଭମାନଙ୍କର ଶ୍ରମ ଓ ହସ୍ତର କ୍ଳେଶ ବିଷୟରେ ଏ ଆମ୍ଭମାନଙ୍କର ସାନ୍ତ୍ୱନା ଜନ୍ମାଇବ।”
01051e00eb	ନୋହଙ୍କର ଜନ୍ମ ଉତ୍ତାରେ ଲେମକ ପାଞ୍ଚ ଶହ ପଞ୍ଚାନବେ ବର୍ଷ ବଞ୍ଚି ଆହୁରି ପୁତ୍ରକନ୍ୟାମାନଙ୍କୁ ଜାତ କଲେ;
01051f009e	ତାଙ୍କର ବୟସ ସର୍ବସୁଦ୍ଧା ସାତ ଶହ ସତସ୍ତରି ବର୍ଷ ଥିଲା; ତହୁଁ ସେ ମଲେ।
01052000b6	ଆଉ ନୋହଙ୍କୁ ପାଞ୍ଚ ଶହ ବର୍ଷ ବୟସ ହେଲା; ଆଉ ନୋହ, ଶେମ ଓ ହାମ ଓ ଯେଫତ୍‍କୁ ଜାତ କଲେ।
0106010100	ଏହିରୂପେ ଯେତେବେଳେ ପୃଥିବୀରେ ମନୁଷ୍ୟମାନଙ୍କ ସଂଖ୍ୟା ବଢ଼ିବାକୁ ଲାଗିଲା ଓ ସେମାନଙ୍କର ଅନେକ କନ୍ୟା ଜାତ ହେଲେ;
0106020171	ସେତେବେଳେ ପରମେଶ୍ୱରଙ୍କ ପୁତ୍ରଗଣ ମନୁଷ୍ୟମାନଙ୍କ କନ୍ୟାଗଣକୁ ରୂପବତୀ ଦେଖି, ସେମାନେ ଯେଉଁମାନଙ୍କୁ ପସନ୍ଦ କଲେ, ସେ ସମସ୍ତଙ୍କ ମଧ୍ୟରୁ ବିବାହ କରିବାକୁ ଲାଗିଲେ।
01060301be	ତହିଁରେ ସଦାପ୍ରଭୁ କହିଲେ, “ଆମ୍ଭର ଆତ୍ମା ମନୁଷ୍ୟ ଉପରେ ସର୍ବଦା ଅଧିଷ୍ଠାନ କରିବ ନାହିଁ, ଯେହେତୁ ସେମାନଙ୍କ ବିପଥଗମନରେ ସେମାନେ ମାଂସ ମାତ୍ର; ଏଥିନିମନ୍ତେ ସେମାନଙ୍କ ସମୟ ଶହେ କୋଡ଼ିଏ ବର୍ଷ ହେବ।”
01060401ec	ସେହି ସମୟରେ ପୃଥିବୀରେ ମହାବୀରଗଣ ଥିଲେ; ପୁଣି, ତହିଁ ଉତ୍ତାରେ ପରମେଶ୍ୱରଙ୍କ ପୁତ୍ରଗଣ ମନୁଷ୍ୟମାନଙ୍କ କନ୍ୟାଗଣର ସହବାସ କରନ୍ତେ, ସେମାନଙ୍କଠାରୁ ସନ୍ତାନଗଣ ଜାତ ହେଲେ; ସେମାନେ ମଧ୍ୟ ପୂର୍ବକାଳର ପ୍ରସିଦ୍ଧ ବୀର ଥିଲେ।
010605014e	ଏଥିଉତ୍ତାରେ ସଦାପ୍ରଭୁ ଦେଖିଲେ ଯେ, ପୃଥିବୀରେ ମନୁଷ୍ୟର ଦୁଷ୍ଟତା ଅତି ବଡ଼, ଆଉ ତାହାର ଅନ୍ତଃକରଣର ଭାବନାର ପ୍ରତ୍ୟେକ କଳ୍ପନା ଅବିରତ ମନ୍ଦ ମାତ୍ର।
01060600da	ଏନିମନ୍ତେ ସଦାପ୍ରଭୁ ପୃଥିବୀରେ ମନୁଷ୍ୟକୁ ନିର୍ମାଣ କରିବା ସକାଶୁ ଅନୁତାପ କରି ମନରେ ଶୋକ କଲେ।
01060701ef	ତହିଁରେ ସଦାପ୍ରଭୁ କହିଲେ, “ଆମ୍ଭେ ଭୂମଣ୍ଡଳରୁ ଆପଣାର ସୃଷ୍ଟ ମନୁଷ୍ୟକୁ, ଆଉ ମନୁଷ୍ୟ ସହିତ ପଶୁ ଓ ଉରୋଗାମୀ ଜନ୍ତୁ ଓ ଖେଚର ପକ୍ଷୀଗଣକୁ ଲୁପ୍ତ କରିବା; କାରଣ ଆମ୍ଭେ ସେମାନଙ୍କୁ ନିର୍ମାଣ କରିବାରୁ ଆମ୍ଭର ଅନୁତାପ ହେଉଅଛି।”
0106080090	ମାତ୍ର, ନୋହ ସଦାପ୍ରଭୁଙ୍କ ଦୃଷ୍ଟିରେ ଅନୁଗ୍ରହପ୍ରାପ୍ତ ହେଲେ।
0106090133	ନୋହଙ୍କର ବଂଶାବଳୀ ଏହି। ନୋହ ଆପଣା ସେହି ସମୟର ଲୋକମାନଙ୍କ ମଧ୍ୟରେ ଧାର୍ମିକ ଓ ସାଧୁ ଲୋକ ଥିଲେ; ନୋହ ପରମେଶ୍ୱରଙ୍କ ସହିତ ଗମନାଗମନ କଲେ।
01060a0084	ନୋହ, ଶେମ ଓ ହାମ ଓ ଯେଫତ୍‍, ଏହି ତିନି ପୁତ୍ରଙ୍କୁ ଜାତ କଲେ।
01060b00f5	ସେହି ସମୟରେ ପୃଥିବୀ ପରମେଶ୍ୱରଙ୍କ ସାକ୍ଷାତରେ ଭ୍ରଷ୍ଟ ଥିଲା ଓ ପୃଥିବୀ ଦୌରାତ୍ମ୍ୟରେ ପରିପୂର୍ଣ୍ଣ ଥିଲା।
01060c0147	ପୁଣି, ପରମେଶ୍ୱର ପୃଥିବୀରେ ଦୃଷ୍ଟିପାତ କରି ଦେଖିଲେ ଯେ, ତାହା ଭ୍ରଷ୍ଟ ହୋଇଅଛି; ଯେହେତୁ ପୃଥିବୀସ୍ଥ ସମସ୍ତ ପ୍ରାଣୀ ଭ୍ରଷ୍ଟାଚାରୀ ହୋଇଅଛନ୍ତି।
01060d020a	ତହୁଁ ପରମେଶ୍ୱର ନୋହଙ୍କୁ କହିଲେ, “ଆମ୍ଭ ଗୋଚରରେ ସମୁଦାୟ ପ୍ରାଣୀର ଅନ୍ତିମକାଳ ଉପସ୍ଥିତ ହେଲା; ଯେହେତୁ ସେମାନଙ୍କ ଦ୍ୱାରା ପୃଥିବୀ ଦୌରାତ୍ମ୍ୟରେ ପରିପୂର୍ଣ୍ଣ ହୋଇଅଛି; ପୁଣି, ଦେଖ, ଆମ୍ଭେ ପୃଥିବୀ ସହିତ ସେମାନଙ୍କୁ ବିନଷ୍ଟ କରିବା।
